# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.208
metadata : {}


# id : NWRW1800000030.208.1.1
"프로 축구선수 거쳐야 명감독 되란 법 있나요"

"프로	"/SS+프로/NNG
축구선수	축구/NNG+선수/NNG
거쳐야	거치/VV+어야/EC
명감독	명감독/NNG
되란	되/VV+란/ETM
법	법/NNB
있나요"	있/VA+나/EF+요/JX+"/SS


# id : NWRW1800000030.208.2.1
포르투갈의 축구 명문 FC포르투의 질주가 무섭다.

포르투갈의	포르투갈/NNP+의/JKG
축구	축구/NNG
명문	명문/NNG
FC포르투의	FC포르투/NNP+의/JKG
질주가	질주/NNG+가/JKS
무섭다.	무섭/VA+다/EF+./SF


# id : NWRW1800000030.208.2.2
포르투갈 정규리그 30경기에서 27승3무로 '무패우승'을 달성한 포르투는 19일 아일랜드 더블린에서 열린 UEFA(유럽축구연맹) 유로파리그 결승전에서 팔카우(콜롬비아)의 골로 브라가(포르투갈)를 1대0으로 꺾고 우승컵을 거머쥐었다.

포르투갈	포르투갈/NNP
정규리그	정규/NNG+리그/NNG
30경기에서	30/SN+경기/NNG+에서/JKB
27승3무로	27/SN+승/NNB+3/SN+무/NNB+로/JKB
'무패우승'을	'/SS+무패/NNG+우승/NNG+'/SS+을/JKO
달성한	달성/NNG+하/XSV+ㄴ/ETM
포르투는	포르투/NNP+는/JX
19일	19/SN+일/NNB
아일랜드	아일랜드/NNP
더블린에서	더블린/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
UEFA(유럽축구연맹)	UEFA/SL+(/SS+유럽축구연맹/NNP+)/SS
유로파리그	유로파/NNP+리그/NNG
결승전에서	결승전/NNG+에서/JKB
팔카우(콜롬비아)의	팔카우/NNP+(/SS+콜롬비아/NNP+)/SS+의/JKG
골로	골/NNG+로/JKB
브라가(포르투갈)를	브라가/NNP+(/SS+포르투갈/NNP+)/SS+를/JKO
1대0으로	1/SN+대/NNB+0/SN+으로/JKB
꺾고	꺾/VV+고/EC
우승컵을	우승컵/NNG+을/JKO
거머쥐었다.	거머쥐/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.208.2.3
챔피언스리그보다 한 등급 낮은 유로파리그는 각 유럽리그 차상위 팀이 정상을 가리는 대회다.

챔피언스리그보다	챔피언스리그/NNG+보다/JKB
한	한/MMN
등급	등급/NNG
낮은	낮/VA+은/ETM
유로파리그는	유로파/NNP+리그/NNG+는/JX
각	각/MMD
유럽리그	유럽/NNP+리그/NNG
차상위	차상위/NNG
팀이	팀/NNG+이/JKS
정상을	정상/NNG+을/JKO
가리는	가리/VV+는/ETM
대회다.	대회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.208.3.1
이 모든 위업을 지휘한 감독은 34세의 안드레 비야스-보아스(포르투갈)다.

이	이/MMD
모든	모든/MMN
위업을	위업/NNG+을/JKO
지휘한	지휘/NNG+하/XSV+ㄴ/ETM
감독은	감독/NNG+은/JX
34세의	34/SN+세/NNB+의/JKG
안드레	안드레/NNP
비야스-보아스(포르투갈)다.	비야스/NNP+-/SO+보아스/NNP+(/SS+포르투갈/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000030.208.3.2
맨유의 라이언 긱스보다 네 살이나 어린 '풋내기 사령탑'은 프로리그에서 선수로 뛴 경험조차 없다.

맨유의	맨유/NNP+의/JKG
라이언	라이언/NNP
긱스보다	긱스/NNP+보다/JKB
네	네/MMN
살이나	살/NNB+이나/JX
어린	어리/VA+ㄴ/ETM
'풋내기	'/SS+풋내기/NNG
사령탑'은	사령탑/NNG+'/SS+은/JX
프로리그에서	프로/NNG+리그/NNG+에서/JKB
선수로	선수/NNG+로/JKB
뛴	뛰/VV+ㄴ/ETM
경험조차	경험/NNG+조차/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.208.3.3
유럽 클럽축구 대항전에서 우승한 최연소 감독이 프로 경험도 없는 축구 마니아 출신이라는 얘기다.

유럽	유럽/NNP
클럽축구	클럽/NNG+축구/NNG
대항전에서	대항전/NNG+에서/JKB
우승한	우승/NNG+하/XSV+ㄴ/ETM
최연소	최/XPN+연소/NNG
감독이	감독/NNG+이/JKS
프로	프로/NNG
경험도	경험/NNG+도/JX
없는	없/VA+는/ETM
축구	축구/NNG
마니아	마니아/NNG
출신이라는	출신/NNG+이/VCP+라는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.208.4.1
비야스-보아스는 '제2의 무리뉴', '리틀 무리뉴'라 불릴 정도로 주제 무리뉴(48) 레알 마드리드 감독과 닮았다.

비야스-보아스는	비야스/NNP+-/SO+보아스/NNP+는/JX
'제2의	'/SS+제/XPN+2/SN+의/JKG
무리뉴',	무리뉴/NNP+'/SS+,/SP
'리틀	'/SS+리틀/NNG
무리뉴'라	무리뉴/NNP+'/SS+라/JKQ
불릴	불리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
주제	주제/NNP
무리뉴(48)	무리뉴/NNP+(/SS+48/SN+)/SS
