# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.352
metadata : {}


# id : NWRW1800000022.352.1.1
"카메룬한테 진 날, 감독님은 독일전 얘기뿐 '카'자도 안 꺼내";청소년 축구대표팀 어제 귀국… 최고스타 김민우 인터뷰

"카메룬한테	"/SS+카메룬/NNP+한테/JKB
진	지/VV+ㄴ/ETM
날,	날/NNG+,/SP
감독님은	감독/NNG+님/XSN+은/JX
독일전	독일전/NNG
얘기뿐	얘기/NNG+뿐/JX
'카'자도	'/SS+카/NNG+'/SS+자/NNG+도/JX
안	안/MAG
꺼내";청소년	꺼내/VV+어/EF+"/SS+;/SP+청소년/NNG
축구대표팀	축구/NNG+대표/NNG+팀/NNG
어제	어제/NNG
귀국…	귀국/NNG+…/SE
최고스타	최고/NNG+스타/NNG
김민우	김민우/NNP
인터뷰	인터뷰/NNG


# id : NWRW1800000022.352.2.1
스타킹도 끝까지 올려야 해요?

스타킹도	스타킹/NNG+도/JX
끝까지	끝/NNG+까지/JX
올려야	올리/VV+어야/EC
해요?	하/VX+아요/EF+?/SF


# id : NWRW1800000022.352.2.2
아, 혼자 입으려니 민망하네.

아,	아/IC+,/SP
혼자	혼자/MAG
입으려니	입/VV+으려니/EC
민망하네.	민망하/VA+네/EF+./SF


# id : NWRW1800000022.352.3.1
12일 오후 연세대에서 만난 김민우(19·연세대)는 캠퍼스에서 사진찍는 게 쑥스러운 듯했다.

12일	12/SN+일/NNB
오후	오후/NNG
연세대에서	연세대/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
김민우(19·연세대)는	김민우/NNP+(/SS+19/SN+·/SP+연세대/NNP+)/SS+는/JX
캠퍼스에서	캠퍼스/NNG+에서/JKB
사진찍는	사진/NNG+찍/VV+는/ETM
게	거/NNB+이/JKS
쑥스러운	쑥스럽/VA+ㄴ/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.352.3.2
김민우는 자기를 알아보고 학생들이 달려와 사인 요청을 하자 환하게 웃었다.

김민우는	김민우/NNP+는/JX
자기를	자기/NP+를/JKO
알아보고	알아보/VV+고/EC
학생들이	학생/NNG+들/XSN+이/JKS
달려와	달려오/VV+아/EC
사인	사인/NNG
요청을	요청/NNG+을/JKO
하자	하/VV+자/EC
환하게	환하/VA+게/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.352.3.3
팬의 등에 종이를 받쳐 쓱쓱 자기 이름을 써 내려가던 그는 "이집트에서 보낸 지난 보름간 일이 꿈만 같다"고 했다.

