# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.296
metadata : {}


# id : NWRW1800000053.296.1.1
문재인, 반기문에 견제구 “변화의지도 준비도 부족”

문재인,	문재인/NNP+,/SP
반기문에	반기문/NNP+에/JKB
견제구	견제구/NNG
“변화의지도	“/SS+변화/NNG+의지/NNG+도/JX
준비도	준비/NNG+도/JX
부족”	부족/NNG+”/SS


# id : NWRW1800000053.296.2.1
잠행하던 안철수 3일 팽목항 방문 “대선은 문재인과 안철수의 대결… 개헌을 연대수단 삼는건 부적절”

잠행하던	잠행/NNG+하/XSV+던/ETM
안철수	안철수/NNP
3일	3/SN+일/NNB
팽목항	팽목항/NNP
방문	방문/NNG
“대선은	“/SS+대선/NNG+은/JX
문재인과	문재인/NNP+과/JC
안철수의	안철수/NNP+의/JKG
대결…	대결/NNG+…/SE
개헌을	개헌/NNG+을/JKO
연대수단	연대/NNG+수단/NNG
삼는건	삼/VV+는/ETM+거/NNB+ㄴ/JX
부적절”	부적절/XR+”/SS


# id : NWRW1800000053.296.3.1
더불어민주당 문재인 전 대표가 4일 반기문 전 유엔 사무총장에 대해 “구시대, 구체제 속에서 늘 누려온 사람으로 촛불 민심이 요구하는 변화에 적합한 의지가 과연 있는지 의문이 든다”고 평가 절하했다.

더불어민주당	더불어민주당/NNP
문재인	문재인/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
4일	4/SN+일/NNB
반기문	반기문/NNP
유엔	유엔/NNP
사무총장에	사무총장/NNG+에/JKB
대해	대하/VV+아/EC
“구시대,	“/SS+구/XPN+시대/NNG+,/SP
구체제	구/XPN+체제/NNG
속에서	속/NNG+에서/JKB
늘	늘/MAG
누려온	누리/VV+어/EC+오/VX+ㄴ/ETM
사람으로	사람/NNG+으로/JKB
촛불	촛불/NNG
민심이	민심/NNG+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
변화에	변화/NNG+에/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
의지가	의지/NNG+가/JKS
과연	과연/MAG
있는지	있/VA+는지/EC
의문이	의문/NNG+이/JKS
든다”고	들/VV+ㄴ다/EF+”/SS+고/JKQ
평가	평가/NNG
절하했다.	절하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.296.4.1
문 전 대표는 이날 오후 경남 창원시 경남도의회 브리핑룸에서 경남기자간담회를 갖고 “(반 전 총장은) 변화에 대한 의지가 모자라고 검증이 안 됐으며 준비가 미흡하다”고 말했다.

문	문/NNP
전	전/MMD
대표는	대표/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
경남	경남/NNP
창원시	창원시/NNP
경남도의회	경남도의회/NNP
브리핑룸에서	브리핑룸/NNG+에서/JKB
경남기자간담회를	경남/NNP+기자/NNG+간담회/NNG+를/JKO
갖고	갖/VV+고/EC
“(반	“/SS+(/SS+반/NNP
총장은)	총장/NNG+은/JX+)/SS
변화에	변화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의지가	의지/NNG+가/JKS
모자라고	모자라/VV+고/EC
검증이	검증/NNG+이/JKC
안	안/MAG
됐으며	되/VV+었/EP+으며/EC
준비가	준비/NNG+가/JKS
미흡하다”고	미흡/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.296.4.2
대신 그는 “(자신은) 국민적 요구인 사회개혁을 실현할 변화에 대한 의지가 강하고 청렴성 등의 검증이 모두 끝났다”며 “특히 (차기 대통령은) 조기 대선 가능성을 감안한다면 인수위 기간이 없어(차기 대통령이) 당선 후 곧바로 집무를 할 수 있고 인적 진용을 갖춘 사람이어야 한다”고 했다.

대신	대신/NNG
그는	그/NP+는/JX
“(자신은)	“/SS+(/SS+자신/NNG+은/JX+)/SS
국민적	국민/NNG+적/XSN
요구인	요구/NNG+이/VCP+ㄴ/ETM
사회개혁을	사회/NNG+개혁/NNG+을/JKO
실현할	실현/NNG+하/XSV+ㄹ/ETM
변화에	변화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의지가	의지/NNG+가/JKS
강하고	강하/VA+고/EC
청렴성	청렴/NNG+성/XSN
등의	등/NNB+의/JKG
검증이	검증/NNG+이/JKS
모두	모두/MAG
끝났다”며	끝나/VV+았/EP+다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
(차기	(/SS+차기/NNG
대통령은)	대통령/NNG+은/JX+)/SS
조기	조기/NNG
대선	대선/NNG
가능성을	가능/NNG+성/XSN+을/JKO
감안한다면	감안/NNG+하/XSV+ㄴ다면/EC
인수위	인수위/NNG
기간이	기간/NNG+이/JKS
없어(차기	없/VA+어/EC+(/SS+차기/NNG
대통령이)	대통령/NNG+이/JKS+)/SS
당선	당선/NNG
후	후/NNG
곧바로	곧바로/MAG
집무를	집무/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
인적	인/NNG+적/XSN
진용을	진용/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
사람이어야	사람/NNG+이/VCP+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.296.4.3
자신만이 준비된 대통령이라는 점을 내세운 것이다.

자신만이	자신/NNG+만/JX+이/JKS
준비된	준비/NNG+되/XSV+ㄴ/ETM
대통령이라는	대통령/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
내세운	내세우/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.296.5.1
일주일 가까이 공개 일정 없이 잠행하던 국민의당 안철수 전 상임공동대표는 전날(3일) 전남 진도군 팽목항을 찾은 것으로 뒤늦게 알려졌다.

일주일	일주일/NNG
가까이	가까이/MAG
공개	공개/NNG
일정	일정/NNG
없이	없이/MAG
잠행하던	잠행/NNG+하/XSV+던/ETM
국민의당	국민의당/NNP
안철수	안철수/NNP
전	전/MMD
상임공동대표는	상임/NNG+공동/NNG+대표/NNG+는/JX
전날(3일)	전날/NNG+(/SS+3/SN+일/NNB+)/SS
전남	전남/NNP
진도군	진도군/NNP
팽목항을	팽목항/NNP+을/JKO
찾은	찾/VV+은/ETM
것으로	것/NNB+으로/JKB
뒤늦게	뒤늦/VA+게/EC
알려졌다.	알리/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.296.5.2
안 전 대표는 이날 페이스북에서 ‘세월호 희생자들에 보내는 편지’를 공개하며 “만시지탄이지만 이제부터라도 뿌리째 썩어 있는 대한민국을 바꾸겠다”며 “그것이 여러분을 지켜주지 못한 것에 대한 제 사과이자 도리”라고 밝혔다.

안	안/NNP
전	전/MMD
대표는	대표/NNG+는/JX
이날	이날/NNG
페이스북에서	페이스북/NNP+에서/JKB
‘세월호	‘/SS+세월호/NNP
희생자들에	희생자/NNG+들/XSN+에/JKB
