# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.178
metadata : {}


# id : NWRW1800000026.178.1.1
[강원] '스키점핑타워' 스카이라운지 오픈

[강원]	[/SS+강원/NNP+]/SS
'스키점핑타워'	'/SS+스키점핑타워/NNP+'/SS
스카이라운지	스카이라운지/NNG
오픈	오픈/NNG


# id : NWRW1800000026.178.2.1
강원도개발공사(사장 조방래)가 운영하는 알펜시아 리조트 스키점핑 타워가 일반인에게 개방됐다.

강원도개발공사(사장	강원도개발공사/NNP+(/SS+사장/NNG
조방래)가	조방래/NNP+)/SS+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
알펜시아	알펜시아/NNP
리조트	리조트/NNG
스키점핑	스키점핑/NNG
타워가	타워/NNG+가/JKS
일반인에게	일반인/NNG+에게/JKB
개방됐다.	개방/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.178.3.1
스키점핑 타워는 2006년 9월 착공해 2009년 6월 준공됐으며, 베이직하우스, 천연잔디축구장(동계올림픽 개폐회장), 심판타워 등과 함께 2018 평창동계올림픽의 핵심시설이 될 예정이다.

스키점핑	스키점핑/NNG
타워는	타워/NNG+는/JX
2006년	2006/SN+년/NNB
9월	9/SN+월/NNB
착공해	착공/NNG+하/XSV+아/EC
2009년	2009/SN+년/NNB
6월	6/SN+월/NNB
준공됐으며,	준공/NNG+되/XSV+었/EP+으며/EC+,/SP
베이직하우스,	베이직하우스/NNP+,/SP
천연잔디축구장(동계올림픽	천연/NNG+잔디/NNG+축구장/NNG+(/SS+동계/NNG+올림픽/NNG
개폐회장),	개폐회장/NNG+)/SS+,/SP
심판타워	심판/NNG+타워/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
2018	2018/SN
평창동계올림픽의	평창/NNP+동계/NNG+올림픽/NNG+의/JKG
핵심시설이	핵심/NNG+시설/NNG+이/JKC
될	되/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.178.3.2
타워는 영화 '국가대표' 촬영장소로도 유명하다.

타워는	타워/NNG+는/JX
영화	영화/NNG
'국가대표'	'/SS+국가/NNG+대표/NNG+'/SS
촬영장소로도	촬영/NNG+장소/NNG+로/JKB+도/JX
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.178.4.1
스키점핑타워는 스키점프경기장 베이직하우스에서 330m의 모노레일을 탑승해 타워 스카이라운지까지 이동하게 되며 스넥 및 음료를 마시며 대관령 초원과 스키점프 선수들의 비상하는 모습을 감상할 수 있다.

스키점핑타워는	스키점핑타워/NNP+는/JX
스키점프경기장	스키/NNG+점프/NNG+경기장/NNG
베이직하우스에서	베이직하우스/NNP+에서/JKB
330m의	330/SN+m/SW+의/JKG
모노레일을	모노레일/NNG+을/JKO
탑승해	탑승/NNG+하/XSV+아/EC
타워	타워/NNG
스카이라운지까지	스카이라운지/NNG+까지/JX
이동하게	이동/NNG+하/XSV+게/EC
되며	되/VV+며/EC
스넥	스넥/NNG
및	및/MAG
음료를	음료/NNG+를/JKO
마시며	마시/VV+며/EC
대관령	대관령/NNP
초원과	초원/NNG+과/JC
스키점프	스키/NNG+점프/NNG
선수들의	선수/NNG+들/XSN+의/JKG
비상하는	비상/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
감상할	감상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.178.4.2
이용요금은 성인 2000원, 청소년 1500원, 어린이 1000원이다.

이용요금은	이용/NNG+요금/NNG+은/JX
성인	성인/NNG
2000원,	2000/SN+원/NNB+,/SP
청소년	청소년/NNG
1500원,	1500/SN+원/NNB+,/SP
어린이	어린이/NNG
1000원이다.	1000/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.178.5.1
베이직하우스 2층에는 대관령 스키 역사관도 함께 문을 열었다.

베이직하우스	베이직하우스/NNP
2층에는	2/SN+층/NNG+에/JKB+는/JX
대관령	대관령/NNP
스키	스키/NNG
역사관도	역사관/NNG+도/JX
함께	함께/MAG
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.178.5.2
1912년 함경북도 명천에서 발견된 한국 최초의 스키에서, 근대 스키에 이르기까지 70여점을 전시돼 있고, 관람료는 무료다.

1912년	1912/SN+년/NNB
함경북도	함경북도/NNP
명천에서	명천/NNP+에서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
한국	한국/NNP
최초의	최초/NNG+의/JKG
스키에서,	스키/NNG+에서/JKB+,/SP
근대	근대/NNG
스키에	스키/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
70여점을	70/SN+여/XSN+점/NNB+을/JKO
전시돼	전시/NNG+되/XSV+어/EC
있고,	있/VX+고/EC+,/SP
관람료는	관람료/NNG+는/JX
무료다.	무료/NNG+이/VCP+다/EF+./SF


