# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.250
metadata : {}


# id : NWRW1800000024.250.1.1
학계 ‘MB정권, 파시즘인가’ 논쟁중

학계	학계/NNG
‘MB정권,	‘/SS+MB/SL+정권/NNG+,/SP
파시즘인가’	파시즘/NNG+이/VCP+ㄴ가/EF+’/SS
논쟁중	논쟁/NNG+중/NNB


# id : NWRW1800000024.250.2.1
파시즘 담론이 확산되고 있다.

파시즘	파시즘/NNG
담론이	담론/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.250.2.2
‘우리 안의 파시즘’ 같은 미시적 문화담론이 아니다.

‘우리	‘/SS+우리/NP
안의	안/NNG+의/JKG
파시즘’	파시즘/NNG+’/SS
같은	같/VA+은/ETM
미시적	미시/NNG+적/XSN
문화담론이	문화/NNG+담론/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000024.250.2.3
정치적이고 사회적인 ‘우리 밖의 파시즘’이다.

정치적이고	정치/NNG+적/XSN+이/VCP+고/EC
사회적인	사회/NNG+적/XSN+이/VCP+ㄴ/ETM
‘우리	‘/SS+우리/NP
밖의	밖/NNG+의/JKG
파시즘’이다.	파시즘/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000024.250.2.4
‘체제로서의 파시즘’이 논란이 되기는 1993년 문민정부 출범 이후 처음이다.

‘체제로서의	‘/SS+체제/NNG+로서/JKB+의/JKG
파시즘’이	파시즘/NNG+’/SS+이/JKS
논란이	논란/NNG+이/JKC
되기는	되/VV+기/ETN+는/JX
1993년	1993/SN+년/NNB
문민정부	문민정부/NNG
출범	출범/NNG
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.250.2.5
▶관련기사 19면

▶관련기사	▶/SW+관련/NNG+기사/NNG
19면	19/SN+면/NNG


# id : NWRW1800000024.250.3.1
시작은 지난 5월 민교협 토론회였다.

