# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.199
metadata : {}


# id : NWRW1800000052.199.1.1
새달부터 서울 대학병원서도 간호·간병 통합서비스

새달부터	새달/NNG+부터/JX
서울	서울/NNP
대학병원서도	대학/NNG+병원/NNG+서/JKB+도/JX
간호·간병	간호/NNG+·/SP+간병/NNG
통합서비스	통합/NNG+서비스/NNG


# id : NWRW1800000052.199.2.1
간호사가 간병 서비스까지 제공

간호사가	간호사/NNG+가/JKS
간병	간병/NNG
서비스까지	서비스/NNG+까지/JX
제공	제공/NNG


# id : NWRW1800000052.199.3.1
현재 지방 중소병원 등 112곳서

현재	현재/MAG
지방	지방/NNG
중소병원	중소/NNG+병원/NNG
등	등/NNB
112곳서	112/SN+곳/NNG+서/JKB


# id : NWRW1800000052.199.4.1
상급종합병원 포함 전국 400곳으로

상급종합병원	상급/NNG+종합/NNG+병원/NNG
포함	포함/NNG
전국	전국/NNG
400곳으로	400/SN+곳/NNG+으로/JKB


# id : NWRW1800000052.199.5.1
간호사가 환자에게 간병 서비스까지 제공하는 간호·간병 통합 서비스(포괄간호 서비스)를 하는 병원이 4월부터 서울의 병원·종합병원과 상급종합병원(대학병원 등)으로 확대된다.

간호사가	간호사/NNG+가/JKS
환자에게	환자/NNG+에게/JKB
간병	간병/NNG
서비스까지	서비스/NNG+까지/JX
제공하는	제공/NNG+하/XSV+는/ETM
간호·간병	간호/NNG+·/SP+간병/NNG
통합	통합/NNG
서비스(포괄간호	서비스/NNG+(/SS+포괄/NNG+간호/NNG
서비스)를	서비스/NNG+)/SS+를/JKO
하는	하/VV+는/ETM
병원이	병원/NNG+이/JKS
4월부터	4/SN+월/NNB+부터/JX
서울의	서울/NNP+의/JKG
병원·종합병원과	병원/NNG+·/SP+종합/NNG+병원/NNG+과/JC
상급종합병원(대학병원	상급/NNG+종합/NNG+병원/NNG+(/SS+대학/NNG+병원/NNG
등)으로	등/NNB+)/SS+으로/JKB
확대된다.	확대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.199.5.2
이에 따라 환자들의 간병비 부담이 크게 줄어들 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
환자들의	환자/NNG+들/XSN+의/JKG
간병비	간병비/NNG
부담이	부담/NNG+이/JKS
크게	크/VA+게/EC
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.199.5.3
간호·간병 통합 서비스는 현재 지방 중소병원 89곳과 공공병원 23곳 등 112곳에서 시행되고 있다.

간호·간병	간호/NNG+·/SP+간병/NNG
통합	통합/NNG
서비스는	서비스/NNG+는/JX
현재	현재/MAG
지방	지방/NNG
중소병원	중소/NNG+병원/NNG
89곳과	89/SN+곳/NNG+과/JC
공공병원	공공/NNG+병원/NNG
23곳	23/SN+곳/NNG
등	등/NNB
112곳에서	112/SN+곳/NNG+에서/JKB
시행되고	시행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.199.6.1
정진엽 보건복지부 장관은 2일 상급종합병원협의회, 국민건강보험공단, 대한병원협회, 전국 상급종합병원 관계자 등과 ‘2016년 주요 보건의료정책’을 공유하는 간담회에서 올해 4월부터 전국 상급종합병원과 서울에 있는 병원·종합병원도 간호·간병 통합 서비스를 제공하도록 추진하겠다고 밝혔다.

정진엽	정진엽/NNP
보건복지부	보건/NNG+복지부/NNG
장관은	장관/NNG+은/JX
2일	2/SN+일/NNB
상급종합병원협의회,	상급/NNG+종합/NNG+병원/NNG+협의회/NNG+,/SP
국민건강보험공단,	국민건강보험공단/NNP+,/SP
대한병원협회,	대한병원협회/NNP+,/SP
전국	전국/NNG
상급종합병원	상급/NNG+종합/NNG+병원/NNG
관계자	관계자/NNG
등과	등/NNB+과/JKB
‘2016년	‘/SS+2016/SN+년/NNB
주요	주요/NNG
보건의료정책’을	보건/NNG+의료/NNG+정책/NNG+’/SS+을/JKO
공유하는	공유/NNG+하/XSV+는/ETM
간담회에서	간담회/NNG+에서/JKB
올해	올해/NNG
4월부터	4/SN+월/NNB+부터/JX
상급종합병원과	상급/NNG+종합/NNG+병원/NNG+과/JC
서울에	서울/NNP+에/JKB
있는	있/VA+는/ETM
병원·종합병원도	병원/NNG+·/SP+종합/NNG+병원/NNG+도/JX
간호·간병	간호/NNG+·/SP+간병/NNG
통합	통합/NNG
서비스를	서비스/NNG+를/JKO
제공하도록	제공/NNG+하/XSV+도록/EC
추진하겠다고	추진/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.199.6.2
상급종합병원의 경우 애초에는 2018년부터 이 서비스를 제공할 예정이었다.

상급종합병원의	상급/NNG+종합/NNG+병원/NNG+의/JKG
경우	경우/NNG
애초에는	애초/NNG+에/JKB+는/JX
2018년부터	2018/SN+년/NNB+부터/JX
이	이/MMD
서비스를	서비스/NNG+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.199.6.3
정 장관은 이날 간담회에서 “상급종합병원이 간호·간병 통합 서비스를 제공하고 병문안을 줄이는 개선을 통해 안전한 의료환경을 조성하는 데 적극적인 역할을 당부한다”고 말했다.

정	정/NNP
장관은	장관/NNG+은/JX
이날	이날/NNG
간담회에서	간담회/NNG+에서/JKB
“상급종합병원이	“/SS+상급/NNG+종합/NNG+병원/NNG+이/JKS
간호·간병	간호/NNG+·/SP+간병/NNG
통합	통합/NNG
서비스를	서비스/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
병문안을	병문안/NNG+을/JKO
줄이는	줄이/VV+는/ETM
개선을	개선/NNG+을/JKO
통해	통하/VV+아/EC
안전한	안전/NNG+하/XSA+ㄴ/ETM
의료환경을	의료/NNG+환경/NNG+을/JKO
조성하는	조성/NNG+하/XSV+는/ETM
데	데/NNB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
역할을	역할/NNG+을/JKO
당부한다”고	당부/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.199.6.4
복지부는 올해 말까지 간호·간병 통합 서비스를 제공하는 병원을 400개로 확대할 계획이다.

복지부는	복지부/NNG+는/JX
올해	올해/NNG
말까지	말/NNB+까지/JX
간호·간병	간호/NNG+·/SP+간병/NNG
통합	통합/NNG
서비스를	서비스/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
병원을	병원/NNG+을/JKO
400개로	400/SN+개/NNB+로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.199.7.1
간호·간병 통합 서비스를 제공하는 병동에 입원하면 환자가 별도로 간병인을 구해 쓸 필요가 없기 때문에 간병비 부담이 상급종합병원의 경우 하루 약 2만원으로 줄어든다.

간호·간병	간호/NNG+·/SP+간병/NNG
통합	통합/NNG
서비스를	서비스/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
병동에	병동/NNG+에/JKB
입원하면	입원/NNG+하/XSV+면/EC
환자가	환자/NNG+가/JKS
별도로	별도/NNG+로/JKB
간병인을	간병인/NNG+을/JKO
구해	구하/VV+아/EC
쓸	쓰/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
간병비	간병비/NNG
부담이	부담/NNG+이/JKS
상급종합병원의	상급/NNG+종합/NNG+병원/NNG+의/JKG
경우	경우/NNG
하루	하루/NNG
약	약/MMA
2만원으로	2/SN+만/NR+원/NNB+으로/JKB
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.199.7.2
또 암 등 중증질환을 앓는 경우 산정특례를 받기 때문에 4천원가량으로 부담이 감소한다.

또	또/MAG
암	암/NNG
등	등/NNB
중증질환을	중증/NNG+질환/NNG+을/JKO
앓는	앓/VV+는/ETM
