# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.219
metadata : {}


# id : NWRW1800000049.219.1.1
안병훈 “亞골프 명예를 위해”

안병훈	안병훈/NNP
“亞골프	“/SS+亞/SH+골프/NNG
명예를	명예/NNG+를/JKO
위해”	위하/VV+아/EF+”/SS


# id : NWRW1800000049.219.2.1
15일 개막 유라시아컵 亞대표 출전… 2016년 목표는 PGA직행-올림픽 출전

15일	15/SN+일/NNB
개막	개막/NNG
유라시아컵	유라시아/NNP+컵/NNG
亞대표	亞/SH+대표/NNG
출전…	출전/NNG+…/SE
2016년	2016/SN+년/NNB
목표는	목표/NNG+는/JX
PGA직행-올림픽	PGA/SL+직행/NNG+-/SO+올림픽/NNG
출전	출전/NNG


# id : NWRW1800000049.219.3.1
지난해 유러피안프로골프투어에서 한국인 최초로 신인상을 받으며 존재감을 과시했던 안병훈(25·사진)이 새해를 맞아 더 큰 무대를 향한 도전을 시작했다.

지난해	지난해/NNG
유러피안프로골프투어에서	유러피안프로골프투어/NNG+에서/JKB
한국인	한국인/NNG
최초로	최초/NNG+로/JKB
신인상을	신인상/NNG+을/JKO
받으며	받/VV+으며/EC
존재감을	존재감/NNG+을/JKO
과시했던	과시/NNG+하/XSV+았/EP+던/ETM
안병훈(25·사진)이	안병훈/NNP+(/SS+25/SN+·/SP+사진/NNG+)/SS+이/JKS
새해를	새해/NNG+를/JKO
맞아	맞/VV+아/EC
더	더/MAG
큰	크/VA+ㄴ/ETM
무대를	무대/NNG+를/JKO
향한	향하/VV+ㄴ/ETM
도전을	도전/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.219.4.1
안병훈이 올해 첫 출전하는 대회는 15일 말레이시아 쿠알라룸푸르 클렌마리골프장에서 개막하는 유라시아컵이다.

안병훈이	안병훈/NNP+이/JKS
올해	올해/NNG
첫	첫/MMN
출전하는	출전/NNG+하/XSV+는/ETM
대회는	대회/NNG+는/JX
15일	15/SN+일/NNB
말레이시아	말레이시아/NNP
쿠알라룸푸르	쿠알라룸푸르/NNP
클렌마리골프장에서	클렌마리골프장/NNP+에서/JKB
개막하는	개막/NNG+하/XSV+는/ETM
유라시아컵이다.	유라시아/NNP+컵/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.219.4.2
유럽과 아시아의 대륙 간 골프대항전으로 열리는 이 대회에 안병훈은 아시아를 대표하는 12명의 멤버 중 한 명으로 뽑혔다.

유럽과	유럽/NNP+과/JC
아시아의	아시아/NNP+의/JKG
