# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.243
metadata : {}


# id : NWRW1800000025.243.1.1
李대통령, 내일 中企대표 30여명과 대화

李대통령,	李/SH+대통령/NNG+,/SP
내일	내일/NNG
中企대표	中企/SH+대표/NNG
30여명과	30/SN+여/XSN+명/NNB+과/JKB
대화	대화/NNG


# id : NWRW1800000025.243.2.1
이명박 대통령은 6일 정례 라디오·인터넷 연설에서 “(경제) 성장의 온기가 아직 골고루 퍼지지 않아 마음이 무겁다”며 “앞으로 서민과 중산층을 위한 정책에 더욱 역점을 두겠다”고 말했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
6일	6/SN+일/NNB
정례	정례/NNG
라디오·인터넷	라디오/NNG+·/SP+인터넷/NNG
연설에서	연설/NNG+에서/JKB
“(경제)	“/SS+(/SS+경제/NNG+)/SS
성장의	성장/NNG+의/JKG
온기가	온기/NNG+가/JKS
아직	아직/MAG
골고루	골고루/MAG
퍼지지	퍼지/VV+지/EC
않아	않/VX+아/EC
마음이	마음/NNG+이/JKS
무겁다”며	무겁/VA+다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
서민과	서민/NNG+과/JC
중산층을	중산/NNG+층/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
정책에	정책/NNG+에/JKB
더욱	더욱/MAG
역점을	역점/NNG+을/JKO
두겠다”고	두/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.243.2.2
이 대통령은 8일 중소기업 대표자 30여 명을 청와대로 초청해 조찬간담회를 갖고 중소기업의 어려움 해소책 및 대기업-중소기업 상생 방안에 대해 의견을 교환할 예정이다.

이	이/NNP
대통령은	대통령/NNG+은/JX
8일	8/SN+일/NNB
중소기업	중소기업/NNG
대표자	대표자/NNG
30여	30/SN+여/XSN
명을	명/NNB+을/JKO
청와대로	청와대/NNP+로/JKB
초청해	초청/NNG+하/XSV+아/EC
조찬간담회를	조찬/NNG+간담회/NNG+를/JKO
갖고	갖/VV+고/EC
중소기업의	중소기업/NNG+의/JKG
어려움	어려움/NNG
해소책	해소책/NNG
및	및/MAG
대기업-중소기업	대/XPN+기업/NNG+-/SO+중소기업/NNG
상생	상생/NNG
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
의견을	의견/NNG+을/JKO
교환할	교환/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.243.2.3
김희정 청와대 대변인은 “향후 대기업 인사들을 만나 대화할 구상을 갖고 있지만 날짜나 참석 대상은 정해지지 않았다”고 말했다.

김희정	김희정/NNP
청와대	청와대/NNP
대변인은	대변인/NNG+은/JX
“향후	“/SS+향후/NNG
대기업	대/XPN+기업/NNG
인사들을	인사/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
대화할	대화/NNG+하/XSV+ㄹ/ETM
구상을	구상/NNG+을/JKO
갖고	갖/VV+고/EC
있지만	있/VX+지만/EC
날짜나	날짜/NNG+나/JC
참석	참석/NNG
대상은	대상/NNG+은/JX
정해지지	정하/VV+아/EC+지/VX+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.243.2.4
한편 이 대통령은 이날 수석비서관회의를 주재한 자리에서 “태풍 때문에 과일가격이 올랐고 낙과(落果) 피해도 크다”며 “낙과수매운동이라도 해야겠다.

한편	한편/MAG
이	이/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
수석비서관회의를	수석/NNG+비서관/NNG+회의/NNG+를/JKO
주재한	주재/NNG+하/XSV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
“태풍	“/SS+태풍/NNG
때문에	때문/NNB+에/JKB
과일가격이	과일/NNG+가격/NNG+이/JKS
올랐고	오르/VV+았/EP+고/EC
낙과(落果)	낙과/NNG+(/SS+落果/SH+)/SS
피해도	피해/NNG+도/JX
크다”며	크/VA+다/EF+”/SS+며/EC
“낙과수매운동이라도	“/SS+낙과/NNG+수매/NNG+운동/NNG+이라도/JX
해야겠다.	하/VV+아야/EC+하/VX+겠/EP+다/EF+./SF


# id : NWRW1800000025.243.2.5
사회적 관심을 불러일으켜 달라”고 당부했다.

사회적	사회/NNG+적/XSN
관심을	관심/NNG+을/JKO
불러일으켜	불러일으키/VV+어/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


