# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.25
metadata : {}


# id : NWRW1800000028.25.1.1
대전 자전거 통학 쉬워진다

대전	대전/NNP
자전거	자전거/NNG
통학	통학/NNG
쉬워진다	쉬워지/VV+ㄴ다/EF


# id : NWRW1800000028.25.2.1
대전에서는 자전거 타고 학교 가기가 쉬워질 것으로 보인다.

대전에서는	대전/NNP+에서/JKB+는/JX
자전거	자전거/NNG
타고	타/VV+고/EC
학교	학교/NNG
가기가	가/VV+기/ETN+가/JKS
쉬워질	쉬워지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.25.3.1
대전시는 자전거 이용자의 급격한 증가 추세와는 반대로 청소년 계층의 자전거 이용률이 저조한 것은 편의시설 부족과 안전사고를 우려한 학교 쪽이 자전거 통학을 억제하기 때문으로 보고, 이에 대한 대책을 마련했다고 19일 밝혔다.

대전시는	대전시/NNP+는/JX
자전거	자전거/NNG
이용자의	이용자/NNG+의/JKG
급격한	급격하/VA+ㄴ/ETM
증가	증가/NNG
추세와는	추세/NNG+와/JKB+는/JX
반대로	반대/NNG+로/JKB
청소년	청소년/NNG
계층의	계층/NNG+의/JKG
이용률이	이용/NNG+률/XSN+이/JKS
저조한	저조/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
편의시설	편의/NNG+시설/NNG
부족과	부족/NNG+과/JC
안전사고를	안전사고/NNG+를/JKO
우려한	우려/NNG+하/XSV+ㄴ/ETM
학교	학교/NNG
쪽이	쪽/NNB+이/JKS
통학을	통학/NNG+을/JKO
억제하기	억제/NNG+하/XSV+기/ETN
때문으로	때문/NNB+으로/JKB
보고,	보/VV+고/EC+,/SP
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
대책을	대책/NNG+을/JKO
마련했다고	마련/NNG+하/XSV+았/EP+다고/EC
19일	19/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.25.4.1
시는 자전거 전용도로 개설 및 단절구간 정비, 자전거 보관대 및 공기 주입기 등 편의시설 확충과 자전거 시범·선도학교 운영 내실화 및 전문교육프로그램 마련 등의 대책을 함께 추진하기로 했다.

시는	시/NNG+는/JX
자전거	자전거/NNG
전용도로	전용/NNG+도로/NNG
개설	개설/NNG
및	및/MAG
단절구간	단절/NNG+구간/NNG
정비,	정비/NNG+,/SP
보관대	보관대/NNG
공기	공기/NNG
주입기	주입기/NNG
등	등/NNB
편의시설	편의/NNG+시설/NNG
확충과	확충/NNG+과/JC
시범·선도학교	시범/NNG+·/SP+선도/NNG+학교/NNG
운영	운영/NNG
내실화	내실/NNG+화/XSN
전문교육프로그램	전문/NNG+교육/NNG+프로그램/NNG
마련	마련/NNG
등의	등/NNB+의/JKG
대책을	대책/NNG+을/JKO
함께	함께/MAG
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.25.5.1
시는 우선 통학 수요가 큰 지역을 선정해 거주지와 학교를 연결하는 주요 간선도로에 단계적으로 통학 중심의 자전거 전용도로 64.2㎞를 올해 안에 구축하고, 내년부터는 140.6㎞를 추가로 조성할 계획이다.

시는	시/NNG+는/JX
우선	우선/MAG
통학	통학/NNG
수요가	수요/NNG+가/JKS
큰	크/VA+ㄴ/ETM
지역을	지역/NNG+을/JKO
선정해	선정/NNG+하/XSV+아/EC
거주지와	거주지/NNG+와/JKB
학교를	학교/NNG+를/JKO
연결하는	연결/NNG+하/XSV+는/ETM
주요	주요/NNG
간선도로에	간선/NNG+도로/NNG+에/JKB
단계적으로	단계/NNG+적/XSN+으로/JKB
중심의	중심/NNG+의/JKG
자전거	자전거/NNG
전용도로	전용/NNG+도로/NNG
64.2㎞를	64/SN+./SP+2/SN+㎞/SW+를/JKO
올해	올해/NNG
안에	안/NNG+에/JKB
구축하고,	구축/NNG+하/XSV+고/EC+,/SP
내년부터는	내년/NNG+부터/JX+는/JX
140.6㎞를	140/SN+./SP+6/SN+㎞/SW+를/JKO
추가로	추가/NNG+로/JKB
조성할	조성/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.25.6.1
또 자전거 도로의 연속성과 안전성 확보를 위해 올해 보도턱 200곳을 정비하고 횡단도 100곳을 설치할 예정이다.

또	또/MAG
자전거	자전거/NNG
도로의	도로/NNG+의/JKG
연속성과	연속/NNG+성/XSN+과/JC
안전성	안전/NNG+성/XSN
확보를	확보/NNG+를/JKO
위해	위하/VV+아/EC
올해	올해/NNG
보도턱	보도/NNG+턱/NNG
200곳을	200/SN+곳/NNG+을/JKO
정비하고	정비/NNG+하/XSV+고/EC
횡단도	횡단도/NNG
100곳을	100/SN+곳/NNG+을/JKO
설치할	설치/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.25.6.2
내년 이후에는 연차적으로 보도턱 2659곳을 정비하고 횡단도 3400곳을 설치할 참이다.

내년	내년/NNG
이후에는	이후/NNG+에/JKB+는/JX
연차적으로	연차/NNG+적/XSN+으로/JKB
보도턱	보도/NNG+턱/NNG
2659곳을	2659/SN+곳/NNG+을/JKO
정비하고	정비/NNG+하/XSV+고/EC
횡단도	횡단도/NNG
3400곳을	3400/SN+곳/NNG+을/JKO
설치할	설치/NNG+하/XSV+ㄹ/ETM
참이다.	참/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.25.7.1
현재 초·중·고교 내 221곳에서 4988대 분량으로, 전체 학생 수 대비 2%에 불과한 자전거 보관대는 올해 500곳, 내년 500곳, 2012년 이후 900곳 등으로 늘려 설치 비율을 10% 이상으로 끌어올리기로 했다.

현재	현재/MAG
초·중·고교	초·중·고교/NNG
내	내/NNB
221곳에서	221/SN+곳/NNG+에서/JKB
4988대	4988/SN+대/NNG
분량으로,	분량/NNG+으로/JKB+,/SP
전체	전체/NNG
학생	학생/NNG
수	수/NNG
대비	대비/NNG
2%에	2/SN+%/SW+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
자전거	자전거/NNG
보관대는	보관대/NNG+는/JX
올해	올해/NNG
500곳,	500/SN+곳/NNG+,/SP
내년	내년/NNG
2012년	2012/SN+년/NNB
이후	이후/NNG
900곳	900/SN+곳/NNG
등으로	등/NNB+으로/JKB
늘려	늘리/VV+어/EC
설치	설치/NNG
비율을	비율/NNG+을/JKO
10%	10/SN+%/SW
이상으로	이상/NNG+으로/JKB
끌어올리기로	끌어올리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.25.8.1
