# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.427
metadata : {}


# id : NWRW1800000026.427.1.1
[부산·경남] 창원 프로야구단 창단작업 급물살;내년 1월 창단기업 확정 마산구장 리모델링 추진

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
창원	창원/NNP
프로야구단	프로/NNG+야구단/NNG
창단작업	창단/NNG+작업/NNG
급물살;내년	급물살/NNG+;/SW+내년/NNG
1월	1/SN+월/NNB
창단기업	창단/NNG+기업/NNG
확정	확정/NNG
마산구장	마산구장/NNP
리모델링	리모델링/NNG
추진	추진/NNG


# id : NWRW1800000026.427.2.1
게임 전문업체 엔씨소프트의 프로야구단 창단 의향서 제출로 경남 창원시를 연고로 한 프로야구 9구단 창단작업이 급물살을 타고 있다.

게임	게임/NNG
전문업체	전문/NNG+업체/NNG
엔씨소프트의	엔씨소프트/NNP+의/JKG
프로야구단	프로/NNG+야구단/NNG
창단	창단/NNG
의향서	의향서/NNG
제출로	제출/NNG+로/JKB
경남	경남/NNP
창원시를	창원시/NNP+를/JKO
연고로	연고/NNG+로/JKB
한	하/VV+ㄴ/ETM
프로야구	프로/NNG+야구/NNG
9구단	9/SN+구단/NNG
창단작업이	창단/NNG+작업/NNG+이/JKS
급물살을	급물살/NNG+을/JKO
타고	타/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.427.3.1
창원시는 내년 1월 11일 한국야구위원회(KBO) 이사회에서 창단기업이 확정되면 마산야구장 리모델링과 신규 구장 건립 등에 본격 착수할 계획이라고 26일 밝혔다.

창원시는	창원시/NNP+는/JX
내년	내년/NNG
1월	1/SN+월/NNB
11일	11/SN+일/NNB
한국야구위원회(KBO)	한국야구위원회/NNP+(/SS+KBO/SL+)/SS
이사회에서	이사회/NNG+에서/JKB
창단기업이	창단/NNG+기업/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
마산야구장	마산야구장/NNP
리모델링과	리모델링/NNG+과/JC
신규	신규/NNG
구장	구장/NNG
건립	건립/NNG
등에	등/NNB+에/JKB
본격	본격/NNG
착수할	착수/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
26일	26/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.427.4.1
엔씨소프트는 22일 한국야구위원회(KBO)에 신생구단 창단 의향서를 제출했으며, 다른 2개 기업도 창원시를 연고로 하는 야구단 창단의사를 밝힐 것으로 전해졌다.

엔씨소프트는	엔씨소프트/NNP+는/JX
22일	22/SN+일/NNB
한국야구위원회(KBO)에	한국야구위원회/NNP+(/SS+KBO/SL+)/SS+에/JKB
신생구단	신생/NNG+구단/NNG
창단	창단/NNG
의향서를	의향서/NNG+를/JKO
제출했으며,	제출/NNG+하/XSV+았/EP+으며/EC+,/SP
다른	다른/MMD
2개	2/SN+개/NNB
기업도	기업/NNG+도/JX
창원시를	창원시/NNP+를/JKO
연고로	연고/NNG+로/JKB
하는	하/VV+는/ETM
야구단	야구단/NNG
창단의사를	창단/NNG+의사/NNG+를/JKO
밝힐	밝히/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000026.427.5.1
이에 따라 한국야구위원회는 오는 1월 11일 이사회를 열고 창단기업을 확정할 전망이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
한국야구위원회는	한국야구위원회/NNP+는/JX
오는	오/VV+는/ETM
1월	1/SN+월/NNB
11일	11/SN+일/NNB
이사회를	이사회/NNG+를/JKO
열고	열/VV+고/EC
창단기업을	창단/NNG+기업/NNG+을/JKO
확정할	확정/NNG+하/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.427.6.1
창원시는 창단기업이 정해지면 창단기업·KBO·창원시 간 협약을 체결한 뒤 100억원을 들여 마산야구장 리모델링에 착수한다.

창원시는	창원시/NNP+는/JX
창단기업이	창단/NNG+기업/NNG+이/JKS
정해지면	정하/VV+아/EC+지/VX+면/EC
창단기업·KBO·창원시	창단/NNG+기업/NNG+·/SP+KBO/SL+·/SP+창원시/NNP
간	간/NNB
협약을	협약/NNG+을/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
100억원을	100/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
마산야구장	마산야구장/NNP
리모델링에	리모델링/NNG+에/JKB
착수한다.	착수/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.427.6.2
창원시는 현재 2만1000여석의 마산야구장 의자를 걷어낸 뒤 등받이가 있는 현대식 의자로 교체할 계획이다.

창원시는	창원시/NNP+는/JX
현재	현재/MAG
2만1000여석의	2/SN+만/NR+1000/SN+여/XSN+석/NNB+의/JKG
마산야구장	마산야구장/NNP
의자를	의자/NNG+를/JKO
걷어낸	걷/VV+어/EC+내/VX+ㄴ/ETM
뒤	뒤/NNG
등받이가	등받이/NNG+가/JKS
있는	있/VA+는/ETM
현대식	현대식/NNG
의자로	의자/NNG+로/JKB
교체할	교체/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.427.6.3
