# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.93
metadata : {}


# id : NWRW1800000054.93.1.1
年末 대학로는 체호프의 거리

年末	年末/SH
대학로는	대학로/NNP+는/JX
체호프의	체호프/NNP+의/JKG
거리	거리/NNG


# id : NWRW1800000054.93.2.1
'갈매기' '세자매' 등 대표작 3편, 다음달 말까지 잇달아 공연

'갈매기'	'/SS+갈매기/NNP+'/SS
'세자매'	'/SS+세자매/NNP+'/SS
등	등/NNB
대표작	대표작/NNG
3편,	3/SN+편/NNB+,/SP
다음달	다음/NNG+달/NNG
말까지	말/NNB+까지/JX
잇달아	잇달/VV+아/EC
공연	공연/NNG


# id : NWRW1800000054.93.3.1
셰익스피어와 함께 연극 애호가 사이에서 가장 사랑받는 극작가 중 하나로 꼽히는 러시아 작가 안톤 체호프.

셰익스피어와	셰익스피어/NNP+와/JKB
함께	함께/MAG
연극	연극/NNG
애호가	애호가/NNG
사이에서	사이/NNG+에서/JKB
가장	가장/MAG
사랑받는	사랑/NNG+받/XSV+는/ETM
극작가	극작가/NNG
중	중/NNB
하나로	하나/NR+로/JKB
꼽히는	꼽히/VV+는/ETM
러시아	러시아/NNP
작가	작가/NNG
안톤	안톤/NNP
체호프.	체호프/NNP+./SF


# id : NWRW1800000054.93.3.2
연말 대학로 무대는 체호프의 인기를 새삼 확인할 수 있는 공연들이 연달아 오른다.

연말	연말/NNG
대학로	대학로/NNP
무대는	무대/NNG+는/JX
체호프의	체호프/NNP+의/JKG
인기를	인기/NNG+를/JKO
새삼	새삼/MAG
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공연들이	공연/NNG+들/XSN+이/JKS
연달아	연달/VV+아/EC
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.93.4.1
오는 30일까지 대학로 동숭아트센터 꼭두 소극장에서 열리는 극단 아레떼(예술감독 전무송)의 연극 '갈매기'는 러시아에서 연극을 전공한 여무영(본명 염우형) 연출가의 해석이 더해져 무대 장치를 최소화하면서도 극적인 표현이 강조됐다.

오는	오/VV+는/ETM
30일까지	30/SN+일/NNB+까지/JX
대학로	대학로/NNP
동숭아트센터	동숭아트센터/NNP
꼭두	꼭두/NNP
소극장에서	소/XPN+극장/NNG+에서/JKB
열리는	열리/VV+는/ETM
극단	극단/NNG
아레떼(예술감독	아레떼/NNP+(/SS+예술/NNG+감독/NNG
전무송)의	전무송/NNP+)/SS+의/JKG
연극	연극/NNG
'갈매기'는	'/SS+갈매기/NNP+'/SS+는/JX
러시아에서	러시아/NNP+에서/JKB
연극을	연극/NNG+을/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
여무영(본명	여무영/NNP+(/SS+본명/NNG
염우형)	염우형/NNP+)/SS
연출가의	연출가/NNG+의/JKG
해석이	해석/NNG+이/JKS
더해져	더/MAG+하/XSV+아/EC+지/VX+어/EC
무대	무대/NNG
장치를	장치/NNG+를/JKO
최소화하면서도	최소/NNG+화/XSN+하/XSV+면서/EC+도/JX
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
표현이	표현/NNG+이/JKS
강조됐다.	강조/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.93.4.2
여 연출가는 "기성세대와 젊은이들 사이에 의사소통이 제대로 이뤄지지 않는 현실과 미래에 대한 불안과 의혹에 대해 이야기하는 원작을 보면 1890년대 러시아에서 21세기 한국 시대상을 엿볼 수 있다"고 말했다.

여	여/NNP
연출가는	연출가/NNG+는/JX
"기성세대와	"/SS+기성세대/NNG+와/JC
젊은이들	젊은이/NNG+들/XSN
사이에	사이/NNG+에/JKB
의사소통이	의사소통/NNG+이/JKS
제대로	제대로/MAG
이뤄지지	이뤄지/VV+지/EC
않는	않/VX+는/ETM
현실과	현실/NNG+과/JC
미래에	미래/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불안과	불안/NNG+과/JC
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
이야기하는	이야기/NNG+하/XSV+는/ETM
원작을	원작/NNG+을/JKO
보면	보/VV+면/EC
1890년대	1890/SN+년대/NNB
러시아에서	러시아/NNP+에서/JKB
21세기	21/SN+세기/NNG
한국	한국/NNP
시대상을	시대상/NNG+을/JKO
엿볼	엿보/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.93.4.3
연극 '갈매기'의 의 주인공이자 '젊은 세대'를 대표하는 작가 지망생 뜨레플레프는 당대 최고의 여배우이자 어머니, 또 '기성세대'를 말하는 아르카지나와 작품 해석을 두고 대립한다.

연극	연극/NNG
'갈매기'의	'/SS+갈매기/NNP+'/SS+의/JKG
의	의/NA
주인공이자	주인공/NNG+이/VCP+자/EC
'젊은	'/SS+젊/VA+은/ETM
세대'를	세대/NNG+'/SS+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
작가	작가/NNG
지망생	지망/NNG+생/XSN
뜨레플레프는	뜨레플레프/NNP+는/JX
당대	당대/NNG
최고의	최고/NNG+의/JKG
여배우이자	여배우/NNG+이/VCP+자/EC
어머니,	어머니/NNG+,/SP
또	또/MAG
'기성세대'를	'/SS+기성세대/NNG+'/SS+를/JKO
말하는	말/NNG+하/XSV+는/ETM
아르카지나와	아르카지나/NNP+와/JKB
작품	작품/NNG
해석을	해석/NNG+을/JKO
두고	두/VV+고/EC
대립한다.	대립/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.93.5.1
대학로의 '체호프 전용관'인 아트씨어터 문에서는 올 연말까지 극단 애플씨어터의 '세자매'가 무대를 장식한다.

대학로의	대학로/NNP+의/JKG
'체호프	'/SS+체호프/NNP
전용관'인	전용관/NNG+'/SS+이/VCP+ㄴ/ETM
아트씨어터	아트씨어터/NNP
문에서는	문/NNP+에서/JKB+는/JX
올	올/NNG
연말까지	연말/NNG+까지/JX
극단	극단/NNG
애플씨어터의	애플씨어터/NNP+의/JKG
'세자매'가	'/SS+세자매/NNP+'/SS+가/JKS
무대를	무대/NNG+를/JKO
장식한다.	장식/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.93.5.2
애플씨어터의 전훈 대표는 지난 2004년 '체호프 서거 100주년'을 맞아 1년 내내 '갈매기' 등 체호프의 '4대장막전'을 기획한 '체호프 전문가'다.

애플씨어터의	애플씨어터/NNP+의/JKG
전훈	전훈/NNP
대표는	대표/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2004년	2004/SN+년/NNB
'체호프	'/SS+체호프/NNP
서거	서거/NNG
100주년'을	100/SN+주년/NNB+'/SS+을/JKO
맞아	맞/VV+아/EC
1년	1/SN+년/NNB
내내	내내/MAG
'갈매기'	'/SS+갈매기/NNP+'/SS
등	등/NNB
체호프의	체호프/NNP+의/JKG
'4대장막전'을	'/SS+4/SN+대/NNG+장막전/NNG+'/SS+을/JKO
기획한	기획/NNG+하/XSV+ㄴ/ETM
전문가'다.	전문가/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.93.5.3
2014년 국내 미발표 작품을 '숨겨진 4대장막전'을 기획한 인연으로 현재 '안똔체홉학회'를 이끌고 있다.

2014년	2014/SN+년/NNB
국내	국내/NNG
미발표	미/XPN+발표/NNG
작품을	작품/NNG+을/JKO
'숨겨진	'/SS+숨기/VV+어/EC+지/VX+ㄴ/ETM
4대장막전'을	4/SN+대/NNG+장막전/NNG+'/SS+을/JKO
기획한	기획/NNG+하/XSV+ㄴ/ETM
인연으로	인연/NNG+으로/JKB
현재	현재/MAG
'안똔체홉학회'를	'/SS+안똔체홉학회/NNP+'/SS+를/JKO
이끌고	이끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.93.5.4
전 대표는 "체호프의 작품을 공부하면 할수록 삶에 대해 정진하는 관조적인 태도를 배우게 됐다"며 "인간성 회복을 위해 인문학적 기본을 탄탄히 하기 위해선 체호프의 작품이 제격"이라고 말했다.

전	전/NNP
대표는	대표/NNG+는/JX
"체호프의	"/SS+체호프/NNP+의/JKG
작품을	작품/NNG+을/JKO
공부하면	공부/NNG+하/XSV+면/EC
할수록	하/VV+ㄹ수록/EC
삶에	삶/NNG+에/JKB
대해	대하/VV+아/EC
정진하는	정진/NNG+하/XSV+는/ETM
관조적인	관조/NNG+적/XSN+이/VCP+ㄴ/ETM
태도를	태도/NNG+를/JKO
배우게	배우/VV+게/EC
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"인간성	"/SS+인간/NNG+성/XSN
회복을	회복/NNG+을/JKO
위해	위하/VV+아/EC
인문학적	인문학/NNG+적/XSN
기본을	기본/NNG+을/JKO
탄탄히	탄탄히/MAG
하기	하/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
체호프의	체호프/NNP+의/JKG
작품이	작품/NNG+이/JKS
제격"이라고	제격/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.93.6.1
극단 맨씨어터(대표 우현주)는 창단 10주년 기념작으로 체호프의 작품을 택했다.

극단	극단/NNG
맨씨어터(대표	맨씨어터/NNP+(/SS+대표/NNG
우현주)는	우현주/NNP+)/SS+는/JX
창단	창단/NNG
10주년	10/SN+주년/NNB
기념작으로	기념작/NNG+으로/JKB
체호프의	체호프/NNP+의/JKG
작품을	작품/NNG+을/JKO
택했다.	택하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.93.6.2
오는 12월 1일부터 30일까지 대학로 설치극장 정미소에서 선보일 '14人(in)체홉'은 체호프의 단막극 중 '곰' '청혼' '담배의 해로움에 대하여' '개를 데리고 다니는 부인' 등 4편을 새롭게 엮었다.

오는	오/VV+는/ETM
12월	12/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
30일까지	30/SN+일/NNB+까지/JX
대학로	대학로/NNP
설치극장	설치/NNG+극장/NNG
정미소에서	정미소/NNP+에서/JKB
선보일	선보이/VV+ㄹ/ETM
'14人(in)체홉'은	'/SS+14/SN+人/SH+(/SS+in/SL+)/SS+체홉/NNP+'/SS+은/JX
체호프의	체호프/NNP+의/JKG
단막극	단막극/NNG
중	중/NNB
'곰'	'/SS+곰/NNG+'/SS
'청혼'	'/SS+청혼/NNG+'/SS
'담배의	'/SS+담배/NNG+의/JKG
해로움에	해/NNG+롭/XSA+ㅁ/ETN+에/JKB
대하여'	대하/VV+아/EC+'/SS
'개를	'/SS+개/NNG+를/JKO
데리고	데리/VV+고/EC
다니는	다니/VV+는/ETM
부인'	부인/NNG+'/SS
등	등/NNB
4편을	4/SN+편/NNB+을/JKO
새롭게	새롭/VA+게/EC
엮었다.	엮/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.93.6.3
극단 배우인 서정연·이석준·정수영·이창훈 등과 연극과 영화에서 다방면으로 활약 중인 김태훈·최덕문 등도 참여해 무대를 꾸민다.

극단	극단/NNG
배우인	배우/NNG+이/VCP+ㄴ/ETM
서정연·이석준·정수영·이창훈	서정연/NNP+·/SP+이석준/NNP+·/SP+정수영/NNP+·/SP+이창훈/NNP
등과	등/NNB+과/JC
연극과	연극/NNG+과/JC
영화에서	영화/NNG+에서/JKB
다방면으로	다방면/NNG+으로/JKB
활약	활약/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
김태훈·최덕문	김태훈/NNP+·/SP+최덕문/NNP
등도	등/NNB+도/JX
참여해	참여/NNG+하/XSV+아/EC
무대를	무대/NNG+를/JKO
꾸민다.	꾸미/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.93.6.4
배우 출신인 우현주 대표는 "일상적이고 사소한 인간의 삶을 통해 체호프 작품 특유의 '일상의 슬픈 희극성'을 극대화해 우리 삶의 모습을 생생히 그려내겠다"고 말했다.

배우	배우/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
우현주	우현주/NNP
대표는	대표/NNG+는/JX
"일상적이고	"/SS+일상/NNG+적/XSN+이/VCP+고/EC
사소한	사소하/VA+ㄴ/ETM
인간의	인간/NNG+의/JKG
삶을	삶/NNG+을/JKO
통해	통하/VV+아/EC
체호프	체호프/NNP
작품	작품/NNG
특유의	특유/NNG+의/JKG
'일상의	'/SS+일상/NNG+의/JKG
슬픈	슬프/VA+ㄴ/ETM
희극성'을	희극/NNG+성/XSN+'/SS+을/JKO
극대화해	극대/NNG+화/XSN+하/XSV+아/EC
우리	우리/NP
삶의	삶/NNG+의/JKG
모습을	모습/NNG+을/JKO
생생히	생생히/MAG
그려내겠다"고	그리/VV+어/EC+내/VX+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


