# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.329
metadata : {}


# id : NWRW1800000056.329.1.1
[한겨레 프리즘] 우리 안의 ‘갑질’ / 한귀영

[한겨레	[/SS+한겨레/NNP
프리즘]	프리즘/NNG+]/SS
우리	우리/NP
안의	안/NNG+의/JKG
‘갑질’	‘/SS+갑/NNG+질/XSN+’/SS
/	//SP
한귀영	한귀영/NNP


# id : NWRW1800000056.329.2.1
성심병원 갑질 사태를 계기로 직장 갑질에 대한 폭로가 분출하고 있다.

성심병원	성심병원/NNP
갑질	갑/NNG+질/XSN
사태를	사태/NNG+를/JKO
계기로	계기/NNG+로/JKB
직장	직장/NNG
갑질에	갑/NNG+질/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
폭로가	폭로/NNG+가/JKS
분출하고	분출/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.329.2.2
마침 한겨레경제사회연구원과 민주노총 산하 산별연구원 모임인 산별노동연구포럼이 지난 6개월 동안 직장민주주의를 주제로 실태조사를 해왔다.

마침	마침/MAG
한겨레경제사회연구원과	한겨레경제사회연구원/NNP+과/JC
민주노총	민주노총/NNP
산하	산하/NNG
산별연구원	산별/NNG+연구원/NNG
모임인	모임/NNG+이/VCP+ㄴ/ETM
산별노동연구포럼이	산별/NNG+노동/NNG+연구/NNG+포럼/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
6개월	6/SN+개월/NNB
동안	동안/NNG
직장민주주의를	직장/NNG+민주주의/NNG+를/JKO
주제로	주제/NNG+로/JKB
실태조사를	실태/NNG+조사/NNG+를/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.329.2.3
보건의료, 사무금융, 공무원, 서비스 등 4개 산별노조를 대상으로 한 조사 결과는 직장에서 이루어지는 갑질의 실체, 재생산 구조를 생생히 보여준다.

보건의료,	보건/NNG+의료/NNG+,/SP
사무금융,	사무/NNG+금융/NNG+,/SP
공무원,	공무원/NNG+,/SP
서비스	서비스/NNG
등	등/NNB
4개	4/SN+개/NNB
산별노조를	산별/NNG+노조/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
조사	조사/NNG
결과는	결과/NNG+는/JX
직장에서	직장/NNG+에서/JKB
이루어지는	이루어지/VV+는/ETM
갑질의	갑/NNG+질/XSN+의/JKG
실체,	실체/NNG+,/SP
재생산	재/XPN+생산/NNG
구조를	구조/NNG+를/JKO
생생히	생생히/MAG
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.329.3.1
그동안 직장 내 갑질의 상당 부분은 ‘직장문화’로 포장되어 당연한 것으로 여겨졌다.

그동안	그동안/NNG
직장	직장/NNG
내	내/NNB
갑질의	갑/NNG+질/XSN+의/JKG
상당	상당/NNG
부분은	부분/NNG+은/JX
‘직장문화’로	‘/SS+직장/NNG+문화/NNG+’/SS+로/JKB
포장되어	포장/NNG+되/XSV+어/EC
당연한	당연/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
여겨졌다.	여기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.329.3.2
‘문화’라는 이름 아래 직장에서 작동하는 권력관계와 그 부당한 작동도 은폐되어 왔다.

‘문화’라는	‘/SS+문화/NNG+’/SS+이/VCP+라는/ETM
이름	이름/NNG
아래	아래/NNG
직장에서	직장/NNG+에서/JKB
작동하는	작동/NNG+하/XSV+는/ETM
권력관계와	권력관계/NNG+와/JC
그	그/MMD
부당한	부당/NNG+하/XSA+ㄴ/ETM
