# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.263
metadata : {}


# id : NWRW1800000044.263.1.1
서울 대중교통요금 2년마다 인상 명문화

서울	서울/NNP
대중교통요금	대중교통/NNG+요금/NNG
2년마다	2/SN+년/NNB+마다/JX
인상	인상/NNG
명문화	명문/NNG+화/XSN


# id : NWRW1800000044.263.2.1
[한겨레] 조례 담아 예측가능 시스템으로

[한겨레]	[/SS+한겨레/NNP+]/SS
조례	조례/NNG
담아	담/VV+아/EC
예측가능	예측/NNG+가능/NNG
시스템으로	시스템/NNG+으로/JKB


# id : NWRW1800000044.263.3.1
서울시가 2~3년마다 한 차례씩 대중교통 요금 인상을 검토하도록 하는 내용을 조례에 명문화하겠다는 방침을 내놨다.

서울시가	서울시/NNP+가/JKS
2~3년마다	2/SN+~/SO+3/SN+년/NNB+마다/JX
한	한/MMN
차례씩	차례/NNG+씩/XSN
대중교통	대중교통/NNG
요금	요금/NNG
인상을	인상/NNG+을/JKO
검토하도록	검토/NNG+하/XSV+도록/EC
하는	하/VX+는/ETM
내용을	내용/NNG+을/JKO
조례에	조례/NNG+에/JKB
명문화하겠다는	명문/NNG+화/XSN+하/XSV+겠/EP+다는/ETM
방침을	방침/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.263.4.1
서울시는 9일 국토교통부로부터 심의를 받아 확정·고시한 ‘도시교통정비 기본계획’에 대중교통 운임 조정 시기를 조례에 명문화해 시기가 도래할 때마다 요금 인상 여부를 결정할 수 있도록 하는 내용을 담았다고 밝혔다.

서울시는	서울시/NNP+는/JX
9일	9/SN+일/NNB
국토교통부로부터	국토/NNG+교통부/NNG+로부터/JKB
심의를	심의/NNG+를/JKO
받아	받/VV+아/EC
확정·고시한	확정/NNG+·/SP+고시/NNG+하/XSV+ㄴ/ETM
‘도시교통정비	‘/SS+도시/NNG+교통/NNG+정비/NNG
기본계획’에	기본/NNG+계획/NNG+’/SS+에/JKB
대중교통	대중교통/NNG
운임	운임/NNG
조정	조정/NNG
시기를	시기/NNG+를/JKO
조례에	조례/NNG+에/JKB
명문화해	명문/NNG+화/XSN+하/XSV+아/EC
시기가	시기/NNG+가/JKS
도래할	도래/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
요금	요금/NNG
인상	인상/NNG
여부를	여부/NNG+를/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
내용을	내용/NNG+을/JKO
담았다고	담/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.263.5.1
백호 서울시 교통정책관은 “물가상승률과 운영비용 증가분, 그동안의 수익 등을 고려해 특정 시기마다 요금 인상을 검토할 수 있도록 한 것”이라고 말했다.

백호	백호/NNP
서울시	서울시/NNP
교통정책관은	교통정책관/NNG+은/JX
“물가상승률과	“/SS+물가/NNG+상승/NNG+률/XSN+과/JC
운영비용	운영/NNG+비용/NNG
증가분,	증가/NNG+분/XSN+,/SP
그동안의	그동안/NNG+의/JKG
수익	수익/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
특정	특정/NNG
시기마다	시기/NNG+마다/JX
요금	요금/NNG
인상을	인상/NNG+을/JKO
검토할	검토/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.263.5.2
그는 “비행기 요금이 원유가격과 연동돼 고객이 요금을 예측할 수 있게 한 것처럼 대중교통 요금도 정치적 부담 등 외부 환경과 관계없이 중립적이면서도 예측 가능한 시스템을 만들기 위한 것”이라고 설명했다.

그는	그/NP+는/JX
“비행기	“/SS+비행기/NNG
요금이	요금/NNG+이/JKS
원유가격과	원유/NNG+가격/NNG+과/JKB
연동돼	연동/NNG+되/XSV+어/EC
고객이	고객/NNG+이/JKS
요금을	요금/NNG+을/JKO
예측할	예측/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한	하/VX+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
대중교통	대중교통/NNG
요금도	요금/NNG+도/JX
정치적	정치/NNG+적/XSN
부담	부담/NNG
등	등/NNB
외부	외부/NNG
환경과	환경/NNG+과/JKB
관계없이	관계없이/MAG
중립적이면서도	중립/NNG+적/XSN+이/VCP+면서/EC+도/JX
예측	예측/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
시스템을	시스템/NNG+을/JKO
만들기	만들/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.263.5.3
향후 조례에 담기게 될 요금 인상 검토 시기는 2년으로 정해질 가능성이 높다.

향후	향후/NNG
조례에	조례/NNG+에/JKB
담기게	담기/VV+게/EC
될	되/VV+ㄹ/ETM
요금	요금/NNG
인상	인상/NNG
검토	검토/NNG
시기는	시기/NNG+는/JX
2년으로	2/SN+년/NNB+으로/JKB
정해질	정하/VV+아/EC+지/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000044.263.5.4
1년은 너무 짧고, 3년으로 정할 경우 자칫 인상폭이 과다할 우려가 있기 때문이다.

1년은	1/SN+년/NNB+은/JX
너무	너무/MAG
짧고,	짧/VA+고/EC+,/SP
3년으로	3/SN+년/NNB+으로/JKB
정할	정하/VV+ㄹ/ETM
경우	경우/NNG
자칫	자칫/MAG
인상폭이	인상/NNG+폭/NNG+이/JKS
과다할	과다/NNG+하/XSA+ㄹ/ETM
우려가	우려/NNG+가/JKS
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.263.5.5
요금 인상을 검토할 때마다 서울시는 경기·인천 지역과 협의를 통해 최종 인상률을 정하게 된다.

요금	요금/NNG
인상을	인상/NNG+을/JKO
검토할	검토/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
서울시는	서울시/NNP+는/JX
경기·인천	경기/NNP+·/SP+인천/NNP
지역과	지역/NNG+과/JKB
협의를	협의/NNG+를/JKO
통해	통하/VV+아/EC
최종	최종/NNG
인상률을	인상/NNG+률/XSN+을/JKO
정하게	정하/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.263.6.1
서울시는 이번에 만든 기본계획에 따라 향후 제정될 조례에 서울과 수도권의 최대 환승 가능 횟수를 현재의 5회에서 3회로 줄이는 방안을 담을지도 검토하고 있다.

서울시는	서울시/NNP+는/JX
이번에	이번/NNG+에/JKB
만든	만들/VV+ㄴ/ETM
기본계획에	기본/NNG+계획/NNG+에/JKB
따라	따르/VV+아/EC
향후	향후/NNG
제정될	제정/NNG+되/XSV+ㄹ/ETM
조례에	조례/NNG+에/JKB
서울과	서울/NNP+과/JC
수도권의	수도/NNG+권/XSN+의/JKG
최대	최대/NNG
환승	환승/NNG
가능	가능/NNG
횟수를	횟수/NNG+를/JKO
현재의	현재/NNG+의/JKG
5회에서	5/SN+회/NNB+에서/JKB
3회로	3/SN+회/NNB+로/JKB
줄이는	줄이/VV+는/ETM
방안을	방안/NNG+을/JKO
담을지도	담/VV+을지/EF+도/JX
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.263.6.2
또 환승 여부와 관계없이 오로지 거리만으로 요금을 산정하는 완전거리비례요금제나, 혼잡시간대를 구분해 요금을 차별화하는 방식 등도 검토하고 있는 것으로 알려졌다.

또	또/MAG
환승	환승/NNG
여부와	여부/NNG+와/JKB
관계없이	관계없이/MAG
오로지	오로지/MAG
거리만으로	거리/NNG+만/JX+으로/JKB
요금을	요금/NNG+을/JKO
산정하는	산정/NNG+하/XSV+는/ETM
완전거리비례요금제나,	완전/NNG+거리/NNG+비례/NNG+요금/NNG+제/XSN+나/JX+,/SP
혼잡시간대를	혼잡/NNG+시간대/NNG+를/JKO
구분해	구분/NNG+하/XSV+아/EC
차별화하는	차별/NNG+화/XSN+하/XSV+는/ETM
방식	방식/NNG
등도	등/NNB+도/JX
검토하고	검토/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


