# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.260
metadata : {}


# id : NWRW1800000028.260.1.1
MBC 새 주말극 ‘글로리아’ /오랜만에 찾아온 ‘달동네 루저’ 이야기

MBC	MBC/SL
새	새/MMA
주말극	주말극/NNG
‘글로리아’	‘/SS+글로리아/NNP+’/SS
/오랜만에	//SP+오랜만/NNG+에/JKB
찾아온	찾아오/VV+ㄴ/ETM
‘달동네	‘/SS+달동네/NNG
루저’	루저/NNG+’/SS
이야기	이야기/NNG


# id : NWRW1800000028.260.2.1
주말 안방극장에 오랜만에 시대에 뒤처지고 주류에서 소외된 이들의 이야기가 찾아온다.

주말	주말/NNG
안방극장에	안방극장/NNG+에/JKB
오랜만에	오랜만/NNG+에/JKB
시대에	시대/NNG+에/JKB
뒤처지고	뒤처지/VV+고/EC
주류에서	주류/NNG+에서/JKB
소외된	소외/NNG+되/XSV+ㄴ/ETM
이들의	이/NNB+들/XSN+의/JKG
이야기가	이야기/NNG+가/JKS
찾아온다.	찾아오/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.260.2.2
31일 첫방송을 시작하는 문화방송 주말드라마 <글로리아>(연출 김민식 김경희, 작가 정지우)의 배경은 달동네, 재래시장 한쪽 구석에 있는 오래 묵은 나이트클럽 ‘추억 속으로’이다.

31일	31/SN+일/NNB
첫방송을	첫/MMN+방송/NNG+을/JKO
시작하는	시작/NNG+하/XSV+는/ETM
문화방송	문화방송/NNP
주말드라마	주말/NNG+드라마/NNG
<글로리아>(연출	</SS+글로리아/NNP+>/SS+(/SS+연출/NNG
김민식	김민식/NNP
김경희,	김경희/NNP+,/SP
작가	작가/NNG
정지우)의	정지우/NNP+)/SS+의/JKG
배경은	배경/NNG+은/JX
달동네,	달동네/NNG+,/SP
재래시장	재래시장/NNG
한쪽	한쪽/NNG
구석에	구석/NNG+에/JKB
있는	있/VA+는/ETM
오래	오래/MAG
묵은	묵/VV+은/ETM
나이트클럽	나이트클럽/NNG
‘추억	‘/SS+추억/NNG
속으로’이다.	속/NNG+으로/JKB+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000028.260.2.3
부모 없이 마흔살짜리 지체장애 언니를 데리고 사는 서른살 처녀 나진진(배두나)이 주인공, 주변에는 싸움도 못하는 동네 깡패 하동아(이천희)가 얼쩡거린다.

부모	부모/NNG
없이	없이/MAG
마흔살짜리	마흔/NR+살/NNB+짜리/XSN
지체장애	지체/NNG+장애/NNG
언니를	언니/NNG+를/JKO
데리고	데리/VV+고/EC
사는	살/VV+는/ETM
서른살	서른/NR+살/NNB
처녀	처녀/NNG
나진진(배두나)이	나진진/NNP+(/SS+배두나/NNP+)/SS+이/JKS
주인공,	주인공/NNG+,/SP
주변에는	주변/NNG+에/JKB+는/JX
싸움도	싸움/NNG+도/JX
못하는	못/MAG+하/XSV+는/ETM
동네	동네/NNG
깡패	깡패/NNG
하동아(이천희)가	하동아/NNP+(/SS+이천희/NNP+)/SS+가/JKS
얼쩡거린다.	얼쩡거리/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.260.3.1
요즘 드라마 문법처럼 돼버린 재벌가도 빠질 순 없다.

요즘	요즘/NNG
드라마	드라마/NNG
문법처럼	문법/NNG+처럼/JKB
돼버린	되/VV+어/EC+버리/VX+ㄴ/ETM
재벌가도	재벌가/NNG+도/JX
빠질	빠지/VV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.260.3.2
다만 <글로리아>에 나오는 재벌가 주요 배역은 재벌 3세이되, 결코 세상 밖에서 행세하긴 어려운 ‘배다른’ 자녀들이다.

다만	다만/MAG
<글로리아>에	</SS+글로리아/NNP+>/SS+에/JKB
나오는	나오/VV+는/ETM
