# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.157
metadata : {}


# id : NWRW1800000025.157.1.1
“직장인 - 전문직 고객 잡아라” 은행마다 직업별 맞춤상품 경쟁

“직장인	“/SS+직장인/NNG
-	-/SO
전문직	전문직/NNG
고객	고객/NNG
잡아라”	잡/VV+아라/EF+”/SS
은행마다	은행/NNG+마다/JX
직업별	직업/NNG+별/XSN
맞춤상품	맞춤/NNG+상품/NNG
경쟁	경쟁/NNG


# id : NWRW1800000025.157.2.1
《직장인과 전문직을 잡기 위한 은행들의 경쟁이 뜨겁다.

《직장인과	《/SS+직장인/NNG+과/JC
전문직을	전문직/NNG+을/JKO
잡기	잡/VV+기/ETN
위한	위하/VV+ㄴ/ETM
은행들의	은행/NNG+들/XSN+의/JKG
경쟁이	경쟁/NNG+이/JKS
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000025.157.2.2
금리우대 급여통장은 기본이고 최근에는 직업별 맞춤 상품과 이벤트들도 쏟아져 나오고 있다.

금리우대	금리/NNG+우대/NNG
급여통장은	급여/NNG+통장/NNG+은/JX
기본이고	기본/NNG+이/VCP+고/EC
최근에는	최근/NNG+에/JKB+는/JX
직업별	직업/NNG+별/XSN
맞춤	맞춤/NNG
상품과	상품/NNG+과/JC
이벤트들도	이벤트/NNG+들/XSN+도/JX
쏟아져	쏟아지/VV+어/EC
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.157.2.3
주로 신용도가 높은 직장인이나 전문직 종사자를 대상으로 하지만 자신의 직업에 맞는 상품을 찾아 가입한다면 금리 우대와 수수료 면제 등 많은 혜택을 받을 수 있다.》

주로	주로/MAG
신용도가	신용도/NNG+가/JKS
높은	높/VA+은/ETM
직장인이나	직장인/NNG+이나/JC
전문직	전문직/NNG
종사자를	종사자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
하지만	하/VV+지만/EC
자신의	자신/NNG+의/JKG
직업에	직업/NNG+에/JKB
맞는	맞/VV+는/ETM
상품을	상품/NNG+을/JKO
찾아	찾/VV+아/EC
가입한다면	가입/NNG+하/XSV+ㄴ다면/EC
금리	금리/NNG
우대와	우대/NNG+와/JC
수수료	수수료/NNG
면제	면제/NNG
등	등/NNB
많은	많/VA+은/ETM
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.》	있/VA+다/EF+./SF+》/SS


# id : NWRW1800000025.157.3.1
한국씨티은행은 13일 병원 약국을 운영하거나 개원을 원하는 의사와 약사를 위한 ‘깎아주는 퍼펙트 닥터론/팜론’을 내놓았다.

한국씨티은행은	한국씨티은행/NNP+은/JX
13일	13/SN+일/NNB
병원	병원/NNG
약국을	약국/NNG+을/JKO
운영하거나	운영/NNG+하/XSV+거나/EC
개원을	개원/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
의사와	의사/NNG+와/JC
약사를	약사/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
‘깎아주는	‘/SS+깎/VV+아/EC+주/VX+는/ETM
퍼펙트	퍼펙트/NNG
닥터론/팜론’을	닥터론/NNG+//SP+팜론/NNG+’/SS+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.157.3.2
병원 약국 운영자금으로 쓰는 계좌에서 대출 이자가 빠져나가게 하면 매일 총 대출 잔액에서 당일 통장 잔액의 50%를 뺀 나머지 금액(총대출 잔액의 최대 50%)에 대해서만 이자가 붙는다.

병원	병원/NNG
약국	약국/NNG
운영자금으로	운영/NNG+자금/NNG+으로/JKB
쓰는	쓰/VV+는/ETM
계좌에서	계좌/NNG+에서/JKB
대출	대출/NNG
이자가	이자/NNG+가/JKS
빠져나가게	빠져나가/VV+게/EC
하면	하/VX+면/EC
매일	매일/MAG
총	총/MMA
잔액에서	잔액/NNG+에서/JKB
당일	당일/NNG
통장	통장/NNG
잔액의	잔액/NNG+의/JKG
50%를	50/SN+%/SW+를/JKO
뺀	빼/VV+ㄴ/ETM
나머지	나머지/NNG
금액(총대출	금액/NNG+(/SS+총/MMA+대출/NNG
최대	최대/NNG
50%)에	50/SN+%/SW+)/SS+에/JKB
대해서만	대하/VV+아서/EC+만/JX
붙는다.	붙/VV+는다/EF+./SF


# id : NWRW1800000025.157.3.3
예를 들어 대출 잔액이 1000만 원이고 통장 잔액이 500만 원이라면 이날은 750만 원에 대한 이자만 내면 된다.

예를	예/NNG+를/JKO
들어	들/VV+어/EC
대출	대출/NNG
잔액이	잔액/NNG+이/JKS
1000만	1000/SN+만/NR
원이고	원/NNB+이/VCP+고/EC
통장	통장/NNG
500만	500/SN+만/NR
원이라면	원/NNB+이/VCP+라면/EC
이날은	이날/NNG+은/JX
750만	750/SN+만/NR
원에	원/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
이자만	이자/NNG+만/JX
내면	내/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.157.3.4
계좌는 3개까지 가능하며 본인이 허락하면 다른 사람의 계좌도 연결하여 금리 인하 혜택을 누릴 수 있다.

계좌는	계좌/NNG+는/JX
3개까지	3/SN+개/NNB+까지/JX
가능하며	가능/NNG+하/XSA+며/EC
본인이	본인/NNG+이/JKS
허락하면	허락/NNG+하/XSV+면/EC
다른	다른/MMD
사람의	사람/NNG+의/JKG
계좌도	계좌/NNG+도/JX
연결하여	연결/NNG+하/XSV+아/EC
금리	금리/NNG
인하	인하/NNG
혜택을	혜택/NNG+을/JKO
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.157.4.1
