# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.171
metadata : {}


# id : NWRW1800000033.171.1.1
여수엑스포, 복병 ‘고농도 오존’에 긴장

여수엑스포,	여수/NNP+엑스포/NNG+,/SP
복병	복병/NNG
‘고농도	‘/SS+고/XPN+농도/NNG
오존’에	오존/NNG+’/SS+에/JKB
긴장	긴장/NNG


# id : NWRW1800000033.171.2.1
《 여수 엑스포 기간(5월 12일∼8월 12일)에 행사장 일대에 고농도 오존이 발생할 수 있다는 정부의 분석이 나왔다.

《	《/SS
여수	여수/NNP
엑스포	엑스포/NNG
기간(5월	기간/NNG+(/SS+5/SN+월/NNB
12일∼8월	12/SN+일/NNB+∼/SO+8/SN+월/NNB
12일)에	12/SN+일/NNB+)/SS+에/JKB
행사장	행사장/NNG
일대에	일대/NNG+에/JKB
고농도	고/XPN+농도/NNG
오존이	오존/NNG+이/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
정부의	정부/NNG+의/JKG
분석이	분석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.171.2.2
오존은 대기오염물질인 질소산화물(Nox)과 발암성 물질인 휘발성유기화합물(VOc)이 태양열에 광화학반응을 일으키면서 생성되는 물질이다.

오존은	오존/NNG+은/JX
대기오염물질인	대기/NNG+오염/NNG+물질/NNG+이/VCP+ㄴ/ETM
질소산화물(Nox)과	질소/NNG+산화물/NNG+(/SS+Nox/SL+)/SS+과/JC
발암성	발암/NNG+성/XSN
물질인	물질/NNG+이/VCP+ㄴ/ETM
휘발성유기화합물(VOc)이	휘발/NNG+성/XSN+유기/NNG+화합물/NNG+(/SS+VOc/SL+)/SS+이/JKS
태양열에	태양열/NNG+에/JKB
광화학반응을	광화학/NNG+반응/NNG+을/JKO
일으키면서	일으키/VV+면서/EC
생성되는	생성/NNG+되/XSV+는/ETM
물질이다.	물질/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.171.2.3
오존농도가 높아지면 눈과 목이 따갑고 두통과 호흡기질환이 발생한다.》

오존농도가	오존/NNG+농도/NNG+가/JKS
높아지면	높아지/VV+면/EC
눈과	눈/NNG+과/JC
목이	목/NNG+이/JKS
따갑고	따갑/VA+고/EC
두통과	두통/NNG+과/JKB
호흡기질환이	호흡기/NNG+질환/NNG+이/JKS
발생한다.》	발생/NNG+하/XSV+ㄴ다/EF+./SF+》/SS


# id : NWRW1800000033.171.3.1
○ ‘오존’에 떠는 여수 엑스포

○	○/SW
‘오존’에	‘/SS+오존/NNG+’/SS+에/JKB
떠는	떨/VV+는/ETM
여수	여수/NNP
엑스포	엑스포/NNG


# id : NWRW1800000033.171.4.1
동아일보가 8일 입수한 환경부와 국립환경과학원의 ‘고농도 오존발생 원인 규명을 위한 정밀조사 결과 보고서’에 따르면 2001년부터 2010년까지 10년간 여수 일대에서 오존농도가 100ppb(오염물질 농도 단위·1ppb는 10억 분의 1로 공기 1m³에 오염물질 1μL·마이크로리터가 들어있는 것)가 넘은 날을 분석한 결과 2001년 5.3일, 2004년 8.67일, 2007년 10.33일로 계속 증가했다.

동아일보가	동아일보/NNP+가/JKS
8일	8/SN+일/NNB
입수한	입수/NNG+하/XSV+ㄴ/ETM
환경부와	환경부/NNG+와/JC
국립환경과학원의	국립환경과학원/NNP+의/JKG
‘고농도	‘/SS+고/XPN+농도/NNG
오존발생	오존/NNG+발생/NNG
원인	원인/NNG
규명을	규명/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정밀조사	정밀/NNG+조사/NNG
결과	결과/NNG
보고서’에	보고서/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
2001년부터	2001/SN+년/NNB+부터/JX
2010년까지	2010/SN+년/NNB+까지/JX
10년간	10/SN+년/NNB+간/XSN
여수	여수/NNP
일대에서	일대/NNG+에서/JKB
오존농도가	오존/NNG+농도/NNG+가/JKS
100ppb(오염물질	100/SN+ppb/SW+(/SS+오염/NNG+물질/NNG
농도	농도/NNG
단위·1ppb는	단위/NNG+·/SP+1/SN+ppb/SW+는/JX
10억	10/SN+억/NR
분의	분/XSN+의/JKG
1로	1/SN+로/JKB
공기	공기/NNG
1m³에	1/SN+m³/SW+에/JKB
오염물질	오염/NNG+물질/NNG
1μL·마이크로리터가	1/SN+μL/SW+·/SP+마이크로리터/NNB+가/JKS
들어있는	들/VV+어/EC+있/VX+는/ETM
것)가	것/NNB+)/SS+가/JKS
넘은	넘/VV+은/ETM
날을	날/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
2001년	2001/SN+년/NNB
5.3일,	5/SN+./SP+3/SN+일/NNB+,/SP
2004년	2004/SN+년/NNB
8.67일,	8/SN+./SP+67/SN+일/NNB+,/SP
2007년	2007/SN+년/NNB
10.33일로	10/SN+./SP+33/SN+일/NNB+로/JKB
계속	계속/MAG
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.171.5.1
