# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.103
metadata : {}


# id : NWRW1800000056.103.1.1
지엠·르노·쌍용차 내수판매 상승세

지엠·르노·쌍용차	지엠/NNP+·/SP+르노/NNP+·/SP+쌍용차/NNP
내수판매	내수/NNG+판매/NNG
상승세	상승세/NNG


# id : NWRW1800000056.103.2.1
[한겨레] 완성차 5개사 1월 판매실적 발표

[한겨레]	[/SS+한겨레/NNP+]/SS
완성차	완성차/NNG
5개사	5/SN+개사/NNB
1월	1/SN+월/NNB
판매실적	판매/NNG+실적/NNG
발표	발표/NNG


# id : NWRW1800000056.103.3.1
수출 대부분 줄고 현대차만 소폭 늘려

수출	수출/NNG
대부분	대/XPN+부분/NNG
줄고	줄/VV+고/EC
현대차만	현대차/NNP+만/JX
소폭	소폭/MAG
늘려	늘리/VV+어/EC


# id : NWRW1800000056.103.4.1
기아차는 국내·외 판매 동반 감소

기아차는	기아차/NNP+는/JX
국내·외	국내·외/NNG
판매	판매/NNG
동반	동반/NNG
감소	감소/NNG


# id : NWRW1800000056.103.5.1
지난달 국내 자동차 시장에서 한국지엠(GM)과 르노삼성, 쌍용차가 설연휴에 따른 영업일수 감소에도 각각 판매량을 늘렸으나 현대차와 기아차는 큰 폭의 감소세를 나타냈다.

지난달	지난달/NNG
국내	국내/NNG
자동차	자동차/NNG
시장에서	시장/NNG+에서/JKB
한국지엠(GM)과	한국지엠/NNP+(/SS+GM/SL+)/SS+과/JC
르노삼성,	르노삼성/NNP+,/SP
쌍용차가	쌍용차/NNP+가/JKS
설연휴에	설/NNG+연휴/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
영업일수	영업일/NNG+수/NNG
감소에도	감소/NNG+에/JKB+도/JX
각각	각각/MAG
판매량을	판매량/NNG+을/JKO
늘렸으나	늘리/VV+었/EP+으나/EC
현대차와	현대차/NNP+와/JC
기아차는	기아차/NNP+는/JX
큰	크/VA+ㄴ/ETM
폭의	폭/NNG+의/JKG
감소세를	감소세/NNG+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.103.5.2
수출은 대부분 줄었고 현대차는 국외 현지공장 판매를 늘려 국내공장 수출 감소분을 만회했다.

수출은	수출/NNG+은/JX
대부분	대/XPN+부분/NNG
줄었고	줄/VV+었/EP+고/EC
현대차는	현대차/NNP+는/JX
국외	국외/NNG
현지공장	현지/NNG+공장/NNG
