# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.23
metadata : {}


# id : NWRW1800000037.23.1.1
포스코, 셸 FLNG 후판 세계 첫 전량 공급

포스코,	포스코/NNP+,/SP
셸	셸/NNP
FLNG	FLNG/SL
후판	후판/NNG
세계	세계/NNG
첫	첫/MMN
전량	전량/NNG
공급	공급/NNG


# id : NWRW1800000037.23.2.1
1200억원대 15만t 물량 수주

1200억원대	1200/SN+억/NR+원/NNB+대/XSN
15만t	15/SN+만/NR+t/SW
물량	물량/NNG
수주	수주/NNG


# id : NWRW1800000037.23.3.1
포스코가 글로벌 석유화학기업인 로열더치셸이 삼성중공업에 발주한 ‘셸 FLNG(심해용 액화천연가스 생산저장 플랜트) 프로젝트’에 들어가는 후판 전량을 공급했다.

포스코가	포스코/NNP+가/JKS
글로벌	글로벌/NNG
석유화학기업인	석유/NNG+화학/NNG+기업/NNG+이/VCP+ㄴ/ETM
로열더치셸이	로열더치셸/NNP+이/JKS
삼성중공업에	삼성중공업/NNP+에/JKB
발주한	발주/NNG+하/XSV+ㄴ/ETM
‘셸	‘/SS+셸/NNP
FLNG(심해용	FLNG/SL+(/SS+심해/NNG+용/XSN
액화천연가스	액화/NNG+천연가스/NNG
생산저장	생산/NNG+저장/NNG
플랜트)	플랜트/NNG+)/SS
프로젝트’에	프로젝트/NNG+’/SS+에/JKB
들어가는	들어가/VV+는/ETM
후판	후판/NNG
전량을	전량/NNG+을/JKO
공급했다.	공급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.23.3.2
납품 기일 문제나 불량 문제로 발주사가 한 업체에 후판 전량을 주문하는 사례는 거의 없는 점에서 세계 최고 기술력의 포스코 후판 품질이 재확인된 셈이다.

납품	납품/NNG
기일	기일/NNG
문제나	문제/NNG+나/JC
불량	불량/NNG
문제로	문제/NNG+로/JKB
발주사가	발주사/NNG+가/JKS
한	한/MMN
업체에	업체/NNG+에/JKB
후판	후판/NNG
전량을	전량/NNG+을/JKO
주문하는	주문/NNG+하/XSV+는/ETM
사례는	사례/NNG+는/JX
거의	거의/MAG
없는	없/VA+는/ETM
점에서	점/NNG+에서/JKB
세계	세계/NNG
최고	최고/NNG
기술력의	기술력/NNG+의/JKG
포스코	포스코/NNP
품질이	품질/NNG+이/JKS
재확인된	재/XPN+확인/NNG+되/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.23.4.1
포스코는 지난해 8월부터 지난달까지 로열더치셸이 호주 북서부 프릴루드 가스전 개발에 사용할 셸 FLNG용 후판 15만 t 공급을 마무리했다고 12일 밝혔다.

포스코는	포스코/NNP+는/JX
지난해	지난해/NNG
8월부터	8/SN+월/NNB+부터/JX
지난달까지	지난달/NNG+까지/JX
로열더치셸이	로열더치셸/NNP+이/JKS
호주	호주/NNP
북서부	북서부/NNG
프릴루드	프릴루드/NNP
가스전	가스전/NNG
개발에	개발/NNG+에/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
셸	셸/NNP
FLNG용	FLNG/SL+용/XSN
후판	후판/NNG
15만	15/SN+만/NR
t	t/SW
공급을	공급/NNG+을/JKO
마무리했다고	마무리/NNG+하/XSV+았/EP+다고/EC
12일	12/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.23.4.2
후판 15만 t은 이 프로젝트에 필요한 모든 철강재 26만 t 중 58%에 이른다.

후판	후판/NNG
15만	15/SN+만/NR
t은	t/SW+은/JX
이	이/MMD
프로젝트에	프로젝트/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
모든	모든/MMN
철강재	철강재/NNG
26만	26/SN+만/NR
t	t/SW
중	중/NNB
58%에	58/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.23.4.3
공급 금액은 1200억 원이다.

공급	공급/NNG
금액은	금액/NNG+은/JX
1200억	1200/SN+억/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.23.5.1
‘셸 FLNG 프로젝트’는 삼성중공업이 2010년 로열더치셸로부터 수주한 30억 달러 규모의 세계 최초 액화천연가스(LNG) 시추 및 생산저장시설 건설 사업이다.

‘셸	‘/SS+셸/NNP
FLNG	FLNG/SL
프로젝트’는	프로젝트/NNG+’/SS+는/JX
삼성중공업이	삼성중공업/NNP+이/JKS
2010년	2010/SN+년/NNB
로열더치셸로부터	로열더치셸/NNP+로부터/JKB
수주한	수주/NNG+하/XSV+ㄴ/ETM
30억	30/SN+억/NR
달러	달러/NNB
규모의	규모/NNG+의/JKG
세계	세계/NNG
최초	최초/NNG
액화천연가스(LNG)	액화/NNG+천연가스/NNG+(/SS+LNG/SL+)/SS
시추	시추/NNG
및	및/MAG
생산저장시설	생산/NNG+저장/NNG+시설/NNG
건설	건설/NNG
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.23.5.2
플랜트 규모가 길이 468m, 폭 74m, 높이 100m에 이르는 초대형 해양플랜트다.

플랜트	플랜트/NNG
규모가	규모/NNG+가/JKS
길이	길이/NNG
468m,	468/SN+m/SW+,/SP
폭	폭/NNG
74m,	74/SN+m/SW+,/SP
높이	높이/NNG
100m에	100/SN+m/SW+에/JKB
이르는	이르/VV+는/ETM
초대형	초/XPN+대형/NNG
해양플랜트다.	해양/NNG+플랜트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.23.5.3
국내 LNG소비량 3일 치에 해당하는 45만 m³를 저장할 수 있다.

국내	국내/NNG
LNG소비량	LNG/SL+소비량/NNG
3일	3/SN+일/NNB
치에	치/NNB+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
45만	45/SN+만/NR
m³를	m³/SW+를/JKO
저장할	저장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.23.6.1
초대형 프로젝트에 한 철강사가 후판을 전량 공급한 사례는 전 세계 철강사에서 포스코가 유일하다.

초대형	초/XPN+대형/NNG
프로젝트에	프로젝트/NNG+에/JKB
한	한/MMN
철강사가	철강사/NNG+가/JKS
후판을	후판/NNG+을/JKO
전량	전량/NNG
공급한	공급/NNG+하/XSV+ㄴ/ETM
사례는	사례/NNG+는/JX
전	전/MMN
세계	세계/NNG
철강사에서	철강사/NNG+에서/JKB
포스코가	포스코/NNP+가/JKS
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.23.6.2
포스코는 올 2월에도 대우조선해양이 수주한 원유시추 생산저장시설(FPSO)에 후판 9만 t을 전량 공급했다.

포스코는	포스코/NNP+는/JX
올	올/NNG
2월에도	2/SN+월/NNB+에/JKB+도/JX
대우조선해양이	대우조선해양/NNP+이/JKS
수주한	수주/NNG+하/XSV+ㄴ/ETM
원유시추	원유/NNG+시추/NNG
생산저장시설(FPSO)에	생산/NNG+저장/NNG+시설/NNG+(/SS+FPSO/SL+)/SS+에/JKB
후판	후판/NNG
9만	9/SN+만/NR
t을	t/SW+을/JKO
전량	전량/NNG
공급했다.	공급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.23.6.3
포스코 관계자는 “초대형 프로젝트에 후판을 전량 공급할 수 있는 것은 소재의 우수성, 적기공급 능력, 긴급요청 대응력 등을 두루 인정받았기 때문”이라고 말했다.

포스코	포스코/NNP
관계자는	관계자/NNG+는/JX
“초대형	“/SS+초/XPN+대형/NNG
프로젝트에	프로젝트/NNG+에/JKB
후판을	후판/NNG+을/JKO
전량	전량/NNG
공급할	공급/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것은	것/NNB+은/JX
소재의	소재/NNG+의/JKG
우수성,	우수/NNG+성/XSN+,/SP
적기공급	적기/NNG+공급/NNG
능력,	능력/NNG+,/SP
긴급요청	긴급/NNG+요청/NNG
대응력	대응력/NNG
등을	등/NNB+을/JKO
두루	두루/MAG
인정받았기	인정/NNG+받/XSV+았/EP+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.23.7.1
포스코는 석유나 가스 등 에너지원의 생산과 저장 등에 사용되는 강재인 에너지강재 시장을 미래 철강 시장의 승부처로 판단하고 2000년부터 연구개발(R&D)과 마케팅에 힘써왔다.

포스코는	포스코/NNP+는/JX
석유나	석유/NNG+나/JC
가스	가스/NNG
등	등/NNB
에너지원의	에너지원/NNG+의/JKG
생산과	생산/NNG+과/JC
저장	저장/NNG
등에	등/NNB+에/JKB
사용되는	사용/NNG+되/XSV+는/ETM
강재인	강재/NNG+이/VCP+ㄴ/ETM
에너지강재	에너지/NNG+강재/NNG
시장을	시장/NNG+을/JKO
미래	미래/NNG
철강	철강/NNG
시장의	시장/NNG+의/JKG
승부처로	승부처/NNG+로/JKB
판단하고	판단/NNG+하/XSV+고/EC
2000년부터	2000/SN+년/NNB+부터/JX
연구개발(R&D)과	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS+과/JC
마케팅에	마케팅/NNG+에/JKB
힘써왔다.	힘쓰/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.23.7.2
지금까지 총 23종류의 에너지 강재를 개발했다.

지금까지	지금/NNG+까지/JX
총	총/MMA
23종류의	23/SN+종류/NNG+의/JKG
에너지	에너지/NNG
강재를	강재/NNG+를/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.23.7.3
향후 60여 종의 에너지강재를 추가로 개발할 계획이다.

향후	향후/NNG
60여	60/SN+여/XSN
종의	종/NNG+의/JKG
에너지강재를	에너지/NNG+강재/NNG+를/JKO
추가로	추가/NNG+로/JKB
개발할	개발/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


