# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.13
metadata : {}


# id : NWRW1800000032.13.1.1
소액주주들 “부당경영 견제” 3월 주총 벼른다

소액주주들	소액/NNG+주주/NNG+들/XSN
“부당경영	“/SS+부당/NNG+경영/NNG
견제”	견제/NNG+”/SS
3월	3/SN+월/NNB
주총	주총/NNG
벼른다	벼르/VV+ㄴ다/EF


# id : NWRW1800000032.13.2.1
횡령·배임혐의 경영진 퇴진 등 세결집 나서 정몽구·최태원 회장 이사 재선임 반대 목청

횡령·배임혐의	횡령/NNG+·/SP+배임/NNG+혐의/NNG
경영진	경영진/NNG
퇴진	퇴진/NNG
등	등/NNB
세결집	세/NNG+결집/NNG
나서	나서/VV+어/EC
정몽구·최태원	정몽구/NNP+·/SP+최태원/NNP
회장	회장/NNG
이사	이사/NNG
재선임	재/XPN+선임/NNG
반대	반대/NNG
목청	목청/NNG


# id : NWRW1800000032.13.3.1
주주총회의 계절이 돌아왔다.

주주총회의	주주/NNG+총회/NNG+의/JKG
계절이	계절/NNG+이/JKS
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.13.3.2
11일 현대자동차를 시작으로 500여개 상장사(12월 결산)들이 이달 안에 주총을 연다.

11일	11/SN+일/NNB
현대자동차를	현대자동차/NNP+를/JKO
시작으로	시작/NNG+으로/JKB
500여개	500/SN+여/XSN+개/NNB
상장사(12월	상장사/NNG+(/SS+12/SN+월/NNB
결산)들이	결산/NNG+)/SS+들/XSN+이/JKS
이달	이달/NNG
안에	안/NNG+에/JKB
주총을	주총/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.13.3.3
올해 주총 시즌에서 눈여겨볼 대목은 직접 행동에 나선 소액주주들의 움직임이다.

올해	올해/NNG
주총	주총/NNG
시즌에서	시즌/NNG+에서/JKB
눈여겨볼	눈여겨보/VV+ㄹ/ETM
대목은	대목/NNG+은/JX
직접	직접/MAG
행동에	행동/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
소액주주들의	소액/NNG+주주/NNG+들/XSN+의/JKG
움직임이다.	움직임/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.13.3.4
외환위기 직후 장하성 고려대 교수를 중심으로 참여연대가 이끌어 왔던 소액주주운동의 맥을 잇고 있는 경제개혁연대(소장 김상조)와 좋은기업지배구조연구소(소장 김선웅)가 주로 대기업을 상대로 한다면, 직접 행동에 나선 소액주주들은 상대적으로 작은 기업들을 대상으로 지배구조 개선 운동을 펼치고 있다.

외환위기	외환/NNG+위기/NNG
직후	직후/NNG
장하성	장하성/NNP
고려대	고려대/NNP
교수를	교수/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
참여연대가	참여연대/NNP+가/JKS
이끌어	이끌/VV+어/EC
왔던	오/VX+았/EP+던/ETM
소액주주운동의	소액/NNG+주주/NNG+운동/NNG+의/JKG
맥을	맥/NNG+을/JKO
잇고	잇/VV+고/EC
있는	있/VX+는/ETM
경제개혁연대(소장	경제/NNG+개혁/NNG+연대/NNG+(/SS+소장/NNG
김상조)와	김상조/NNP+)/SS+와/JC
좋은기업지배구조연구소(소장	좋/VA+은/ETM+기업/NNG+지배/NNG+구조/NNG+연구소/NNG+(/SS+소장/NNG
김선웅)가	김선웅/NNP+)/SS+가/JKS
주로	주로/MAG
