# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.54
metadata : {}


# id : NWRW1800000052.54.1.1
GS칼텍스 회장에 허진수

GS칼텍스	GS칼텍스/NNP
회장에	회장/NNG+에/JKB
허진수	허진수/NNP


# id : NWRW1800000052.54.2.1
GS그룹, 회장 일가 40대 2명 계열사 대표이사 선임

GS그룹,	GS그룹/NNP+,/SP
회장	회장/NNG
일가	일가/NNG
40대	40/SN+대/NNB
2명	2/SN+명/NNB
계열사	계열사/NNG
대표이사	대표/NNG+이사/NNG
선임	선임/NNG


# id : NWRW1800000052.54.3.1
정택근, 하영봉, 손영기 부회장 승진 등 49명 임원 인사

정택근,	정택근/NNP+,/SP
하영봉,	하영봉/NNP+,/SP
손영기	손영기/NNP
부회장	부회장/NNG
승진	승진/NNG
등	등/NNB
49명	49/SN+명/NNB
임원	임원/NNG
인사	인사/NNG


# id : NWRW1800000052.54.4.1
지에스(GS)그룹은 허진수(63) 부회장을 지에스칼텍스 회장으로 승진시키고, 역시 회장 일가인 허용수(48)·허세홍(47) 부사장을 계열사 대표이사로 선임하는 등 임원 49명에 대한 2017년 인사를 29일 발표했다.

지에스(GS)그룹은	지에스/NNP+(/SS+GS/SL+)/SS+그룹/NNG+은/JX
허진수(63)	허진수/NNP+(/SS+63/SN+)/SS
부회장을	부회장/NNG+을/JKO
지에스칼텍스	지에스칼텍스/NNP
회장으로	회장/NNG+으로/JKB
승진시키고,	승진/NNG+시키/XSV+고/EC+,/SP
역시	역시/MAG
회장	회장/NNG
일가인	일가/NNG+이/VCP+ㄴ/ETM
허용수(48)·허세홍(47)	허용수/NNP+(/SS+48/SN+)/SS+·/SP+허세홍/NNP+(/SS+47/SN+)/SS
부사장을	부사장/NNG+을/JKO
계열사	계열사/NNG
대표이사로	대표/NNG+이사/NNG+로/JKB
선임하는	선임/NNG+하/XSV+는/ETM
등	등/NNB
임원	임원/NNG
49명에	49/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
2017년	2017/SN+년/NNB
인사를	인사/NNG+를/JKO
29일	29/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.54.5.1
허창수 그룹 회장의 동생인 허진수 새 지에스칼텍스 회장은 1986년 호남정유에 입사한 뒤 석유화학 분야에서 줄곧 일해왔으며 2013년 사촌형인 허동수 회장의 뒤를 이어 대표이사에 올랐다.

허창수	허창수/NNP
그룹	그룹/NNG
회장의	회장/NNG+의/JKG
동생인	동생/NNG+이/VCP+ㄴ/ETM
허진수	허진수/NNP
새	새/MMA
지에스칼텍스	지에스칼텍스/NNP
회장은	회장/NNG+은/JX
1986년	1986/SN+년/NNB
호남정유에	호남정유/NNP+에/JKB
입사한	입사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
석유화학	석유/NNG+화학/NNG
분야에서	분야/NNG+에서/JKB
줄곧	줄곧/MAG
일해왔으며	일/NNG+하/XSV+아/EC+오/VX+았/EP+으며/EC
2013년	2013/SN+년/NNB
사촌형인	사촌/NNG+형/NNG+이/VCP+ㄴ/ETM
허동수	허동수/NNP
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
대표이사에	대표/NNG+이사/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.54.5.2
허창수 회장의 삼촌인 허완구 승산그룹 회장의 아들인 허용수 지에스에너지 부사장은 지에스이피에스(EPS) 대표이사, 허동수 지에스칼텍스 회장의 아들인 허세홍 지에스칼텍스 부사장은 지에스글로벌 대표이사로 각각 선임됐다.

허창수	허창수/NNP
회장의	회장/NNG+의/JKG
삼촌인	삼촌/NNG+이/VCP+ㄴ/ETM
허완구	허완구/NNP
승산그룹	승산그룹/NNP
아들인	아들/NNG+이/VCP+ㄴ/ETM
허용수	허용수/NNP
지에스에너지	지에스에너지/NNP
부사장은	부사장/NNG+은/JX
지에스이피에스(EPS)	지에스이피에스/NNP+(/SS+EPS/SL+)/SS
대표이사,	대표/NNG+이사/NNG+,/SP
허동수	허동수/NNP
지에스칼텍스	지에스칼텍스/NNP
허세홍	허세홍/NNP
지에스글로벌	지에스글로벌/NNP
대표이사로	대표/NNG+이사/NNG+로/JKB
각각	각각/MAG
선임됐다.	선임/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.54.5.3
정택근(63) ㈜지에스 사장과 하영봉(64) 지에스에너지 사장, 손영기(63) 지에스이&아르(E&R;) 사장은 부회장으로, 홍순기(57) ㈜지에스 부사장과 김응식(58) 지에스파워 부사장은 사장으로 각각 승진했다.

정택근(63)	정택근/NNP+(/SS+63/SN+)/SS
㈜지에스	㈜/SW+지에스/NNP
사장과	사장/NNG+과/JC
하영봉(64)	하영봉/NNP+(/SS+64/SN+)/SS
지에스에너지	지에스에너지/NNP
사장,	사장/NNG+,/SP
손영기(63)	손영기/NNP+(/SS+63/SN+)/SS
지에스이&아르(E&R;)	지에스이&아르/NNP+(/SS+E/SL+&/SW+R/SL+;/SW+)/SS
사장은	사장/NNG+은/JX
부회장으로,	부회장/NNG+으로/JKB+,/SP
홍순기(57)	홍순기/NNP+(/SS+57/SN+)/SS
부사장과	부사장/NNG+과/JC
김응식(58)	김응식/NNP+(/SS+58/SN+)/SS
지에스파워	지에스파워/NNP
부사장은	부사장/NNG+은/JX
사장으로	사장/NNG+으로/JKB
각각	각각/MAG
승진했다.	승진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.54.5.4
파르나스호텔 대표이사에는 권붕주(57) 지에스리테일 수퍼사업부 대표(부사장)가, 해양도시가스 대표이사에는 김형순(58) 지에스칼텍스 대외협력부문장(전무)이 각각 선임됐다.

파르나스호텔	파르나스호텔/NNP
대표이사에는	대표/NNG+이사/NNG+에/JKB+는/JX
권붕주(57)	권붕주/NNP+(/SS+57/SN+)/SS
지에스리테일	지에스리테일/NNP
수퍼사업부	수퍼/NNG+사업부/NNG
대표(부사장)가,	대표/NNG+(/SS+부사장/NNG+)/SS+가/JKS+,/SP
해양도시가스	해양도시가스/NNP
김형순(58)	김형순/NNP+(/SS+58/SN+)/SS
지에스칼텍스	지에스칼텍스/NNP
대외협력부문장(전무)이	대외협력부문장/NNG+(/SS+전무/NNG+)/SS+이/JKS
각각	각각/MAG
선임됐다.	선임/NNG+되/XSV+었/EP+다/EF+./SF


