# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.284
metadata : {}


# id : NWRW1800000026.284.1.1
[제주·서울] 2012년까지 제주국제공항 여객청사 리모델링

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
2012년까지	2012/SN+년/NNB+까지/JX
제주국제공항	제주국제공항/NNP
여객청사	여객/NNG+청사/NNG
리모델링	리모델링/NNG


# id : NWRW1800000026.284.2.1
제주국제공항 여객청사가 확 바뀐다.

제주국제공항	제주국제공항/NNP
여객청사가	여객/NNG+청사/NNG+가/JKS
확	확/MAG
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.284.3.1
한국공항공사 제주지역본부는 올해부터 오는 2012년 7월까지 480억원을 투입해 제주공항의 국내선 여객청사 리모델링 공사를 벌일 예정이다.

한국공항공사	한국공항공사/NNP
제주지역본부는	제주지역/NNP+본부/NNG+는/JX
올해부터	올해/NNG+부터/JX
오는	오/VV+는/ETM
2012년	2012/SN+년/NNB
7월까지	7/SN+월/NNB+까지/JX
480억원을	480/SN+억/NR+원/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
제주공항의	제주공항/NNP+의/JKG
국내선	국내선/NNG
여객청사	여객/NNG+청사/NNG
리모델링	리모델링/NNG
공사를	공사/NNG+를/JKO
벌일	벌이/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.284.3.2
공사가 마무리되면 국내선 여객청사의 전체 면적이 4만5145㎡에서 6만8562㎡로 51.9% 증가해 국내선 연간 여객처리능력이 1010만명에서 2297만명으로 갑절 이상 늘어난다.

공사가	공사/NNG+가/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
국내선	국내선/NNG
여객청사의	여객/NNG+청사/NNG+의/JKG
전체	전체/NNG
면적이	면적/NNG+이/JKS
4만5145㎡에서	4/SN+만/NR+5145/SN+㎡/SW+에서/JKB
6만8562㎡로	6/SN+만/NR+8562/SN+㎡/SW+로/JKB
51.9%	51/SN+./SP+9/SN+%/SW
증가해	증가/NNG+하/XSV+아/EC
연간	연간/NNG
여객처리능력이	여객/NNG+처리/NNG+능력/NNG+이/JKS
1010만명에서	1010/SN+만/NR+명/NNB+에서/JKB
2297만명으로	2297/SN+만/NR+명/NNB+으로/JKB
갑절	갑절/NNG
이상	이상/NNG
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.284.4.1
또 항공사의 체크인카운터를 38개에서 62개로 2배가량 늘리고, 보안검색장의 X-레이 검색대를 7개에서 13개로 늘려 국내선 여객청사의 3층 중심에 배치할 예정이다.

또	또/MAG
항공사의	항공사/NNG+의/JKG
체크인카운터를	체크인/NNG+카운터/NNG+를/JKO
38개에서	38/SN+개/NNB+에서/JKB
62개로	62/SN+개/NNB+로/JKB
2배가량	2/SN+배/NNG+가량/XSN
늘리고,	늘리/VV+고/EC+,/SP
보안검색장의	보안/NNG+검색장/NNG+의/JKG
X-레이	X/SL+-/SO+레이/NNG
검색대를	검색대/NNG+를/JKO
7개에서	7/SN+개/NNB+에서/JKB
13개로	13/SN+개/NNB+로/JKB
늘려	늘리/VV+어/EC
국내선	국내선/NNG
여객청사의	여객/NNG+청사/NNG+의/JKG
3층	3/SN+층/NNG
중심에	중심/NNG+에/JKB
배치할	배치/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.284.4.2
이 밖에 4층 식당가의 면적이 3590㎡로 2배 이상 확장된다.

이	이/NP
밖에	밖/NNG+에/JKB
4층	4/SN+층/NNG
식당가의	식당가/NNG+의/JKG
면적이	면적/NNG+이/JKS
3590㎡로	3590/SN+㎡/SW+로/JKB
2배	2/SN+배/NNG
이상	이상/NNG
확장된다.	확장/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.284.4.3
식당가 전용 에스컬레이터와 1~4층용 24인승 엘리베이터 2개가 새로 설치된다.

식당가	식당가/NNG
전용	전용/NNG
에스컬레이터와	에스컬레이터/NNG+와/JC
1~4층용	1/SN+~/SO+4/SN+층/NNG+용/XSN
24인승	24인승/NNG
엘리베이터	엘리베이터/NNG
2개가	2/SN+개/NNB+가/JKS
새로	새로/MAG
설치된다.	설치/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.284.5.1
