# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.105
metadata : {}


# id : NWRW1800000046.105.1.1
한겨울 도심에서 벌 키우는 재미?

한겨울	한/XPN+겨울/NNG
도심에서	도심/NNG+에서/JKB
벌	벌/NNG
키우는	키우/VV+는/ETM
재미?	재미/NNG+?/SF


# id : NWRW1800000046.105.1.2
꿀맛이죠

꿀맛이죠	꿀맛/NNG+이/VCP+죠/EF


# id : NWRW1800000046.105.2.1
도시양봉가 '어반비즈서울' 박진… 주택가에서 키우지 않는 게 원칙, 내년까지 50곳으로 확대할 예정

도시양봉가	도시/NNG+양봉가/NNG
'어반비즈서울'	'/SS+어반비즈서울/NNP+'/SS
박진…	박진/NNP+…/SE
주택가에서	주택가/NNG+에서/JKB
키우지	키우/VV+지/EC
않는	않/VX+는/ETM
게	거/NNB+이/JKS
원칙,	원칙/NNG+,/SP
내년까지	내년/NNG+까지/JX
50곳으로	50/SN+곳/NNG+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
예정	예정/NNG


# id : NWRW1800000046.105.3.1
겨우살이에 들어간 벌과 달리 도시의 양봉가(養蜂家)는 겨울에도 분주하다.

겨우살이에	겨우살이/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
벌과	벌/NNG+과/JKB
달리	달리/MAG
도시의	도시/NNG+의/JKG
양봉가(養蜂家)는	양봉가/NNG+(/SS+養蜂家/SH+)/SS+는/JX
겨울에도	겨울/NNG+에/JKB+도/JX
분주하다.	분주/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.105.3.2
2년 전부터 서울 한복판에서 벌을 키우고 있는 박진(33)씨는 현재 13곳인 서울 지역 양봉장을 내년 말까지 50곳으로 확대할 준비에 여념이 없다.

2년	2/SN+년/NNB
전부터	전/NNG+부터/JX
서울	서울/NNP
한복판에서	한/XPN+복판/NNG+에서/JKB
벌을	벌/NNG+을/JKO
키우고	키우/VV+고/EC
있는	있/VX+는/ETM
박진(33)씨는	박진/NNP+(/SS+33/SN+)/SS+씨/NNB+는/JX
현재	현재/MAG
13곳인	13/SN+곳/NNG+이/VCP+ㄴ/ETM
지역	지역/NNG
양봉장을	양봉장/NNG+을/JKO
내년	내년/NNG
말까지	말/NNB+까지/JX
50곳으로	50/SN+곳/NNG+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
준비에	준비/NNG+에/JKB
여념이	여념/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.105.4.1
"'허니 뱅크'라는 사업은 도시 양봉장을 늘리는 데 투자를 받고 나중에 수확한 벌꿀로 보상해주는 방식이에요.

"'허니	"/SS+'/SS+허니/NNG
뱅크'라는	뱅크/NNG+'/SS+이/VCP+라는/ETM
사업은	사업/NNG+은/JX
도시	도시/NNG
양봉장을	양봉장/NNG+을/JKO
늘리는	늘리/VV+는/ETM
데	데/NNB
투자를	투자/NNG+를/JKO
받고	받/VV+고/EC
나중에	나중/NNG+에/JKB
수확한	수확/NNG+하/XSV+ㄴ/ETM
벌꿀로	벌꿀/NNG+로/JKB
보상해주는	보상/NNG+하/XSV+아/EC+주/VX+는/ETM
방식이에요.	방식/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000046.105.4.2
투자자를 대신해 일정 교육을 받은 저소득층이 벌을 기르니 이들에게 일자리를 제공하는 효과도 있죠." 도시에서 벌을 키운다는 선뜻 이해하기 어려운 '도시 양봉'을 2년 넘게 하고 있는 그를 만났다.

투자자를	투자자/NNG+를/JKO
대신해	대신/NNG+하/XSV+아/EC
일정	일정/NNG
교육을	교육/NNG+을/JKO
받은	받/VV+은/ETM
저소득층이	저/XPN+소득/NNG+층/XSN+이/JKS
벌을	벌/NNG+을/JKO
기르니	기르/VV+니/EC
이들에게	이/NP+들/XSN+에게/JKB
일자리를	일자리/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
효과도	효과/NNG+도/JX
있죠."	있/VA+죠/EF+./SF+"/SS
도시에서	도시/NNG+에서/JKB
키운다는	키우/VV+ㄴ다는/ETM
선뜻	선뜻/MAG
이해하기	이해/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
'도시	'/SS+도시/NNG
양봉'을	양봉/NNG+'/SS+을/JKO
2년	2/SN+년/NNB
넘게	넘/VV+게/EC
하고	하/VV+고/EC
있는	있/VX+는/ETM
그를	그/NP+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.105.5.1
박씨는 2013년 서울 노들섬을 시작으로 명동 유네스코회관, 서대문구청 옥상 등 서울·경기 지역 19곳에서 벌을 키우고 있다.

박씨는	박/NNP+씨/NNB+는/JX
2013년	2013/SN+년/NNB
서울	서울/NNP
노들섬을	노들섬/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
명동	명동/NNP
유네스코회관,	유네스코회관/NNP+,/SP
서대문구청	서대문구청/NNP
옥상	옥상/NNG
등	등/NNB
서울·경기	서울/NNP+·/SP+경기/NNP
지역	지역/NNG
19곳에서	19/SN+곳/NNG+에서/JKB
벌을	벌/NNG+을/JKO
키우고	키우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.105.5.2
