# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.3
metadata : {}


# id : NWRW1800000056.3.1.1
연근해 어업 생산량 44년 만에 최저

연근해	연근해/NNG
어업	어업/NNG
생산량	생산량/NNG
44년	44/SN+년/NNB
만에	만/NNB+에/JKB
최저	최저/NNG


# id : NWRW1800000056.3.2.1
[한겨레] 1972년 이후 처음으로 연간 100만t 아래로 떨어져

[한겨레]	[/SS+한겨레/NNP+]/SS
1972년	1972/SN+년/NNB
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
연간	연간/NNG
100만t	100/SN+만/NR+t/SW
아래로	아래/NNG+로/JKB
떨어져	떨어지/VV+어/EF


# id : NWRW1800000056.3.3.1
어린 물고기 남획·중국 어선 불법조업 등으로 바닷속 저출산

어린	어리/VA+ㄴ/ETM
물고기	물고기/NNG
남획·중국	남획/NNG+·/SP+중국/NNP
어선	어선/NNG
불법조업	불법/NNG+조업/NNG
등으로	등/NNB+으로/JKB
바닷속	바닷속/NNG
저출산	저/XPN+출산/NNG


# id : NWRW1800000056.3.4.1
연근해어업 생산량이 44년 만에 최저치를 기록했다.

연근해어업	연근해/NNG+어업/NNG
생산량이	생산량/NNG+이/JKS
44년	44/SN+년/NNB
만에	만/NNB+에/JKB
최저치를	최저/NNG+치/XSN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.3.5.1
6일 한국해양수산개발원이 발행한 동향분석 보고서를 보면, 지난해 연근해어업 생산량은 92만3000t으로 1972년(73만6276t) 이후 처음으로 연간 100만t 아래로 떨어졌다.

6일	6/SN+일/NNB
한국해양수산개발원이	한국해양수산개발원/NNP+이/JKS
발행한	발행/NNG+하/XSV+ㄴ/ETM
동향분석	동향/NNG+분석/NNG
보고서를	보고서/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
지난해	지난해/NNG
연근해어업	연근해/NNG+어업/NNG
생산량은	생산량/NNG+은/JX
92만3000t으로	92/SN+만/NR+3000/SN+t/SW+으로/JKB
1972년(73만6276t)	1972/SN+년/NNB+(/SS+73/SN+만/NR+6276/SN+t/SW+)/SS
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
연간	연간/NNG
100만t	100/SN+만/NR+t/SW
아래로	아래/NNG+로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.3.5.2
이는 지난해에 견줘 12.7% 감소한 수치이며 최고 생산량 173만t을 기록한 1986년과 비교하면 반 토막 수준으로 뚝 떨어졌다.

이는	이/NP+는/JX
지난해에	지난해/NNG+에/JKB
견줘	견주/VV+어/EC
12.7%	12/SN+./SP+7/SN+%/SW
감소한	감소/NNG+하/XSV+ㄴ/ETM
수치이며	수치/NNG+이/VCP+며/EC
최고	최고/NNG
생산량	생산량/NNG
173만t을	173/SN+만/NR+t/SW+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
1986년과	1986/SN+년/NNB+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
반	반/NNG
토막	토막/NNG
수준으로	수준/NNG+으로/JKB
뚝	뚝/MAG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.3.5.3
1척당 생산량 또한 근해어업이 1972년 370.3t에서 2016년에는 251.6t으로, 연안어업이 10.1t에서 6.2t으로 크게 떨어졌다.

1척당	1/SN+척/NNB+당/XSN
