# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.175
metadata : {}


# id : NWRW1800000054.175.1.1
내년 대입, 수시로 76% 선발 '역대 최대'

내년	내년/NNG
대입,	대입/NNG+,/SP
수시로	수시/NNG+로/JKB
76%	76/SN+%/SW
선발	선발/NNG
'역대	'/SS+역대/NNG
최대'	최대/NNG+'/SS


# id : NWRW1800000054.175.2.1
2019 대입전형 계획 발표

2019	2019/SN
대입전형	대입/NNG+전형/NNG
계획	계획/NNG
발표	발표/NNG


# id : NWRW1800000054.175.3.1
현재 고2 학생들이 치를 2019학년도 대학 입시에서는 수험생 4명 중 3명 이상이 수시 모집으로 대학에 입학하게 된다.

현재	현재/MAG
고2	고/NNG+2/SN
학생들이	학생/NNG+들/XSN+이/JKS
치를	치르/VV+ㄹ/ETM
2019학년도	2019/SN+학년도/NNG
대학	대학/NNG
입시에서는	입시/NNG+에서/JKB+는/JX
수험생	수험/NNG+생/XSN
4명	4/SN+명/NNB
중	중/NNB
3명	3/SN+명/NNB
이상이	이상/NNG+이/JKS
수시	수시/NNG
모집으로	모집/NNG+으로/JKB
대학에	대학/NNG+에/JKB
입학하게	입학/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.175.3.2
수시 모집 비율은 2007학년도 입시 때 처음 50%를 넘긴 뒤 줄곧 늘어 2018학년도(73.7%)에 이어 이번에 76.2%까지 치솟았다.

수시	수시/NNG
모집	모집/NNG
비율은	비율/NNG+은/JX
2007학년도	2007/SN+학년도/NNG
입시	입시/NNG
때	때/NNG
처음	처음/NNG
50%를	50/SN+%/SW+를/JKO
넘긴	넘기/VV+ㄴ/ETM
뒤	뒤/NNG
줄곧	줄곧/MAG
늘어	늘/VV+어/EC
2018학년도(73.7%)에	2018/SN+학년도/NNG+(/SS+73/SN+./SP+7/SN+%/SW+)/SS+에/JKB
이어	잇/VV+어/EC
이번에	이번/NNG+에/JKB
76.2%까지	76/SN+./SP+2/SN+%/SW+까지/JX
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.175.3.3
대학들은 학교생활기록부(학생부) 위주로 뽑는 '수시'와 수능 성적을 주로 보는 '정시'로 구분해 학생을 선발한다.

대학들은	대학/NNG+들/XSN+은/JX
학교생활기록부(학생부)	학교생활/NNG+기록부/NNG+(/SS+학생부/NNG+)/SS
위주로	위주/NNG+로/JKB
뽑는	뽑/VV+는/ETM
'수시'와	'/SS+수시/NNG+'/SS+와/JC
수능	수능/NNG
성적을	성적/NNG+을/JKO
주로	주로/MAG
보는	보/VV+는/ETM
'정시'로	'/SS+정시/NNG+'/SS+로/JKB
구분해	구분/NNG+하/XSV+아/EC
학생을	학생/NNG+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.175.4.1
전국 4년제 대학 196개교 모임인 한국대학교육협의회는 '2019학년도 대학 입학 전형 시행 계획'을 27일 발표했다.

전국	전국/NNG
