# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.127
metadata : {}


# id : NWRW1800000045.127.1.1
[내 눈엔 이게 보인다]“치매 문제 밝게 접근… 증상 순서 안맞아”

[내	[/SS+나/NP+의/JKG
일에도	일/NNG+에/JKB+도/JX
버럭버럭	버럭버럭/MAG
화를	화/NNG+를/JKO
내는	내/VV+는/ETM
건	거/NNB+ㄴ/JX
질병	질병/NNG
초기의	초기/NNG+의/JKG
전형적	전형/NNG+적/XSN
증상이다.	증상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.127.6.3
치매 증상이 나타나는 질환은 혈관성 치매 등 10여 종에 이르는데 알츠하이머가 가장 많다.

치매	치매/NNG
증상이	증상/NNG+이/JKS
나타나는	나타나/VV+는/ETM
질환은	질환/NNG+은/JX
혈관성	혈관/NNG+성/XSN
등	등/NNB
10여	10/SN+여/XSN
종에	종/NNG+에/JKB
이르는데	이르/VV+는데/EC
알츠하이머가	알츠하이머/NNG+가/JKS
가장	가장/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000045.127.6.4
현재로선 완치할 방도가 없다.

현재로선	현재/NNG+로서/JKB+ㄴ/JX
완치할	완치/NNG+하/XSV+ㄹ/ETM
방도가	방도/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.127.7.1
하지만 이를 형벌처럼 받아들여선 곤란하다.

하지만	하지만/MAJ
이를	이/NP+를/JKO
형벌처럼	형벌/NNG+처럼/JKB
받아들여선	받아들이/VV+어서/EC+ㄴ/JX
곤란하다.	곤란/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.127.7.2
정확한 통계는 없지만 현재 국내에선 65세 이상 인구의 10% 안팎이 치매에 시달리는 것으로 추산한다.

정확한	정확/NNG+하/XSA+ㄴ/ETM
통계는	통계/NNG+는/JX
없지만	없/VA+지만/EC
현재	현재/MAG
국내에선	국내/NNG+에서/JKB+ㄴ/JX
65세	65/SN+세/NNB
이상	이상/NNG
인구의	인구/NNG+의/JKG
10%	10/SN+%/SW
안팎이	안팎/NNG+이/JKS
치매에	치매/NNG+에/JKB
시달리는	시달리/VV+는/ETM
것으로	것/NNB+으로/JKB
추산한다.	추산/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.127.7.3
이 교수는 “특히 75세 이후 신체기능이 떨어지며 치매가 찾아올 확률이 높아진다”며 “가장 고통스러운 사람은 ‘자신을 잃어가는’ 환자라는 점을 잊어선 안 된다”고 말했다.

이	이/NNP
교수는	교수/NNG+는/JX
“특히	“/SS+특히/MAG
75세	75/SN+세/NNB
이후	이후/NNG
신체기능이	신체/NNG+기능/NNG+이/JKS
떨어지며	떨어지/VV+며/EC
치매가	치매/NNG+가/JKS
찾아올	찾아오/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
높아진다”며	높아지/VV+ㄴ다/EF+”/SS+며/EC
“가장	“/SS+가장/MAG
고통스러운	고통/NNG+스럽/XSA+ㄴ/ETM
사람은	사람/NNG+은/JX
‘자신을	‘/SS+자신/NNG+을/JKO
잃어가는’	잃/VV+어/EC+가/VX+는/ETM+’/SS
환자라는	환자/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
잊어선	잊/VV+어서/EC+ㄴ/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.127.8.1
영화에서 아쉬운 점도 없지 않다.

영화에서	영화/NNG+에서/JKB
아쉬운	아쉽/VA+ㄴ/ETM
점도	점/NNG+도/JX
없지	없/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.127.8.2
치매로 인해 나타나는 증상이 시기에 맞지 않게 혼란스럽게 뒤섞였다.

치매로	치매/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
나타나는	나타나/VV+는/ETM
증상이	증상/NNG+이/JKS
시기에	시기/NNG+에/JKB
맞지	맞/VV+지/EC
않게	않/VX+게/EC
혼란스럽게	혼란/NNG+스럽/XSA+게/EC
뒤섞였다.	뒤섞이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.127.8.3
멀쩡하게 일을 할 수 있는 체력을 가진 환자가 가족을 송두리째 몰라보는 경우는 있을 수 없다.

멀쩡하게	멀쩡하/VA+게/EC
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
체력을	체력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
환자가	환자/NNG+가/JKS
가족을	가족/NNG+을/JKO
송두리째	송두리째/MAG
몰라보는	몰라보/VV+는/ETM
경우는	경우/NNG+는/JX
있을	있/VA+을/ETM
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.127.8.4
이 교수는 “주위 사람은 알아보면서 가족만 몰라본다는 것도 실은 이치에 맞지 않다”며 “오히려 질환 초기에 특정 인물에게만 공격성을 드러내는 사례는 상당하다”고 말했다.

이	이/NNP
교수는	교수/NNG+는/JX
“주위	“/SS+주위/NNG
사람은	사람/NNG+은/JX
알아보면서	알아보/VV+면서/EC
가족만	가족/NNG+만/JX
몰라본다는	몰라보/VV+ㄴ다는/ETM
것도	것/NNB+도/JX
실은	실은/MAG
이치에	이치/NNG+에/JKB
맞지	맞/VV+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“오히려	“/SS+오히려/MAG
질환	질환/NNG
초기에	초기/NNG+에/JKB
특정	특정/NNG
인물에게만	인물/NNG+에게/JKB+만/JX
공격성을	공격/NNG+성/XSN+을/JKO
드러내는	드러내/VV+는/ETM
사례는	사례/NNG+는/JX
상당하다”고	상당/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.127.9.1
이 교수는 후반부에 성칠이 자신의 딸에게 ‘네가 내 딸이로구나.

이	이/NNP
교수는	교수/NNG+는/JX
후반부에	후반부/NNG+에/JKB
성칠이	성칠/NNP+이/JKS
자신의	자신/NNG+의/JKG
딸에게	딸/NNG+에게/JKB
‘네가	‘/SS+네/NP+가/JKS
내	나/NP+의/JKG
딸이로구나.	딸/NNG+이/VCP+로구나/EF+./SF


# id : NWRW1800000045.127.9.2
기억을 못 해서 미안하다’라고 말하는 장면을 최고로 꼽았다.

기억을	기억/NNG+을/JKO
못	못/MAG
해서	하/VV+아서/EC
미안하다’라고	미안/NNG+하/XSA+다/EF+’/SS+라고/JKQ
말하는	말/NNG+하/XSV+는/ETM
장면을	장면/NNG+을/JKO
최고로	최고/NNG+로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.127.9.3
이 교수는 “기억의 일부가 지워진다고 사고능력마저 다 잃는 건 아니다”라며 “있는 그대로 받아들이려는 주변의 노력이 환자에게 가장 큰 힘이 된다”고 조언했다.

이	이/NNP
교수는	교수/NNG+는/JX
“기억의	“/SS+기억/NNG+의/JKG
일부가	일부/NNG+가/JKS
지워진다고	지우/VV+어/EC+지/VX+ㄴ다고/EC
사고능력마저	사고/NNG+능력/NNG+마저/JX
다	다/MAG
잃는	잃/VV+는/ETM
건	거/NNB+ㄴ/JX
아니다”라며	아니/VCN+다/EF+”/SS+라며/EC
“있는	“/SS+있/VA+는/ETM
그대로	그대로/MAG
받아들이려는	받아들이/VV+려는/ETM
주변의	주변/NNG+의/JKG
노력이	노력/NNG+이/JKS
환자에게	환자/NNG+에게/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
힘이	힘/NNG+이/JKC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


