# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.416
metadata : {}


# id : NWRW1800000032.416.1.1
“비무장지대 가스관, 남-북-러 대면 필요”

“비무장지대	“/SS+비/XPN+무장/NNG+지대/NNG
가스관,	가스관/NNG+,/SP
남-북-러	남-북/NNP+-/SO+러/NNP
대면	대면/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000032.416.2.1
러시아 주한 대사관 밝혀

러시아	러시아/NNP
주한	주한/NNG
대사관	대사관/NNG
밝혀	밝히/VV+어/EF


# id : NWRW1800000032.416.3.1
북한을 경유하는 러시아 가스관 건설과 관련해, 남-북-러 3자 대면 협의가 이뤄지는 시점은 가스관이 남북 경계를 통과하는 문제를 논의하는 단계가 될 것이라고 콘스탄틴 브누코프 주한 러시아 대사가 15일 밝혔다.

북한을	북한/NNP+을/JKO
경유하는	경유/NNG+하/XSV+는/ETM
러시아	러시아/NNP
가스관	가스관/NNG
건설과	건설/NNG+과/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
남-북-러	남-북/NNP+-/SO+러/NNP
3자	3자/NNG
대면	대면/NNG
협의가	협의/NNG+가/JKS
이뤄지는	이뤄지/VV+는/ETM
시점은	시점/NNG+은/JX
가스관이	가스관/NNG+이/JKS
남북	남북/NNP
경계를	경계/NNG+를/JKO
통과하는	통과/NNG+하/XSV+는/ETM
문제를	문제/NNG+를/JKO
논의하는	논의/NNG+하/XSV+는/ETM
단계가	단계/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
콘스탄틴	콘스탄틴/NNP
브누코프	브누코프/NNP
주한	주한/NNG
대사가	대사/NNG+가/JKS
15일	15/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.416.4.1
브누코프 대사는 이날 민족화해범국민협의회가 주최하고 한겨레평화연구소가 주관해 서울 중구 한국언론회관에서 연 ‘남·북·러 협력과 한반도 정세-가스관 사업을 중심으로’ 포럼에 참석해 이렇게 내다봤다.

브누코프	브누코프/NNP
대사는	대사/NNG+는/JX
이날	이날/NNG
민족화해범국민협의회가	민족/NNG+화해/NNG+범/XPN+국민/NNG+협의회/NNG+가/JKS
주최하고	주최/NNG+하/XSV+고/EC
한겨레평화연구소가	한겨레평화연구소/NNP+가/JKS
주관해	주관/NNG+하/XSV+아/EC
서울	서울/NNP
중구	중구/NNP
한국언론회관에서	한국언론회관/NNP+에서/JKB
연	열/VV+ㄴ/ETM
‘남·북·러	‘/SS+남·북/NNP+·/SP+러/NNP
협력과	협력/NNG+과/JC
한반도	한반도/NNP
정세-가스관	정세/NNG+-/SO+가스관/NNG
사업을	사업/NNG+을/JKO
중심으로’	중심/NNG+으로/JKB+’/SS
포럼에	포럼/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
이렇게	이렇/VA+게/EC
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.416.5.1
