# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.305
metadata : {}


# id : NWRW1800000022.305.1.1
[부산ㆍ경남]한·중·일 "문화콘텐츠 공동발전" 포럼

[부산ㆍ경남]한·중·일	[/SS+부산/NNP+ㆍ/SP+경남/NNP+]/SS+한·중·일/NNP
"문화콘텐츠	"/SS+문화/NNG+콘텐츠/NNG
공동발전"	공동/NNG+발전/NNG+"/SS
포럼	포럼/NNG


# id : NWRW1800000022.305.2.1
한국과 중국, 일본의 정부 및 민간 관계자들이 문화콘텐츠 산업의 공동 발전을 위해 부산서 만나 머리를 맞댄다.

한국과	한국/NNP+과/JC
중국,	중국/NNP+,/SP
일본의	일본/NNP+의/JKG
정부	정부/NNG
및	및/MAG
민간	민간/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
문화콘텐츠	문화/NNG+콘텐츠/NNG
산업의	산업/NNG+의/JKG
공동	공동/NNG
발전을	발전/NNG+을/JKO
위해	위하/VV+아/EC
부산서	부산/NNP+서/JKB
만나	만나/VV+아/EC
머리를	머리/NNG+를/JKO
맞댄다.	맞대/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.305.2.2
2009 한·중·일 문화콘텐츠산업 포럼이다.

2009	2009/SN
한·중·일	한·중·일/NNP
문화콘텐츠산업	문화/NNG+콘텐츠/NNG+산업/NNG
포럼이다.	포럼/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.305.3.1
이 포럼은 2일 해운대 누리마루 APEC하우스에서 개막했다.

이	이/MMD
포럼은	포럼/NNG+은/JX
2일	2/SN+일/NNB
해운대	해운대/NNP
누리마루	누리마루/NNP
APEC하우스에서	APEC하우스/NNP+에서/JKB
개막했다.	개막/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.305.4.1
4일까지 이어질 이 포럼엔 이들 세 나라의 차관급 정부 대표를 비롯, 문화콘텐츠산업 관련 업계, 학계 관계자 등 150여명이 참석해 문화콘텐츠산업의 협력방안에 대해 논의한다.

4일까지	4/SN+일/NNB+까지/JX
이어질	이어지/VV+ㄹ/ETM
이	이/MMD
포럼엔	포럼/NNG+에/JKB+ㄴ/JX
이들	이/NP+들/XSN
세	세/MMN
나라의	나라/NNG+의/JKG
차관급	차관급/NNG
정부	정부/NNG
대표를	대표/NNG+를/JKO
비롯,	비롯/XR+,/SP
문화콘텐츠산업	문화/NNG+콘텐츠/NNG+산업/NNG
관련	관련/NNG
업계,	업계/NNG+,/SP
학계	학계/NNG
관계자	관계자/NNG
등	등/NNB
150여명이	150/SN+여/XSN+명/NNB+이/JKS
참석해	참석/NNG+하/XSV+아/EC
문화콘텐츠산업의	문화/NNG+콘텐츠/NNG+산업/NNG+의/JKG
협력방안에	협력/NNG+방안/NNG+에/JKB
대해	대하/VV+아/EC
논의한다.	논의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.305.4.2
행사 첫날인 2일엔 정부 및 민간 대표자 주제발표를 시작으로 '콘텐츠 부산선언문'을 채택한 데 이어 한·중·일 콘텐츠산업 민간업체 간 협력방안 논의를 위한 분과회의가 열렸다.

행사	행사/NNG
첫날인	첫날/NNG+이/VCP+ㄴ/ETM
2일엔	2/SN+일/NNB+에/JKB+ㄴ/JX
정부	정부/NNG
및	및/MAG
민간	민간/NNG
대표자	대표자/NNG
주제발표를	주제/NNG+발표/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
'콘텐츠	'/SS+콘텐츠/NNG
부산선언문'을	부산/NNP+선언문/NNG+'/SS+을/JKO
채택한	채택/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
한·중·일	한·중·일/NNP
콘텐츠산업	콘텐츠/NNG+산업/NNG
민간업체	민간/NNG+업체/NNG
간	간/NNB
협력방안	협력/NNG+방안/NNG
논의를	논의/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
분과회의가	분과/NNG+회의/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.305.5.1
3일엔 마스터클래스 강연회에 이어 한·중·일 민간 참여자의 비즈니스 상담회가 열리고, 마지막 날인 4일엔 '2009 IT BUSAN EXPO' 및 '로보월드'가 열리는 벡스코 등 부산 문화산업현장을 방문하게 된다.

3일엔	3/SN+일/NNB+에/JKB+ㄴ/JX
마스터클래스	마스터클래스/NNG
강연회에	강연회/NNG+에/JKB
이어	잇/VV+어/EC
한·중·일	한·중·일/NNP
민간	민간/NNG
참여자의	참여자/NNG+의/JKG
비즈니스	비즈니스/NNG
상담회가	상담회/NNG+가/JKS
열리고,	열리/VV+고/EC+,/SP
마지막	마지막/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
4일엔	4/SN+일/NNB+에/JKB+ㄴ/JX
'2009	'/SS+2009/SN
IT	IT/SL
BUSAN	BUSAN/SL
EXPO'	EXPO/SL+'/SS
및	및/MAG
'로보월드'가	'/SS+로보/NNG+월드/NNG+'/SS+가/JKS
열리는	열리/VV+는/ETM
벡스코	벡스코/NNP
등	등/NNB
부산	부산/NNP
문화산업현장을	문화/NNG+산업/NNG+현장/NNG+을/JKO
방문하게	방문/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.305.6.1
