# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.372
metadata : {}


# id : NWRW1800000029.372.1.1
민주, 평창효과 곁불 - 내부결속 ‘양수겸장’

민주,	민주/NNP+,/SP
평창효과	평창/NNP+효과/NNG
곁불	곁불/NNG
-	-/SO
내부결속	내부/NNG+결속/NNG
‘양수겸장’	‘/SS+양수겸장/NNG+’/SS


# id : NWRW1800000029.372.2.1
■ 잇단 대북 유화책 속내는

■	■/SW
잇단	잇달/VV+ㄴ/ETM
대북	대북/NNG
유화책	유화책/NNG
속내는	속내/NNG+는/JX


# id : NWRW1800000029.372.3.1
강원 평창군이 겨울올림픽 개최지로 결정된 후 민주당이 연일 대북 유화책을 내놓고 있다.

강원	강원/NNP
평창군이	평창군/NNP+이/JKS
겨울올림픽	겨울/NNG+올림픽/NNG
개최지로	개최지/NNG+로/JKB
결정된	결정/NNG+되/XSV+ㄴ/ETM
후	후/NNG
민주당이	민주당/NNP+이/JKS
연일	연일/MAG
대북	대북/NNG
유화책을	유화책/NNG+을/JKO
내놓고	내놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.372.4.1
민주당은 겨울올림픽 유치에 성공한 다음 날인 8일 “북한 정권에 공동 올림픽 추진을 제안해야 한다”(이인영 최고위원) “정권교체에 성공한다면 남북 공동 올림픽으로 확대 추진하는 방안을 검토해야 한다”(정동영 최고위원) 등의 주장이 나오더니 11일엔 손학규 대표가 공동 올림픽 추진을 공식 제안했다.

민주당은	민주당/NNP+은/JX
겨울올림픽	겨울/NNG+올림픽/NNG
유치에	유치/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
8일	8/SN+일/NNB
“북한	“/SS+북한/NNP
정권에	정권/NNG+에/JKB
공동	공동/NNG
올림픽	올림픽/NNG
추진을	추진/NNG+을/JKO
제안해야	제안/NNG+하/XSV+아야/EC
한다”(이인영	하/VX+ㄴ다/EF+”/SS+(/SS+이인영/NNP
최고위원)	최고/NNG+위원/NNG+)/SS
“정권교체에	“/SS+정권/NNG+교체/NNG+에/JKB
성공한다면	성공/NNG+하/XSV+ㄴ다면/EC
남북	남북/NNP
올림픽으로	올림픽/NNG+으로/JKB
확대	확대/NNG
추진하는	추진/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토해야	검토/NNG+하/XSV+아야/EC
한다”(정동영	하/VX+ㄴ다/EF+”/SS+(/SS+정동영/NNP
등의	등/NNB+의/JKG
주장이	주장/NNG+이/JKS
나오더니	나오/VV+더니/EC
11일엔	11/SN+일/NNB+에/JKB+ㄴ/JX
손학규	손학규/NNP
대표가	대표/NNG+가/JKS
공식	공식/NNG
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.372.5.1
북한의 천안함 폭침, 연평도 포격으로 중단된 대북(對北) 지원 재개 문제도 집중적으로 거론하고 있다.

북한의	북한/NNP+의/JKG
천안함	천안함/NNP
폭침,	폭침/NNG+,/SP
연평도	연평도/NNP
포격으로	포격/NNG+으로/JKB
중단된	중단/NNG+되/XSV+ㄴ/ETM
대북(對北)	대북/NNG+(/SS+對北/SH+)/SS
지원	지원/NNG
재개	재개/NNG
문제도	문제/NNG+도/JX
집중적으로	집중/NNG+적/XSN+으로/JKB
거론하고	거론/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.372.5.2
김진표 원내대표는 8일 “평창 겨울올림픽이 ‘평화·통일 올림픽’이 되려면 금강산관광과 연계해 시너지 효과를 높여야 한다”고 주장했다.

김진표	김진표/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
8일	8/SN+일/NNB
“평창	“/SS+평창/NNP
겨울올림픽이	겨울/NNG+올림픽/NNG+이/JKS
‘평화·통일	‘/SS+평화/NNG+·/SP+통일/NNG
올림픽’이	올림픽/NNG+’/SS+이/JKC
되려면	되/VV+려면/EC
금강산관광과	금강산/NNP+관광/NNG+과/JKB
연계해	연계/NNG+하/XSV+아/EC
시너지	시너지/NNG
효과를	효과/NNG+를/JKO
높여야	높이/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.372.5.3
대북 식량 지원 재개를 촉구하며 남북 국회 회담 개최도 제안했다.

대북	대북/NNG
식량	식량/NNG
지원	지원/NNG
재개를	재개/NNG+를/JKO
촉구하며	촉구/NNG+하/XSV+며/EC
남북	남북/NNP
국회	국회/NNG
회담	회담/NNG
개최도	개최/NNG+도/JX
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.372.5.4
천정배 최고위원도 같은 날 “평창 겨울올림픽의 성공을 위해서라도 남북평화는 필수적”이라며 “대북 식량지원 등 남북 화해정책을 적극적으로 추진해 꼬인 남북관계를 풀고 세계에 화답해야 한다”고 했다.

천정배	천정배/NNP
최고위원도	최고/NNG+위원/NNG+도/JX
같은	같/VA+은/ETM
날	날/NNG
“평창	“/SS+평창/NNP
겨울올림픽의	겨울/NNG+올림픽/NNG+의/JKG
성공을	성공/NNG+을/JKO
위해서라도	위하/VV+아서라도/EC
남북평화는	남북/NNP+평화/NNG+는/JX
필수적”이라며	필수/NNG+적/XSN+”/SS+이/VCP+라며/EC
“대북	“/SS+대북/NNG
식량지원	식량/NNG+지원/NNG
등	등/NNB
남북	남북/NNP
화해정책을	화해/NNG+정책/NNG+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
추진해	추진/NNG+하/XSV+아/EC
꼬인	꼬이/VV+ㄴ/ETM
남북관계를	남북/NNP+관계/NNG+를/JKO
풀고	풀/VV+고/EC
세계에	세계/NNG+에/JKB
화답해야	화답/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.372.5.5
평창 올림픽을 성공적으로 개최하려면 북한과의 화해공존이 필수적이라는 주장들이다.

평창	평창/NNP
올림픽을	올림픽/NNG+을/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
개최하려면	개최/NNG+하/XSV+려면/EC
북한과의	북한/NNP+과/JKB+의/JKG
화해공존이	화해/NNG+공존/NNG+이/JKS
필수적이라는	필수/NNG+적/XSN+이/VCP+라는/ETM
주장들이다.	주장/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000029.372.6.1
이처럼 민주당이 평창 겨울올림픽 유치를 계기로 정부에 대북기조 전환을 촉구하며 남북문제 이슈화에 나선 것은 6·2지방선거 때부터 내세운 ‘평화 세력’ 이미지를 이어나가면서 전통적 지지층의 결속을 다지겠다는 의도가 깔린 것으로 분석된다.

이처럼	이/NP+처럼/JKB
