# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.69
metadata : {}


# id : NWRW1800000022.69.1.1
李대통령 출국… 뉴질랜드 등 3개국 순방

李대통령	李/SH+대통령/NNG
출국…	출국/NNG+…/SE
뉴질랜드	뉴질랜드/NNP
등	등/NNB
3개국	3/SN+개국/NNB
순방	순방/NNG


# id : NWRW1800000022.69.2.1
이명박 대통령은 뉴질랜드와 호주, 인도네시아 등 3개국을 순방하기 위해 2일 오후 출국했다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
뉴질랜드와	뉴질랜드/NNP+와/JC
호주,	호주/NNP+,/SP
인도네시아	인도네시아/NNP
등	등/NNB
3개국을	3/SN+개국/NNB+을/JKO
순방하기	순방/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
2일	2/SN+일/NNB
오후	오후/NNG
출국했다.	출국/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.69.3.1
이 대통령은 이번 순방기간 '신(新) 아시아 구상'을 밝힐 예정이라고 청와대는 말했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
이번	이번/NNG
순방기간	순방/NNG+기간/NNG
'신(新)	'/SS+신/XPN+(/SS+新/SH+)/SS
아시아	아시아/NNP
구상'을	구상/NNG+'/SS+을/JKO
밝힐	밝히/VV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
청와대는	청와대/NNP+는/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.69.4.1
이동관 청와대 대변인은 "그동안 중국·일본에 치중됐던 아시아권 외교 지평을 전(全) 아시아 지역으로 확대하면서 경제뿐 아니라 안보·문화·에너지 등 다방면에 걸친 협력 관계를 구축하겠다는 새로운 외교 전략"이라고 했다.

이동관	이동관/NNP
청와대	청와대/NNP
대변인은	대변인/NNG+은/JX
"그동안	"/SS+그동안/NNG
중국·일본에	중국/NNP+·/SP+일본/NNP+에/JKB
치중됐던	치중/NNG+되/XSV+었/EP+던/ETM
아시아권	아시아/NNP+권/XSN
외교	외교/NNG
지평을	지평/NNG+을/JKO
전(全)	전/MMN+(/SS+全/SH+)/SS
아시아	아시아/NNP
지역으로	지역/NNG+으로/JKB
확대하면서	확대/NNG+하/XSV+면서/EC
경제뿐	경제/NNG+뿐/JX
아니라	아니/VCN+라/EC
안보·문화·에너지	안보/NNG+·/SP+문화/NNG+·/SP+에너지/NNG
등	등/NNB
다방면에	다방면/NNG+에/JKB
걸친	걸치/VV+ㄴ/ETM
협력	협력/NNG
관계를	관계/NNG+를/JKO
구축하겠다는	구축/NNG+하/XSV+겠/EP+다는/ETM
새로운	새롭/VA+ㄴ/ETM
전략"이라고	전략/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


