# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.407
metadata : {}


# id : NWRW1800000032.407.1.1
야 “ISD만 빼서 재재협상” 여 “승복할 수 없는 제안”

야	야/NNG
“ISD만	“/SS+ISD/SL+만/JX
빼서	빼/VV+어서/EC
재재협상”	재/XPN+재/XPN+협상/NNG+”/SS
여	여/NNG
“승복할	“/SS+승복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
제안”	제안/NNG+”/SS


# id : NWRW1800000032.407.2.1
FTA 처리와 분리 요구

FTA	FTA/SL
처리와	처리/NNG+와/JC
분리	분리/NNG
요구	요구/NNG


# id : NWRW1800000032.407.3.1
민주 마지노선 제시해

민주	민주/NNP
마지노선	마지노선/NNG
제시해	제시/NNG+하/XSV+아/EF


# id : NWRW1800000032.407.4.1
투자자-국가 소송제도(ISD) 수용 여부가 한-미 자유무역협정(FTA) 비준안 처리의 유일한 쟁점으로 남게 됐다.

투자자-국가	투자자/NNG+-/SO+국가/NNG
소송제도(ISD)	소송/NNG+제도/NNG+(/SS+ISD/SL+)/SS
수용	수용/NNG
여부가	여부/NNG+가/JKS
한-미	한-미/NNP
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
비준안	비준안/NNG
처리의	처리/NNG+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
쟁점으로	쟁점/NNG+으로/JKB
남게	남/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.407.4.2
여야는 31일 원내대표 회담과 의원총회를 잇달아 열어 합의를 시도했지만 불발로 돌아갔다.

여야는	여야/NNG+는/JX
31일	31/SN+일/NNB
원내대표	원내/NNG+대표/NNG
회담과	회담/NNG+과/JC
의원총회를	의원/NNG+총회/NNG+를/JKO
잇달아	잇달/VV+아/EC
열어	열/VV+어/EC
합의를	합의/NNG+를/JKO
시도했지만	시도/NNG+하/XSV+았/EP+지만/EC
불발로	불발/NNG+로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.407.4.3
민주당은 투자자-국가 소송제를 협정 비준안에서 제외하는 데에 모든 당력을 집중해 한-미 자유무역협정 통과를 저지한다는 전략을 세웠다.

민주당은	민주당/NNP+은/JX
투자자-국가	투자자/NNG+-/SO+국가/NNG
소송제를	소송/NNG+제/XSN+를/JKO
협정	협정/NNG
비준안에서	비준안/NNG+에서/JKB
제외하는	제외/NNG+하/XSV+는/ETM
데에	데/NNB+에/JKB
모든	모든/MMN
당력을	당력/NNG+을/JKO
집중해	집중/NNG+하/XSV+아/EC
한-미	한-미/NNP
자유무역협정	자유/NNG+무역/NNG+협정/NNG
통과를	통과/NNG+를/JKO
저지한다는	저지/NNG+하/XSV+ㄴ다는/ETM
전략을	전략/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.407.4.4
이른바 ‘원 포인트 재재협상안’ 요구다.

이른바	이른바/MAG
‘원	‘/SS+원/NNG
포인트	포인트/NNG
재재협상안’	재재/NNG+협상안/NNG+’/SS
요구다.	요구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.407.4.5
이 제도 무력화에 집중하는 게 국민에게 ‘명분 있는 반대’로 비칠 것이란 판단이 깔려 있다.

이	이/MMD
제도	제도/NNG
무력화에	무력/NNG+화/XSN+에/JKB
집중하는	집중/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
국민에게	국민/NNG+에게/JKB
‘명분	‘/SS+명분/NNG
있는	있/VA+는/ETM
반대’로	반대/NNG+’/SS+로/JKB
비칠	비치/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
판단이	판단/NNG+이/JKS
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.407.5.1
■ 야당, “투자자-국가 소송제도 빼라” 민주당 의원들은 이날 오전 10시부터 오후 5시까지 계속된 의원총회에서 투자자-국가 소송제도를 이번 협정비준안에서 제외한다면, 국회에서 처리할 수 있다는 쪽으로 의견을 모았다.

■	■/SW
야당,	야당/NNG+,/SP
“투자자-국가	“/SS+투자자/NNG+-/SO+국가/NNG
소송제도	소송/NNG+제도/NNG
빼라”	빼/VV+라/EF+”/SS
민주당	민주당/NNP
의원들은	의원/NNG+들/XSN+은/JX
이날	이날/NNG
오전	오전/NNG
10시부터	10/SN+시/NNB+부터/JX
오후	오후/NNG
5시까지	5/SN+시/NNB+까지/JX
계속된	계속/NNG+되/XSV+ㄴ/ETM
의원총회에서	의원/NNG+총회/NNG+에서/JKB
투자자-국가	투자자/NNG+-/SO+국가/NNG
소송제도를	소송/NNG+제도/NNG+를/JKO
이번	이번/NNG
협정비준안에서	협정/NNG+비준안/NNG+에서/JKB
제외한다면,	제외/NNG+하/XSV+ㄴ다면/EC+,/SP
국회에서	국회/NNG+에서/JKB
처리할	처리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
쪽으로	쪽/NNB+으로/JKB
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.407.5.2
민주당이 한-미 자유무역협정에서 뺄 것을 요구하는 투자자-국가 소송제도는 미국 투자자가 한국 법으로 인해 피해를 봤다고 판단되면 한국 정부를 국제중재기구에 제소할 수 있는 제도다.

민주당이	민주당/NNP+이/JKS
한-미	한-미/NNP
자유무역협정에서	자유/NNG+무역/NNG+협정/NNG+에서/JKB
뺄	빼/VV+ㄹ/ETM
것을	것/NNB+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
투자자-국가	투자자/NNG+-/SO+국가/NNG
소송제도는	소송/NNG+제도/NNG+는/JX
미국	미국/NNP
투자자가	투자자/NNG+가/JKS
한국	한국/NNP
법으로	법/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
피해를	피해/NNG+를/JKO
봤다고	보/VV+았/EP+다고/EC
판단되면	판단/NNG+되/XSV+면/EC
정부를	정부/NNG+를/JKO
국제중재기구에	국제/NNG+중재/NNG+기구/NNG+에/JKB
제소할	제소/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.407.5.3
민주당 의원들이 투자자-국가 소송제도를 끝까지 문제 삼는 이유는 한-미 자유무역협정 전반은 거부할 수 없지만, 이렇게 후유증이 우려되는 부분은 끝까지 반대했다는 근거를 남기기 위한 것으로 보인다.

민주당	민주당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
투자자-국가	투자자/NNG+-/SO+국가/NNG
소송제도를	소송/NNG+제도/NNG+를/JKO
끝까지	끝/NNG+까지/JX
문제	문제/NNG
삼는	삼/VV+는/ETM
이유는	이유/NNG+는/JX
한-미	한-미/NNP
자유무역협정	자유/NNG+무역/NNG+협정/NNG
전반은	전반/NNG+은/JX
거부할	거부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없지만,	없/VA+지만/EC+,/SP
이렇게	이렇/VA+게/EC
후유증이	후유증/NNG+이/JKS
우려되는	우려/NNG+되/XSV+는/ETM
부분은	부분/NNG+은/JX
반대했다는	반대/NNG+하/XSV+았/EP+다는/ETM
근거를	근거/NNG+를/JKO
남기기	남기/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.407.5.4
민주당의 한 의원은 “한-미 자유무역협정은 먼 미래에 그 결과를 알 수 있는 것인데, 지금 현재 분명한 것은 협정 비준안 동의 결과는 역사에 남는다는 것”이라고 말했다.

민주당의	민주당/NNP+의/JKG
한	한/MMN
의원은	의원/NNG+은/JX
“한-미	“/SS+한-미/NNP
자유무역협정은	자유/NNG+무역/NNG+협정/NNG+은/JX
먼	멀/VA+ㄴ/ETM
미래에	미래/NNG+에/JKB
그	그/MMD
결과를	결과/NNG+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
지금	지금/MAG
현재	현재/MAG
분명한	분명/MAG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
협정	협정/NNG
비준안	비준안/NNG
동의	동의/NNG
결과는	결과/NNG+는/JX
역사에	역사/NNG+에/JKB
남는다는	남/VV+는다/EF+는/JX
