# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.220
metadata : {}


# id : NWRW1800000052.220.1.1
“이동권 보장하라” 휠체어 고공농성

“이동권	“/SS+이동/NNG+권/XSN
보장하라”	보장/NNG+하/XSV+라/EF+”/SS
휠체어	휠체어/NNG
고공농성	고공/NNG+농성/NNG


# id : NWRW1800000052.220.2.1
이도건 ‘경기장애인투쟁단’ 위원장

이도건	이도건/NNP
‘경기장애인투쟁단’	‘/SS+경기장애인투쟁단/NNP+’/SS
위원장	위원장/NNG


# id : NWRW1800000052.220.3.1
여의도 건물 2층 난간서 7일째 단식

여의도	여의도/NNP
건물	건물/NNG
2층	2/SN+층/NNG
난간서	난간/NNG+서/JKB
7일째	7/SN+일/NNB+째/XSN
단식	단식/NNG


# id : NWRW1800000052.220.4.1
“휠체어를 탄 장애인이 공중에서 단식농성까지 하는 건 제가 처음일걸요.”

“휠체어를	“/SS+휠체어/NNG+를/JKO
탄	타/VV+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
공중에서	공중/NNG+에서/JKB
단식농성까지	단식/NNG+농성/NNG+까지/JX
하는	하/VV+는/ETM
건	거/NNB+ㄴ/JX
제가	제/NP+가/JKS
처음일걸요.”	처음/NNG+이/VCP+ㄹ걸/EF+요/JX+./SF+”/SS


# id : NWRW1800000052.220.5.1
지난 10일 낮 서울 여의도 이룸센터에서 만난 이도건(36) ‘경기420장애인차별철폐공동투쟁단’(경기공투단) 공동집행위원장은 이 건물 2층, 유리로 된 좁은 난간 위에 앉아 있었다.

지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
낮	낮/NNG
서울	서울/NNP
여의도	여의도/NNP
이룸센터에서	이룸센터/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
이도건(36)	이도건/NNP+(/SS+36/SN+)/SS
‘경기420장애인차별철폐공동투쟁단’(경기공투단)	‘/SS+경기420장애인차별철폐공동투쟁단/NNP+’/SS+(/SS+경기공투단/NNP+)/SS
공동집행위원장은	공동/NNG+집행/NNG+위원장/NNG+은/JX
이	이/MMD
건물	건물/NNG
2층,	2/SN+층/NNG+,/SP
유리로	유리/NNG+로/JKB
된	되/VV+ㄴ/ETM
좁은	좁/VA+은/ETM
난간	난간/NNG
위에	위/NNG+에/JKB
앉아	앉/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.220.5.2
척수장애 1급 장애인인 그는 유리난간 위에 펴둔 스티로폼에 몸을 의지했다.

척수장애	척수/NNG+장애/NNG
1급	1/SN+급/NNG
