# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.59
metadata : {}


# id : NWRW1800000040.59.1.1
‘철도산업 시장개방’ 협정문, EU FTA와 연계돼 큰 파장

‘철도산업	‘/SS+철도/NNG+산업/NNG
시장개방’	시장/NNG+개방/NNG+’/SS
협정문,	협정문/NNG+,/SP
EU	EU/SL
FTA와	FTA/SL+와/JKB
연계돼	연계/NNG+되/XSV+어/EC
큰	크/VA+ㄴ/ETM
파장	파장/NNG


# id : NWRW1800000040.59.2.1
정부조달협정 기습 의결

정부조달협정	정부/NNG+조달/NNG+협정/NNG
기습	기습/NNG
의결	의결/NNG


# id : NWRW1800000040.59.3.1
FTA체결때 개방범위 규정 않고

FTA체결때	FTA/SL+체결/NNG+때/NNG
개방범위	개방/NNG+범위/NNG
규정	규정/NNG
않고	않/VV+고/EC


# id : NWRW1800000040.59.4.1
정부조달협정 따르도록 정해

정부조달협정	정부/NNG+조달/NNG+협정/NNG
따르도록	따르/VV+도록/EC
정해	정하/VV+아/EF


# id : NWRW1800000040.59.5.1
“한국 철도산업 고사될것” 우려

“한국	“/SS+한국/NNP
철도산업	철도/NNG+산업/NNG
고사될것”	고사/NNG+되/XSV+ㄹ/ETM+것/NNB+”/SS
우려	우려/NNG


# id : NWRW1800000040.59.6.1
세계무역기구(WTO) 정부조달협정 의정서 개정으로 철도산업은 또다른 격랑을 맞게 됐다.

세계무역기구(WTO)	세계무역기구/NNP+(/SS+WTO/SL+)/SS
정부조달협정	정부/NNG+조달/NNG+협정/NNG
의정서	의정서/NNG
개정으로	개정/NNG+으로/JKB
철도산업은	철도/NNG+산업/NNG+은/JX
또다른	또/MAG+다른/MMD
격랑을	격랑/NNG+을/JKO
맞게	맞/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.59.6.2
자유무역의 예외 영역으로 남아 있던 철도의 대부분 영역이 정부조달 계약 형태로 열리는 셈이기 때문이다.

자유무역의	자유/NNG+무역/NNG+의/JKG
예외	예외/NNG
영역으로	영역/NNG+으로/JKB
남아	남/VV+아/EC
있던	있/VX+던/ETM
철도의	철도/NNG+의/JKG
대부분	대/XPN+부분/NNG
영역이	영역/NNG+이/JKS
정부조달	정부/NNG+조달/NNG
계약	계약/NNG
형태로	형태/NNG+로/JKB
열리는	열리/VV+는/ETM
셈이기	셈/NNB+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.59.7.1
<한겨레>가 박원석 의원실(정의당)을 통해 입수한 통상교섭본부의 세계무역기구 정부조달협정 개정의결서 번역 초안을 보면, △철도시설의 건설 및 조달 △철도의 설계 등 엔지니어링 서비스 △철도시설의 감독 및 관리의 조달 계약이 공개 대상에 포함됐다.

<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
박원석	박원석/NNP
의원실(정의당)을	의원실/NNG+(/SS+정의당/NNP+)/SS+을/JKO
통해	통하/VV+아/EC
입수한	입수/NNG+하/XSV+ㄴ/ETM
통상교섭본부의	통상/NNG+교섭/NNG+본부/NNG+의/JKG
세계무역기구	세계무역기구/NNP
정부조달협정	정부/NNG+조달/NNG+협정/NNG
개정의결서	개정/NNG+의결서/NNG
번역	번역/NNG
초안을	초안/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
△철도시설의	△/SW+철도/NNG+시설/NNG+의/JKG
건설	건설/NNG
및	및/MAG
조달	조달/NNG
△철도의	△/SW+철도/NNG+의/JKG
설계	설계/NNG
등	등/NNB
엔지니어링	엔지니어링/NNG
서비스	서비스/NNG
감독	감독/NNG
관리의	관리/NNG+의/JKG
계약이	계약/NNG+이/JKS
공개	공개/NNG
대상에	대상/NNG+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.59.7.2
일단 고속철도는 개방 대상에 포함되지 않았지만, 지하철·일반철도의 설계·건설·감독을 비롯해 시설 운용·유지보수 등 철도 기간망의 거의 모든 내용을 망라한다.

일단	일단/MAG
고속철도는	고속/NNG+철도/NNG+는/JX
개방	개방/NNG
대상에	대상/NNG+에/JKB
포함되지	포함/NNG+되/XSV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
지하철·일반철도의	지하철/NNG+·/SP+일반/NNG+철도/NNG+의/JKG
설계·건설·감독을	설계/NNG+·/SP+건설/NNG+·/SP+감독/NNG+을/JKO
비롯해	비롯하/VV+아/EC
시설	시설/NNG
운용·유지보수	운용/NNG+·/SP+유지/NNG+보수/NNG
등	등/NNB
철도	철도/NNG
기간망의	기간망/NNG+의/JKG
거의	거의/MAG
모든	모든/MMN
내용을	내용/NNG+을/JKO
망라한다.	망라/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.59.8.1
우리 정부가 1997년에 맺었던 정부조달협정의 경우, 철도와 관련해선 한국철도공사만 대상으로 포함돼 있었다.

우리	우리/NP
정부가	정부/NNG+가/JKS
1997년에	1997/SN+년/NNB+에/JKB
맺었던	맺/VV+었/EP+던/ETM
정부조달협정의	정부/NNG+조달/NNG+협정/NNG+의/JKG
경우,	경우/NNG+,/SP
철도와	철도/NNG+와/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
한국철도공사만	한국철도공사/NNP+만/JX
대상으로	대상/NNG+으로/JKB
포함돼	포함/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.59.8.2
이에 한국철도공사가 사용하는 열차의 객실·부품 위주의 조달 계약에만 외국자본이 참여하는 것으로 받아들여졌다.

이에	이/NP+에/JKB
한국철도공사가	한국철도공사/NNP+가/JKS
사용하는	사용/NNG+하/XSV+는/ETM
열차의	열차/NNG+의/JKG
객실·부품	객실/NNG+·/SP+부품/NNG
위주의	위주/NNG+의/JKG
조달	조달/NNG
계약에만	계약/NNG+에/JKB+만/JX
외국자본이	외국/NNG+자본/NNG+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
받아들여졌다.	받아들이/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.59.8.3
그러나 이번 개정 협정문에는 한국철도시설공단과 서울메트로, 도시철도공사, 인천메트로 등 전국 광역자치단체의 지하철 등 기간 선로 산업 기관이 모두 포함됐다.

그러나	그러나/MAJ
이번	이번/NNG
개정	개정/NNG
협정문에는	협정문/NNG+에/JKB+는/JX
한국철도시설공단과	한국철도시설공단/NNP+과/JC
서울메트로,	서울메트로/NNP+,/SP
도시철도공사,	도시철도공사/NNP+,/SP
인천메트로	인천메트로/NNP
등	등/NNB
전국	전국/NNG
광역자치단체의	광역/NNG+자치/NNG+단체/NNG+의/JKG
지하철	지하철/NNG
기간	기간/NNG
선로	선로/NNG
산업	산업/NNG
기관이	기관/NNG+이/JKS
모두	모두/MAG
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.59.8.4
입때껏 경험해보지 못한 광범위한 시장개방인 셈이다.

입때껏	입때껏/MAG
경험해보지	경험/NNG+하/XSV+아/EC+보/VX+지/EC
못한	못하/VX+ㄴ/ETM
광범위한	광범위/NNG+하/XSA+ㄴ/ETM
시장개방인	시장/NNG+개방/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.59.9.1
이번 협정문은 한-유럽연합(EU) 자유무역협정(FTA)과 연계돼 파장이 커질 것으로 보인다.

이번	이번/NNG
협정문은	협정문/NNG+은/JX
한-유럽연합(EU)	한/NNP+-/SO+유럽연합/NNP+(/SS+EU/SL+)/SS
자유무역협정(FTA)과	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS+과/JKB
연계돼	연계/NNG+되/XSV+어/EC
파장이	파장/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.59.9.2
두 나라는 자유무역협정 체결 당시 철도 분야의 개방 범위에 대해 구체적인 규정을 두지 않고 정부조달협정을 준용하도록 규정했기 때문이다.

두	두/MMN
나라는	나라/NNG+는/JX
자유무역협정	자유/NNG+무역/NNG+협정/NNG
체결	체결/NNG
당시	당시/NNG
철도	철도/NNG
분야의	분야/NNG+의/JKG
개방	개방/NNG
범위에	범위/NNG+에/JKB
대해	대하/VV+아/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
규정을	규정/NNG+을/JKO
두지	두/VV+지/EC
않고	않/VX+고/EC
정부조달협정을	정부/NNG+조달/NNG+협정/NNG+을/JKO
준용하도록	준용/NNG+하/XSV+도록/EC
