# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.234
metadata : {}


# id : NWRW1800000054.234.1.1
마포도서관에선 로봇이 안내… 15일 개관

마포도서관에선	마포도서관/NNP+에서/JKB+ㄴ/JX
로봇이	로봇/NNG+이/JKS
안내…	안내/NNG+…/SE
15일	15/SN+일/NNB
개관	개관/NNG


# id : NWRW1800000054.234.2.1
IT 체험관 등 갖춘 복합 교육문화공간

IT	IT/SL
체험관	체험관/NNG
등	등/NNB
갖춘	갖추/VV+ㄴ/ETM
복합	복합/NNG
교육문화공간	교육/NNG+문화/NNG+공간/NNG


# id : NWRW1800000054.234.3.1
전국 최초로 로봇〈사진〉이 안내하는 도서관이 오는 15일 서울 마포구에 문을 연다.

전국	전국/NNG
최초로	최초/NNG+로/JKB
로봇〈사진〉이	로봇/NNG+〈/SS+사진/NNG+〉/SS+이/JKS
안내하는	안내/NNG+하/XSV+는/ETM
도서관이	도서관/NNG+이/JKS
오는	오/VV+는/ETM
15일	15/SN+일/NNB
서울	서울/NNP
마포구에	마포구/NNP+에/JKB
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.234.3.2
서울 마포구는 오는 15일 옛 마포구청사 부지(서울 마포구 성산로 128)에 마포중앙도서관이 정식 개관한다고 8일 밝혔다.

서울	서울/NNP
마포구는	마포구/NNP+는/JX
오는	오/VV+는/ETM
15일	15/SN+일/NNB
옛	옛/MMA
마포구청사	마포구청사/NNP
부지(서울	부지/NNG+(/SS+서울/NNP
마포구	마포구/NNP
성산로	성산로/NNP
128)에	128/SN+)/SS+에/JKB
마포중앙도서관이	마포중앙도서관/NNP+이/JKS
정식	정식/NNG
개관한다고	개관/NNG+하/XSV+ㄴ다고/EC
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.234.3.3
지하 2층, 지상 6층(연면적 2만229㎡)으로 서울 25개 자치구 도서관 중 가장 크다.

지하	지하/NNG
2층,	2/SN+층/NNG+,/SP
지상	지상/NNG
6층(연면적	6/SN+층/NNG+(/SS+연면적/NNG
2만229㎡)으로	2/SN+만/NR+229/SN+㎡/SW+)/SS+으로/JKB
서울	서울/NNP
25개	25/SN+개/NNB
자치구	자치구/NNG
도서관	도서관/NNG
중	중/NNB
가장	가장/MAG
크다.	크/VA+다/EF+./SF


# id : NWRW1800000054.234.3.4
열람실은 680여 석 규모다.

열람실은	열람실/NNG+은/JX
680여	680/SN+여/XSN
석	석/NNB
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.234.3.5
마포중앙도서관은 전통적인 도서관 기능 외에도 IT 체험관과 청소년교육센터에 공을 들였다.

마포중앙도서관은	마포중앙도서관/NNP+은/JX
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
도서관	도서관/NNG
기능	기능/NNG
외에도	외/NNB+에/JKB+도/JX
IT	IT/SL
체험관과	체험관/NNG+과/JC
청소년교육센터에	청소년/NNG+교육/NNG+센터/NNG+에/JKB
공을	공/NNG+을/JKO
들였다.	들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.234.3.6
도서관에 들어서면 '마중이'라는 로봇이 인사한다.

도서관에	도서관/NNG+에/JKB
들어서면	들어서/VV+면/EC
'마중이'라는	'/SS+마중이/NNP+'/SS+이/VCP+라는/ETM
로봇이	로봇/NNG+이/JKS
인사한다.	인사/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.234.3.7
마중이의 안내에 따라 IT 체험관에서 인도 타지마할, 그리스 산토리니 같은 해외 유명 유적지나 관광지를 방문한 듯한 사진을 찍을 수 있다.

마중이의	마중이/NNP+의/JKG
안내에	안내/NNG+에/JKB
따라	따르/VV+아/EC
IT	IT/SL
체험관에서	체험관/NNG+에서/JKB
인도	인도/NNP
타지마할,	타지마할/NNP+,/SP
그리스	그리스/NNP
산토리니	산토리니/NNP
같은	같/VA+은/ETM
해외	해외/NNG
유명	유명/NNG
유적지나	유적지/NNG+나/JC
관광지를	관광지/NNG+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
사진을	사진/NNG+을/JKO
찍을	찍/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.234.3.8
교육센터에서는 소프트웨어 코딩 교육을 받고, VR(가상현실) 체험을 해볼 수 있다.

교육센터에서는	교육/NNG+센터/NNG+에서/JKB+는/JX
소프트웨어	소프트웨어/NNG
코딩	코딩/NNG
교육을	교육/NNG+을/JKO
받고,	받/VV+고/EC+,/SP
VR(가상현실)	VR/SL+(/SS+가상/NNG+현실/NNG+)/SS
체험을	체험/NNG+을/JKO
해볼	하/VV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.234.3.9
문학창작실·악기연주실·무용실 등 다양한 문화 공간도 갖췄다.

문학창작실·악기연주실·무용실	문학/NNG+창작실/NNG+·/SP+악기/NNG+연주실/NNG+·/SP+무용실/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
문화	문화/NNG
공간도	공간/NNG+도/JX
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.234.3.10
장애인을 위한 높낮이 조절 열람석과 책장을 넘기는 보조 기기도 마련했다.

장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
높낮이	높낮이/NNG
조절	조절/NNG
열람석과	열람석/NNG+과/JC
책장을	책장/NNG+을/JKO
넘기는	넘기/VV+는/ETM
보조	보조/NNG
기기도	기기/NNG+도/JX
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.234.4.1
도서관 설립은 2008년 마포구청이 지금의 신청사로 이전하면서 논의가 시작됐다.

도서관	도서관/NNG
설립은	설립/NNG+은/JX
2008년	2008/SN+년/NNB
마포구청이	마포구청/NNP+이/JKS
지금의	지금/NNG+의/JKG
신청사로	신/XPN+청사/NNG+로/JKB
이전하면서	이전/NNG+하/XSV+면서/EC
논의가	논의/NNG+가/JKS
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.234.4.2
건립까지 9년이 걸렸다.

건립까지	건립/NNG+까지/JX
9년이	9/SN+년/NNB+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.234.4.3
국비와 시비를 합해 450억원이 투입됐다.

국비와	국비/NNG+와/JC
시비를	시비/NNG+를/JKO
합해	합/NNG+하/XSV+아/EC
450억원이	450/SN+억/NR+원/NNB+이/JKS
투입됐다.	투입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.234.4.4
도서관은 장서 10만여 권을 보유 중으로, 앞으로 40만여권까지 늘려나갈 계획이다.

도서관은	도서관/NNG+은/JX
장서	장서/NNG
10만여	10/SN+만/NR+여/XSN
권을	권/NNB+을/JKO
보유	보유/NNG
중으로,	중/NNB+으로/JKB+,/SP
앞으로	앞/NNG+으로/JKB
40만여권까지	40/SN+만/NR+여/XSN+권/NNB+까지/JX
늘려나갈	늘리/VV+어/EC+나가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.234.4.5
근린 생활 시설, 공영 주차장 등도 갖춰 복합 교육 문화 공간으로 조성했다.

근린	근린/NNG
생활	생활/NNG
시설,	시설/NNG+,/SP
공영	공영/NNG
주차장	주차장/NNG
등도	등/NNB+도/JX
갖춰	갖추/VV+어/EC
복합	복합/NNG
교육	교육/NNG
문화	문화/NNG
공간으로	공간/NNG+으로/JKB
조성했다.	조성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.234.5.1
박홍섭 마포구청장은 8일 "미래 세대를 이끌 등대 같은 도서관을 짓는 것이 오래된 꿈이었다"며 "4차 산업혁명 시대를 대비해 꿈을 키우고 배움을 넓히는 곳으로 가꿔나가겠다"고 말했다.

박홍섭	박홍섭/NNP
마포구청장은	마포구청장/NNG+은/JX
8일	8/SN+일/NNB
"미래	"/SS+미래/NNG
세대를	세대/NNG+를/JKO
