# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.291
metadata : {}


# id : NWRW1800000025.291.1.1
中증시 반등 기대감 ‘솔솔’… 본토펀드로 뭉칫돈 ‘슬슬’

中증시	中/SH+증시/NNG
반등	반등/NNG
기대감	기대감/NNG
‘솔솔’…	‘/SS+솔솔/MAG+’/SS+…/SE
본토펀드로	본토/NNG+펀드/NNG+로/JKB
뭉칫돈	뭉칫돈/NNG
‘슬슬’	‘/SS+슬슬/MAG+’/SS


# id : NWRW1800000025.291.2.1
해외주식형펀드에서 뭉칫돈이 계속 빠져나가고 있지만 상하이 본토증시(A)주에 투자하는 펀드에는 부쩍 돈이 몰리고 있다.

해외주식형펀드에서	해외/NNG+주식/NNG+형/XSN+펀드/NNG+에서/JKB
뭉칫돈이	뭉칫돈/NNG+이/JKS
계속	계속/MAG
빠져나가고	빠져나가/VV+고/EC
있지만	있/VX+지만/EC
상하이	상하이/NNP
본토증시(A)주에	본토/NNG+증시/NNG+(/SS+A/SL+)/SS+주/NNG+에/JKB
투자하는	투자/NNG+하/XSV+는/ETM
펀드에는	펀드/NNG+에/JKB+는/JX
부쩍	부쩍/MAG
돈이	돈/NNG+이/JKS
몰리고	몰리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.291.2.2
글로벌 증시의 급락장에서 속절없이 무너져 애물단지가 돼 버렸던 중국펀드가 다시 인기를 끌고 있는 것이다.

글로벌	글로벌/NNG
증시의	증시/NNG+의/JKG
급락장에서	급락장/NNG+에서/JKB
속절없이	속절없이/MAG
무너져	무너지/VV+어/EC
애물단지가	애물단지/NNG+가/JKC
돼	되/VV+어/EC
버렸던	버리/VX+었/EP+던/ETM
중국펀드가	중국/NNP+펀드/NNG+가/JKS
다시	다시/MAG
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.291.2.3
신흥국 증시 중 유난히 부진했던 중국 증시가 반등할 것이란 기대감이 커지면서 없어서 못 파는 중국펀드도 일부 나타났다.

신흥국	신흥국/NNG
증시	증시/NNG
중	중/NNB
유난히	유난히/MAG
부진했던	부진/NNG+하/XSA+았/EP+던/ETM
중국	중국/NNP
증시가	증시/NNG+가/JKS
반등할	반등/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
기대감이	기대감/NNG+이/JKS
커지면서	커지/VV+면서/EC
없어서	없/VA+어서/EC
못	못/MAG
파는	팔/VV+는/ETM
중국펀드도	중국/NNP+펀드/NNG+도/JX
일부	일부/NNG
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.291.3.1
○ 지수 반등 노리고 몰려드는 자금

○	○/SW
지수	지수/NNG
반등	반등/NNG
노리고	노리/VV+고/EC
몰려드는	몰려들/VV+는/ETM
자금	자금/NNG


# id : NWRW1800000025.291.4.1
12일 증권정보업체 에프앤가이드에 따르면 최근 1주일간 전체 해외주식형펀드에서는 1808억 원이 순유출됐지만 중국본토펀드에는 615억 원가량이 순유입됐다.

12일	12/SN+일/NNB
증권정보업체	증권/NNG+정보업체/NNG
에프앤가이드에	에프앤가이드/NNP+에/JKB
따르면	따르/VV+면/EC
최근	최근/NNG
1주일간	1/SN+주일/NNB+간/XSN
전체	전체/NNG
해외주식형펀드에서는	해외/NNG+주식/NNG+형/XSN+펀드/NNG+에서/JKB+는/JX
1808억	1808/SN+억/NR
원이	원/NNB+이/JKS
