# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.214
metadata : {}


# id : NWRW1800000038.214.1.1
[QS 2013 세계대학평가] 카이스트·서울대, 이공계 분야 상위권… 논문 인용 순위에선 광주과기원이 6위

[QS	[/SS+QS/SL
2013	2013/SN
세계대학평가]	세계/NNG+대학/NNG+평가/NNG+]/SS
카이스트·서울대,	카이스트/NNP+·/SP+서울대/NNP+,/SP
이공계	이공/NNG+계/XSN
분야	분야/NNG
상위권…	상위/NNG+권/XSN+…/SE
논문	논문/NNG
인용	인용/NNG
순위에선	순위/NNG+에서/JKB+ㄴ/JX
광주과기원이	광주과기원/NNP+이/JKS
6위	6/SN+위/NNB


# id : NWRW1800000038.214.2.1
5개 학문분야별 랭킹 발표… 카이스트 공학분야 36위, 서울대는 사회과학서 47위

5개	5/SN+개/NNB
학문분야별	학문/NNG+분야/NNG+별/XSN
랭킹	랭킹/NNG
발표…	발표/NNG+…/SE
카이스트	카이스트/NNP
공학분야	공학/NNG+분야/NNG
36위,	36/SN+위/NNB+,/SP
서울대는	서울대/NNP+는/JX
사회과학서	사회/NNG+과학/NNG+서/JKB
47위	47/SN+위/NNB


# id : NWRW1800000038.214.3.1
영국의 글로벌 대학평가기관 QS(Quacquarelli Symonds)가 10일(한국 시각) 발표한 '2013 QS 세계대학평가 5개 학문분야 순위'에서 우리나라 대학 중에서는 카이스트와 서울대가 상위권에 이름을 올렸다.

영국의	영국/NNP+의/JKG
글로벌	글로벌/NNG
대학평가기관	대학/NNG+평가/NNG+기관/NNG
QS(Quacquarelli	QS/SL+(/SS+Quacquarelli/SL
Symonds)가	Symonds/SL+)/SS+가/JKS
10일(한국	10/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
발표한	발표/NNG+하/XSV+ㄴ/ETM
'2013	'/SS+2013/SN
QS	QS/SL
세계대학평가	세계/NNG+대학/NNG+평가/NNG
5개	5/SN+개/NNB
학문분야	학문/NNG+분야/NNG
순위'에서	순위/NNG+'/SS+에서/JKB
우리나라	우리나라/NNG
대학	대학/NNG
중에서는	중/NNB+에서/JKB+는/JX
카이스트와	카이스트/NNP+와/JC
서울대가	서울대/NNP+가/JKS
상위권에	상위/NNG+권/XSN+에/JKB
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.214.3.2
QS는 세계대학평가 종합순위와 함께 △인문·예술 △공학·기술 △생의학 △자연과학 △사회과학·경영 등 5개 학문분야별 순위도 함께 발표했다.

QS는	QS/SL+는/JX
세계대학평가	세계/NNG+대학/NNG+평가/NNG
종합순위와	종합/NNG+순위/NNG+와/JKB
함께	함께/MAG
△인문·예술	△/SW+인문/NNG+·/SP+예술/NNG
△공학·기술	△/SW+공학/NNG+·/SP+기술/NNG
△생의학	△/SW+생/XPN+의학/NNG
△자연과학	△/SW+자연/NNG+과학/NNG
△사회과학·경영	△/SW+사회/NNG+과학/NNG+·/SP+경영/NNG
등	등/NNB
5개	5/SN+개/NNB
학문분야별	학문/NNG+분야/NNG+별/XSN
순위도	순위/NNG+도/JX
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.214.4.1
