# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.364
metadata : {}


# id : NWRW1800000038.364.1.1
오늘 민주당 전당대회 黨 대표 후보 이용섭 "국민은 21세기인데 민주당은 20세기… 능력으로 保守 이기는 실력진보 될 것"

오늘	오늘/NNG
민주당	민주당/NNP
전당대회	전당/NNG+대회/NNG
黨	黨/SH
대표	대표/NNG
후보	후보/NNG
이용섭	이용섭/NNP
"국민은	"/SS+국민/NNG+은/JX
21세기인데	21/SN+세기/NNG+이/VCP+ㄴ데/EC
민주당은	민주당/NNP+은/JX
20세기…	20/SN+세기/NNG+…/SE
능력으로	능력/NNG+으로/JKB
保守	保守/SH
이기는	이기/VV+는/ETM
실력진보	실력/NNG+진보/NNG
될	되/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000038.364.2.1
안철수는 동반자·동지지만 하나가 될 때까지는 경쟁자

안철수는	안철수/NNP+는/JX
동반자·동지지만	동반자/NNG+·/SP+동지/NNG+이/VCP+지만/EC
하나가	하나/NR+가/JKC
될	되/VV+ㄹ/ETM
때까지는	때/NNG+까지/JX+는/JX
경쟁자	경쟁자/NNG


# id : NWRW1800000038.364.3.1
민주통합당은 4일 전당대회를 열어 새 대표와 최고 위원들을 선출한다.

민주통합당은	민주통합당/NNP+은/JX
4일	4/SN+일/NNB
전당대회를	전당/NNG+대회/NNG+를/JKO
열어	열/VV+어/EC
새	새/MMA
대표와	대표/NNG+와/JC
최고	최고/NNG
위원들을	위원/NNG+들/XSN+을/JKO
선출한다.	선출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.364.3.2
당명도‘민주통합당’에서‘민주당’으로 바꾼다.

당명도‘민주통합당’에서‘민주당’으로	당명/NNG+도/JX+‘/SS+민주통합당/NNP+’/SS+에서/JKB+‘/SS+민주당/NNP+’/SS+으로/JKB
바꾼다.	바꾸/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.364.3.3
대표 경선은 김한길·이용섭 후보 간양자 대결 구도다.

대표	대표/NNG
경선은	경선/NNG+은/JX
김한길·이용섭	김한길/NNP+·/SP+이용섭/NNP
후보	후보/NNG
간양자	간/NNB+양자/NNG
대결	대결/NNG
구도다.	구도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.364.3.4
당 관계자들은 승패를 예측할 수 없다고 말하고 있다.

당	당/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
승패를	승패/NNG+를/JKO
예측할	예측/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
말하고	말/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.364.3.5
두 후보는 3일 본지 인터뷰에서 똑같이“선거에 지지 않는 정당을 만들겠다”고 했다.

두	두/MMN
후보는	후보/NNG+는/JX
3일	3/SN+일/NNB
본지	본지/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
똑같이“선거에	똑같이/MAG+“/SS+선거/NNG+에/JKB
지지	지/VV+지/EC
않는	않/VX+는/ETM
정당을	정당/NNG+을/JKO
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.364.4.1
민주당 대표 경선에 나선 이용섭 의원은 3일 "강도 높은 당 혁신을 통해 국민과 당원에겐 믿음직한 민주당, 박근혜 정부에게는 두려운 민주당, 선거에선 승리하는 강한 민주당을 만들겠다"고 했다.

민주당	민주당/NNP
대표	대표/NNG
경선에	경선/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
이용섭	이용섭/NNP
의원은	의원/NNG+은/JX
3일	3/SN+일/NNB
"강도	"/SS+강도/NNG
높은	높/VA+은/ETM
당	당/NNG
혁신을	혁신/NNG+을/JKO
통해	통하/VV+아/EC
국민과	국민/NNG+과/JC
당원에겐	당원/NNG+에게/JKB+ㄴ/JX
믿음직한	믿음직하/VA+ㄴ/ETM
민주당,	민주당/NNP+,/SP
박근혜	박근혜/NNP
정부에게는	정부/NNG+에게/JKB+는/JX
두려운	두렵/VA+ㄴ/ETM
선거에선	선거/NNG+에서/JKB+ㄴ/JX
승리하는	승리/NNG+하/XSV+는/ETM
강한	강하/VA+ㄴ/ETM
민주당을	민주당/NNP+을/JKO
만들겠다"고	만들/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.364.5.1
이 의원은 이날 본지 인터뷰에서 "공천·인사 혁명과 수권 정당화를 통해 안철수 현상을 극복하고 멈춰가는 민주당의 심장을 다시 뛰게 하겠다"며 이같이 말했다.

이	이/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
본지	본지/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"공천·인사	"/SS+공천/NNG+·/SP+인사/NNG
혁명과	혁명/NNG+과/JC
수권	수권/NNG
정당화를	정당화/NNG+를/JKO
통해	통하/VV+아/EC
안철수	안철수/NNP
현상을	현상/NNG+을/JKO
극복하고	극복/NNG+하/XSV+고/EC
멈춰가는	멈추/VV+어/EC+가/VX+는/ETM
민주당의	민주당/NNP+의/JKG
심장을	심장/NNG+을/JKO
다시	다시/MAG
뛰게	뛰/VV+게/EC
하겠다"며	하/VX+겠/EP+다/EF+"/SS+며/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.364.6.1
그는 민주당의 위기에 대해 "국민은 21세기에 살고 있는데 민주당은 아직도 20세기적 사고에서 못 벗어나고 있다"며 "계파에 따라 끼리끼리 모여 국민과 당원이 아닌 계파의 이익을 앞세우는 정당을 누가 신뢰하겠느냐"고 했다.

그는	그/NP+는/JX
민주당의	민주당/NNP+의/JKG
위기에	위기/NNG+에/JKB
대해	대하/VV+아/EC
"국민은	"/SS+국민/NNG+은/JX
21세기에	21/SN+세기/NNG+에/JKB
살고	살/VV+고/EC
있는데	있/VX+는데/EC
민주당은	민주당/NNP+은/JX
아직도	아직/MAG+도/JX
20세기적	20/SN+세기/NNG+적/XSN
사고에서	사고/NNG+에서/JKB
못	못/MAG
벗어나고	벗어나/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"계파에	"/SS+계파/NNG+에/JKB
따라	따르/VV+아/EC
끼리끼리	끼리끼리/MAG
모여	모이/VV+어/EC
국민과	국민/NNG+과/JC
당원이	당원/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
계파의	계파/NNG+의/JKG
이익을	이익/NNG+을/JKO
앞세우는	앞세우/VV+는/ETM
정당을	정당/NNG+을/JKO
누가	누구/NP+가/JKS
신뢰하겠느냐"고	신뢰/NNG+하/XSV+겠/EP+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.364.7.1
이 의원은 "나는 범주류가 아니고 계파도 없는 단기 필마"라며 "주류·비주류 싸움이 아니라 혁신 논쟁으로 가야 한다"고 했다.

이	이/NNP
의원은	의원/NNG+은/JX
"나는	"/SS+나/NP+는/JX
범주류가	범/XPN+주류/NNG+가/JKC
아니고	아니/VCN+고/EC
계파도	계파/NNG+도/JX
없는	없/VA+는/ETM
단기	단기/NNG
필마"라며	필마/NNG+"/SS+이/VCP+라며/EC
"주류·비주류	"/SS+주류/NNG+·/SP+비/XPN+주류/NNG
싸움이	싸움/NNG+이/JKC
아니라	아니/VCN+라/EC
혁신	혁신/NNG
논쟁으로	논쟁/NNG+으로/JKB
가야	가/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.364.7.2
이해찬 의원이 배후에서 돕고 있다는 일부 주장에 대해서도 "최근에 이 의원을 본 적도 없는데 완전 모함"이라고 했다.

이해찬	이해찬/NNP
의원이	의원/NNG+이/JKS
배후에서	배후/NNG+에서/JKB
돕고	돕/VV+고/EC
있다는	있/VX+다는/ETM
일부	일부/NNG
주장에	주장/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
"최근에	"/SS+최근/NNG+에/JKB
이	이/NNP
의원을	의원/NNG+을/JKO
