# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.398
metadata : {}


# id : NWRW1800000054.398.1.1
검찰 수사권 축소 사전 조치… 독립 '국가수사본부' 만든다

검찰	검찰/NNG
수사권	수사/NNG+권/XSN
축소	축소/NNG
사전	사전/NNG
조치…	조치/NNG+…/SE
독립	독립/NNG
'국가수사본부'	'/SS+국가/NNG+수사본부/NNG+'/SS
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000054.398.2.1
경찰청 특수수사과 등은 폐지, 경찰의 정치 독립성 높이기로

경찰청	경찰청/NNG
특수수사과	특수/NNG+수사과/NNG
등은	등/NNB+은/JX
폐지,	폐지/NNG+,/SP
경찰의	경찰/NNG+의/JKG
정치	정치/NNG
독립성	독립/NNG+성/XSN
높이기로	높이/VV+기/ETN+로/JKB


# id : NWRW1800000054.398.3.1
정부와 민주당이 경찰청 내 직접 수사 부서를 폐지하고 독립 수사 전담기구인 '국가수사본부'를 신설하는 것을 골자로 하는 경찰 수사 조직 개편을 추진 중인 것으로 30일 확인됐다.

정부와	정부/NNG+와/JC
민주당이	민주당/NNP+이/JKS
경찰청	경찰청/NNG
내	내/NNB
직접	직접/MAG
수사	수사/NNG
부서를	부서/NNG+를/JKO
폐지하고	폐지/NNG+하/XSV+고/EC
독립	독립/NNG
전담기구인	전담/NNG+기구/NNG+이/VCP+ㄴ/ETM
'국가수사본부'를	'/SS+국가/NNG+수사본부/NNG+'/SS+를/JKO
신설하는	신설/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
경찰	경찰/NNG
조직	조직/NNG
개편을	개편/NNG+을/JKO
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
30일	30/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.398.4.1
여권 관계자에 따르면 정부는 '경찰 수사 조직 개편안(案)'을 만들어 이달 중순 국회 행정안전위원회 여당 소속 위원 일부와 공유했으며 경찰공무원법 등 개정을 놓고 여당 측과 협의 중인 것으로 알려졌다.

여권	여권/NNG
관계자에	관계자/NNG+에/JKB
따르면	따르/VV+면/EC
정부는	정부/NNG+는/JX
'경찰	'/SS+경찰/NNG
수사	수사/NNG
조직	조직/NNG
개편안(案)'을	개편안/NNG+(/SS+案/SH+)/SS+'/SS+을/JKO
만들어	만들/VV+어/EC
이달	이달/NNG
중순	중순/NNG
국회	국회/NNG
행정안전위원회	행정/NNG+안전/NNG+위원회/NNG
여당	여당/NNG
소속	소속/NNG
위원	위원/NNG
일부와	일부/NNG+와/JKB
공유했으며	공유/NNG+하/XSV+았/EP+으며/EC
경찰공무원법	경찰/NNG+공무원법/NNG
등	등/NNB
개정을	개정/NNG+을/JKO
놓고	놓/VV+고/EC
측과	측/NNB+과/JKB
협의	협의/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.398.4.2
문재인 정부는 현재 검찰이 독점한 수사지휘권을 축소하고 그 일부를 경찰에 넘기는 방안을 추진하고 있다.

문재인	문재인/NNP
정부는	정부/NNG+는/JX
현재	현재/MAG
검찰이	검찰/NNG+이/JKS
독점한	독점/NNG+하/XSV+ㄴ/ETM
수사지휘권을	수사/NNG+지휘/NNG+권/XSN+을/JKO
축소하고	축소/NNG+하/XSV+고/EC
그	그/MMD
일부를	일부/NNG+를/JKO
경찰에	경찰/NNG+에/JKB
넘기는	넘기/VV+는/ETM
방안을	방안/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.398.4.3
여권에선 이번 입법이 수사권 조정을 위한 사전 조치의 하나로 보고 있다.

여권에선	여권/NNG+에서/JKB+ㄴ/JX
이번	이번/NNG
입법이	입법/NNG+이/JKS
수사권	수사/NNG+권/XSN
조정을	조정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
사전	사전/NNG
조치의	조치/NNG+의/JKG
하나로	하나/NR+로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.398.5.1
개편안의 핵심 내용은 현행 경찰청 직속 직접 수사 부서를 폐지하는 것이다.

개편안의	개편안/NNG+의/JKG
핵심	핵심/NNG
내용은	내용/NNG+은/JX
현행	현행/NNG
경찰청	경찰청/NNG
직속	직속/NNG
직접	직접/MAG
수사	수사/NNG
부서를	부서/NNG+를/JKO
폐지하는	폐지/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.398.5.2
현재 경찰청 직속 직접 수사 부서는 특수수사과, 지능범죄수사대, 사이버수사과 등이 있다.

현재	현재/MAG
경찰청	경찰청/NNG
직속	직속/NNG
직접	직접/MAG
