# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.23
metadata : {}


# id : NWRW1800000038.23.1.1
졸업장보다 벤처… 스탠퍼드大생 무더기 휴학

졸업장보다	졸업장/NNG+보다/JKB
벤처…	벤처/NNG+…/SE
스탠퍼드大생	스탠퍼드/NNP+大/SH+생/XSN
무더기	무더기/NNG
휴학	휴학/NNG


# id : NWRW1800000038.23.2.1
총장·교수도 재학생 취업 후원… 업체엔 지식·자금 지원 나서

총장·교수도	총장/NNG+·/SP+교수/NNG+도/JX
재학생	재학/NNG+생/XSN
취업	취업/NNG
후원…	후원/NNG+…/SE
업체엔	업체/NNG+에/JKB+ㄴ/JX
지식·자금	지식/NNG+·/SP+자금/NNG
지원	지원/NNG
나서	나서/VV+어/EF


# id : NWRW1800000038.23.3.1
미국 명문 스탠퍼드 대학 학생 10여명이 졸업생이 만든 IT(정보기술) 벤처기업에 합류하겠다며 한꺼번에 휴학하기로 했다.

미국	미국/NNP
명문	명문/NNG
스탠퍼드	스탠퍼드/NNP
대학	대학/NNG
학생	학생/NNG
10여명이	10/SN+여/XSN+명/NNB+이/JKS
졸업생이	졸업/NNG+생/XSN+이/JKS
만든	만들/VV+ㄴ/ETM
IT(정보기술)	IT/SL+(/SS+정보/NNG+기술/NNG+)/SS
벤처기업에	벤처/NNG+기업/NNG+에/JKB
합류하겠다며	합류/NNG+하/XSV+겠/EP+다며/EC
한꺼번에	한꺼번에/MAG
휴학하기로	휴학/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.23.3.2
하지만 총장과 다수의 교수는 학생들을 말리기는커녕 회사에 지식과 자금을 보태며 후원에 나섰다.

하지만	하지만/MAJ
총장과	총장/NNG+과/JC
다수의	다수/NNG+의/JKG
교수는	교수/NNG+는/JX
학생들을	학생/NNG+들/XSN+을/JKO
말리기는커녕	말리/VV+기/ETN+는커녕/JX
회사에	회사/NNG+에/JKB
지식과	지식/NNG+과/JC
자금을	자금/NNG+을/JKO
보태며	보태/VV+며/EC
후원에	후원/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.23.4.1
스탠퍼드대 컴퓨터과학과 학부생과 대학원생 등 12명이 넘는 학생들이 최근 스마트폰을 이용한 결제 시스템을 개발하는 벤처기업 '클링클'에 합류하기 위해 휴학계를 냈다.

스탠퍼드대	스탠퍼드대/NNP
컴퓨터과학과	컴퓨터/NNG+과학/NNG+과/NNG
학부생과	학부/NNG+생/XSN+과/JC
대학원생	대학원/NNG+생/XSN
등	등/NNB
12명이	12/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
학생들이	학생/NNG+들/XSN+이/JKS
최근	최근/MAG
스마트폰을	스마트폰/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
결제	결제/NNG
시스템을	시스템/NNG+을/JKO
개발하는	개발/NNG+하/XSV+는/ETM
벤처기업	벤처/NNG+기업/NNG
'클링클'에	'/SS+클링클/NNP+'/SS+에/JKB
