# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.173
metadata : {}


# id : NWRW1800000038.173.1.1
[윤창중 파문] 피해 여성은 尹씨 전담한 인턴직원… 현지 대학에 다니는 미국 시민권자

[윤창중	[/SS+윤창중/NNP
파문]	파문/NNG+]/SS
피해	피해/NNG
여성은	여성/NNG+은/JX
尹씨	尹/SH+씨/NNB
전담한	전담/NNG+하/XSV+ㄴ/ETM
인턴직원…	인턴/NNG+직원/NNG+…/SE
현지	현지/NNG
대학에	대학/NNG+에/JKB
다니는	다니/VV+는/ETM
미국	미국/NNP
시민권자	시민권자/NNG


# id : NWRW1800000038.173.2.1
안내·의전·통역업무 보조인력

안내·의전·통역업무	안내/NNG+·/SP+의전/NNG+·/SP+통역/NNG+업무/NNG
보조인력	보조/NNG+인력/NNG


# id : NWRW1800000038.173.3.1
윤창중 전 청와대 대변인 성추행 의혹 사건의 피해 신고 여성인 A씨는 이번 박근혜 대통령 방미(訪美)를 맞아 주미 대사관이 단기로 채용한 보조인력이다.

윤창중	윤창중/NNP
전	전/MMD
청와대	청와대/NNP
대변인	대변인/NNG
성추행	성추행/NNG
의혹	의혹/NNG
사건의	사건/NNG+의/JKG
피해	피해/NNG
신고	신고/NNG
여성인	여성/NNG+이/VCP+ㄴ/ETM
A씨는	A/SL+씨/NNB+는/JX
이번	이번/NNG
박근혜	박근혜/NNP
대통령	대통령/NNG
방미(訪美)를	방미/NNG+(/SS+訪美/SH+)/SS+를/JKO
맞아	맞/VV+아/EC
주미	주미/NNG
대사관이	대사관/NNG+이/JKS
단기로	단기/NNG+로/JKB
채용한	채용/NNG+하/XSV+ㄴ/ETM
보조인력이다.	보조/NNG+인력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.173.4.1
재외공관에서는 공관 직원만으로 치르기 어려운 큰 행사가 있을 경우, 지원 인력을 단기로 채용하고 있다.

재외공관에서는	재외/NNG+공관/NNG+에서/JKB+는/JX
공관	공관/NNG
직원만으로	직원/NNG+만/JX+으로/JKB
치르기	치르/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
큰	크/VA+ㄴ/ETM
행사가	행사/NNG+가/JKS
있을	있/VX+을/ETM
경우,	경우/NNG+,/SP
지원	지원/NNG
인력을	인력/NNG+을/JKO
단기로	단기/NNG+로/JKB
채용하고	채용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.173.4.2
이들 인력은 보통 '인턴'으로 불리며, 행사와 관련된 안내·사무·의전·공보·통역 등의 역할을 맡는다.

이들	이/NP+들/XSN
인력은	인력/NNG+은/JX
보통	보통/MAG
'인턴'으로	'/SS+인턴/NNG+'/SS+으로/JKB
불리며,	불리/VV+며/EC+,/SP
행사와	행사/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
안내·사무·의전·공보·통역	안내/NNG+·/SP+사무/NNG+·/SP+의전/NNG+·/SP+공보/NNG+·/SP+통역/NNG
등의	등/NNB+의/JKG
역할을	역할/NNG+을/JKO
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000038.173.5.1
단기 보조인력 모집은 주로 현지 대학에 다니는 유학생이나 교포 자녀를 대상으로 이뤄진다.

단기	단기/NNG
보조인력	보조/NNG+인력/NNG
모집은	모집/NNG+은/JX
주로	주로/MAG
현지	현지/NNG
대학에	대학/NNG+에/JKB
다니는	다니/VV+는/ETM
유학생이나	유학/NNG+생/XSN+이나/JC
교포	교포/NNG
자녀를	자녀/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.173.5.2
한국어와 현지어를 모두 유창하게 구사해야 하고, 현지 지리와 사정 등에도 밝아야 하기 때문이다.

한국어와	한국어/NNP+와/JC
현지어를	현지어/NNG+를/JKO
모두	모두/MAG
유창하게	유창하/VA+게/EC
