# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.207
metadata : {}


# id : NWRW1800000053.207.1.1
[단독]4∼5발 총상 귀순병 오청성, 치료비는 6500만원

[단독]4∼5발	[/SS+단독/NNG+]/SS+4/SN+∼/SO+5/SN+발/NNB
총상	총상/NNG
귀순병	귀순병/NNG
오청성,	오청성/NNP+,/SP
치료비는	치료비/NNG+는/JX
6500만원	6500/SN+만/NR+원/NNB


# id : NWRW1800000053.207.2.1
북한 귀순병사 오청성 씨(25)가 정부 합동신문 과정에서 공식적으로 귀순 의사를 밝힌 것으로 전해졌다.

북한	북한/NNP
귀순병사	귀순/NNG+병사/NNG
오청성	오청성/NNP
씨(25)가	씨/NNB+(/SS+25/SN+)/SS+가/JKS
정부	정부/NNG
합동신문	합동/NNG+신문/NNG
과정에서	과정/NNG+에서/JKB
공식적으로	공식/NNG+적/XSN+으로/JKB
귀순	귀순/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.207.2.2
이에 정부는 오 씨를 대한민국 국민으로 인정해 의료급여 수급 혜택을 앞당겨 적용할 방침이다.

이에	이/NP+에/JKB
정부는	정부/NNG+는/JX
오	오/NNP
씨를	씨/NNB+를/JKO
대한민국	대한민국/NNP
국민으로	국민/NNG+으로/JKB
인정해	인정/NNG+하/XSV+아/EC
의료급여	의료/NNG+급여/NNG
수급	수급/NNG
혜택을	혜택/NNG+을/JKO
앞당겨	앞당기/VV+어/EC
적용할	적용/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.207.2.3
또 본인이 부담해야 하는 치료비 약 2500만 원을 국가가 대신 내주기로 했다.

또	또/MAG
본인이	본인/NNG+이/JKS
부담해야	부담/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
치료비	치료비/NNG
약	약/MMA
2500만	2500/SN+만/NR
원을	원/NNB+을/JKO
국가가	국가/NNG+가/JKS
대신	대신/NNG
내주기로	내주/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.207.3.1
통일부 관계자는 27일 동아일보에 “오 씨는 목숨을 걸고 판문점 공동경비구역(JSA)을 넘어 귀순했다.

통일부	통일부/NNG
관계자는	관계자/NNG+는/JX
27일	27/SN+일/NNB
동아일보에	동아일보/NNP+에/JKB
“오	“/SS+오/NNP
씨는	씨/NNB+는/JX
목숨을	목숨/NNG+을/JKO
걸고	걸/VV+고/EC
판문점	판문점/NNP
공동경비구역(JSA)을	공동/NNG+경비/NNG+구역/NNG+(/SS+JSA/SL+)/SS+을/JKO
넘어	넘/VV+어/EC
귀순했다.	귀순/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.207.3.2
그 행위 자체로 귀순 의사를 간접적으로 밝혔다고 볼 수 있지만 (증명이) 완벽한 상태는 아니었다”며 “최근 오 씨가 정부의 합동신문에서 본인의 입으로 귀순 의사를 명확히 했다”고 밝혔다.

그	그/MMD
행위	행위/NNG
자체로	자체/NNG+로/JKB
귀순	귀순/NNG
의사를	의사/NNG+를/JKO
간접적으로	간접/NNG+적/XSN+으로/JKB
밝혔다고	밝히/VV+었/EP+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
(증명이)	(/SS+증명/NNG+이/JKS+)/SS
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
상태는	상태/NNG+는/JX
아니었다”며	아니/VCN+었/EP+다/EF+”/SS+며/EC
“최근	“/SS+최근/NNG
오	오/NNP
씨가	씨/NNB+가/JKS
정부의	정부/NNG+의/JKG
합동신문에서	합동/NNG+신문/NNG+에서/JKB
본인의	본인/NNG+의/JKG
입으로	입/NNG+으로/JKB
명확히	명확히/MAG
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.207.4.1
이에 따라 정부는 오 씨를 국민으로 인정하고 관련법에 근거한 혜택을 앞당겨 적용하기로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
정부는	정부/NNG+는/JX
오	오/NNP
씨를	씨/NNB+를/JKO
국민으로	국민/NNG+으로/JKB
인정하고	인정/NNG+하/XSV+고/EC
관련법에	관련/NNG+법/NNG+에/JKB
근거한	근거/NNG+하/XSV+ㄴ/ETM
혜택을	혜택/NNG+을/JKO
앞당겨	앞당기/VV+어/EC
적용하기로	적용/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.207.4.2
의료급여 수급권자가 되면 건강보험이 보장하는 대다수의 의료 행위를 10%가 되지 않는 본인부담금만 내고 이용할 수 있다.

의료급여	의료/NNG+급여/NNG
수급권자가	수급권자/NNG+가/JKC
되면	되/VV+면/EC
건강보험이	건강/NNG+보험/NNG+이/JKS
보장하는	보장/NNG+하/XSV+는/ETM
대다수의	대/XPN+다수/NNG+의/JKG
의료	의료/NNG
행위를	행위/NNG+를/JKO
10%가	10/SN+%/SW+가/JKC
되지	되/VV+지/EC
않는	않/VX+는/ETM
본인부담금만	본인/NNG+부담금/NNG+만/JX
내고	내/VV+고/EC
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.207.4.3
특히 오 씨는 의료급여 1종 수급권자인 북한이탈주민이어서 입원 진료비 전액을 지원받는다.

특히	특히/MAG
오	오/NNP
씨는	씨/NNB+는/JX
의료급여	의료/NNG+급여/NNG
1종	1/SN+종/NNG
수급권자인	수급권자/NNG+이/VCP+ㄴ/ETM
북한이탈주민이어서	북한/NNP+이탈/NNG+주민/NNG+이/VCP+어서/EC
입원	입원/NNG
진료비	진료비/NNG
전액을	전액/NNG+을/JKO
지원받는다.	지원/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000053.207.5.1
오 씨를 치료한 아주대병원이 청구한 진료비 총액은 6500만 원이다.

오	오/NNP
씨를	씨/NNB+를/JKO
치료한	치료/NNG+하/XSV+ㄴ/ETM
아주대병원이	아주대병원/NNP+이/JKS
청구한	청구/NNG+하/XSV+ㄴ/ETM
진료비	진료비/NNG
총액은	총액/NNG+은/JX
6500만	6500/SN+만/NR
원이다.	원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.207.5.2
이 중 4000만 원은 의료급여 재정으로 지원한다.

이	이/MMD
중	중/NNB
4000만	4000/SN+만/NR
원은	원/NNB+은/JX
의료급여	의료/NNG+급여/NNG
재정으로	재정/NNG+으로/JKB
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


