# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.33
metadata : {}


# id : NWRW1800000045.33.1.1
호텔롯데 “이르면 12월 상장 예비심사 신청”

호텔롯데	호텔롯데/NNP
“이르면	“/SS+이르/VA+면/EC
12월	12/SN+월/NNB
상장	상장/NNG
예비심사	예비/NNG+심사/NNG
신청”	신청/NNG+”/SS


# id : NWRW1800000045.33.2.1
호텔롯데가 이르면 다음 달 한국거래소에 상장 예비심사를 신청하기로 하고 본격적인 준비 작업에 나섰다.

호텔롯데가	호텔롯데/NNP+가/JKS
이르면	이르/VA+면/EC
다음	다음/NNG
달	달/NNG
한국거래소에	한국거래소/NNP+에/JKB
상장	상장/NNG
예비심사를	예비/NNG+심사/NNG+를/JKO
신청하기로	신청/NNG+하/XSV+기/ETN+로/JKB
하고	하/VV+고/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
준비	준비/NNG
작업에	작업/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.33.2.2
롯데그룹 관계자는 22일 “면세점 선정 결과와 무관하게 계획대로 상장을 위한 준비작업을 하고 있다”며 “내년 상반기 상장이 목표이므로 이르면 올해 안에 상장 예비심사를 신청하게 될 것 같다”고 말했다.

롯데그룹	롯데그룹/NNP
관계자는	관계자/NNG+는/JX
22일	22/SN+일/NNB
“면세점	“/SS+면세점/NNG
선정	선정/NNG
결과와	결과/NNG+와/JKB
무관하게	무관하/VA+게/EC
계획대로	계획/NNG+대로/JX
상장을	상장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
준비작업을	준비/NNG+작업/NNG+을/JKO
하고	하/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“내년	“/SS+내년/NNG
상반기	상반기/NNG
상장이	상장/NNG+이/JKS
목표이므로	목표/NNG+이/VCP+므로/EC
이르면	이르/VA+면/EC
올해	올해/NNG
안에	안/NNG+에/JKB
상장	상장/NNG
예비심사를	예비/NNG+심사/NNG+를/JKO
신청하게	신청/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.33.3.1
호텔롯데가 당초 계획대로 내년 상반기 상장을 마무리 짓기 위해서는 상장 예비심사를 최대한 서둘러야 한다.

호텔롯데가	호텔롯데/NNP+가/JKS
당초	당초/NNG
계획대로	계획/NNG+대로/JX
내년	내년/NNG
상반기	상반기/NNG
상장을	상장/NNG+을/JKO
마무리	마무리/NNG
짓기	짓/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
상장	상장/NNG
예비심사를	예비/NNG+심사/NNG+를/JKO
최대한	최대한/MAG
서둘러야	서두르/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.33.3.2
대형 우량기업으로 인정받아 상장 심사가 간소화되더라도 심사 결과를 통보받기까지 최소 4주가 걸리고 이후 6개월 이내에 상장 신청서와 첨부서류를 거래소에 제출해야 하기 때문이다.

대형	대형/NNG
우량기업으로	우량/NNG+기업/NNG+으로/JKB
인정받아	인정/NNG+받/XSV+아/EC
상장	상장/NNG
심사가	심사/NNG+가/JKS
간소화되더라도	간소/NNG+화/XSN+되/XSV+더라도/EC
심사	심사/NNG
결과를	결과/NNG+를/JKO
