# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.382
metadata : {}


# id : NWRW1800000033.382.1.1
[선택 2012 대선 D-12]朴 “애환 챙기는 현장대통령 될것”… 文 “아름다운 단일화 완성”

[선택	[/SS+선택/NNG
2012	2012/SN
대선	대선/NNG
D-12]朴	D/SL+-/SO+12/SN+]/SS+朴/SH
“애환	“/SS+애환/NNG
챙기는	챙기/VV+는/ETM
현장대통령	현장/NNG+대통령/NNG
될것”…	되/VV+ㄹ/ETM+것/NNB+”/SS+…/SE
文	文/SH
“아름다운	“/SS+아름답/VA+ㄴ/ETM
단일화	단일/NNG+화/XSN
완성”	완성/NNG+”/SS


# id : NWRW1800000033.382.2.1
朴, “국정운영 패러다임 국민 중심으로 바꿀 것” 수도권 세번째 유세 “중산층 70%까지 복원”

朴,	朴/SH+,/SP
“국정운영	“/SS+국정/NNG+운영/NNG
패러다임	패러다임/NNG
국민	국민/NNG
중심으로	중심/NNG+으로/JKB
바꿀	바꾸/VV+ㄹ/ETM
것”	것/NNB+”/SS
수도권	수도/NNG+권/XSN
세번째	세/MMN+번/NNB+째/XSN
유세	유세/NNG
“중산층	“/SS+중산/NNG+층/XSN
70%까지	70/SN+%/SW+까지/JX
복원”	복원/NNG+”/SS


# id : NWRW1800000033.382.3.1
새누리당 박근혜 대선후보는 6일 안산 부천 안양 성남 등 경기 남부지역 집중 유세에 나섰다.

새누리당	새누리당/NNP
박근혜	박근혜/NNP
대선후보는	대선/NNG+후보/NNG+는/JX
6일	6/SN+일/NNB
안산	안산/NNP
부천	부천/NNP
안양	안양/NNP
성남	성남/NNP
등	등/NNB
경기	경기/NNP
남부지역	남부/NNG+지역/NNG
집중	집중/NNG
유세에	유세/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.382.3.2
수도권 선거운동은 지난달 27일 공식 선거운동을 시작한 후 세 번째.

수도권	수도/NNG+권/XSN
선거운동은	선거/NNG+운동/NNG+은/JX
지난달	지난달/NNG
27일	27/SN+일/NNB
공식	공식/NNG
선거운동을	선거/NNG+운동/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
후	후/NNG
세	세/MMN
번째.	번/NNB+째/XSN+./SF


# id : NWRW1800000033.382.3.3
