# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.46
metadata : {}


# id : NWRW1800000041.46.1.1
日 교토대, 731부대 관련 33명에 박사학위 줬다

日	日/SH
교토대,	교토대/NNP+,/SP
731부대	731부대/NNP
관련	관련/NNG
33명에	33/SN+명/NNB+에/JKB
박사학위	박사/NNG+학위/NNG
줬다	주/VV+었/EP+다/EF


# id : NWRW1800000041.46.2.1
생체실험 의학적 성과 인정 드러나

생체실험	생체/NNG+실험/NNG
의학적	의학/NNG+적/XSN
성과	성과/NNG
인정	인정/NNG
드러나	드러나/VV+아/EF


# id : NWRW1800000041.46.3.1
일본 의학의 산실인 국립 교토대가 생체실험으로 악명을 떨친 일본군 ‘731부대’ 관련자들에게 박사학위를 수여했던 것으로 뒤늦게 밝혀졌다.

일본	일본/NNP
의학의	의학/NNG+의/JKG
산실인	산실/NNG+이/VCP+ㄴ/ETM
국립	국립/NNG
교토대가	교토대/NNP+가/JKS
생체실험으로	생체/NNG+실험/NNG+으로/JKB
악명을	악명/NNG+을/JKO
떨친	떨치/VV+ㄴ/ETM
일본군	일본군/NNG
‘731부대’	‘/SS+731부대/NNP+’/SS
관련자들에게	관련자/NNG+들/XSN+에게/JKB
박사학위를	박사/NNG+학위/NNG+를/JKO
수여했던	수여/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
뒤늦게	뒤늦/VA+게/EC
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.46.4.1
니시야마 가쓰오(西山勝夫) 일본 시가대 의대 명예교수는 교토대 도서관과 국회 도서관 등의 소장자료 목록을 검색해 2012년 ‘사회의학연구’라는 학술지에 발표한 ‘731부대 관계자 등의 교토대학 의학부 박사 논문의 검증’이라는 제목의 논문에서 이 같은 사실을 폭로했다.

니시야마	니시야마/NNP
가쓰오(西山勝夫)	가쓰오/NNP+(/SS+西山勝夫/SH+)/SS
일본	일본/NNP
시가대	시가대/NNP
의대	의대/NNG
명예교수는	명예/NNG+교수/NNG+는/JX
교토대	교토대/NNP
도서관과	도서관/NNG+과/JC
국회	국회/NNG
도서관	도서관/NNG
등의	등/NNB+의/JKG
소장자료	소장/NNG+자료/NNG
목록을	목록/NNG+을/JKO
검색해	검색/NNG+하/XSV+아/EC
2012년	2012/SN+년/NNB
