# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.205
metadata : {}


# id : NWRW1800000049.205.1.1
前 산업은행장 강만수 “대우조선에 부당투자 강요 안해”

前	前/SH
산업은행장	산업은행장/NNG
강만수	강만수/NNP
“대우조선에	“/SS+대우조선/NNP+에/JKB
부당투자	부당/NNG+투자/NNG
강요	강요/NNG
안해”	안/MAG+하/VV+아/EF+”/SS


# id : NWRW1800000049.205.2.1
측근 취업 의혹 등 혐의 전면부인

측근	측근/NNG
취업	취업/NNG
의혹	의혹/NNG
등	등/NNB
혐의	혐의/NNG
전면부인	전면/NNG+부인/NNG


# id : NWRW1800000049.205.3.1
대우조선해양의 비리를 약점 잡아 지인 업체에 일감을 몰아주고 측근을 고문으로 취업시킨 혐의를 받는 강만수 전 KDB산업은행장은 관련 의혹을 전면 부인했다.

대우조선해양의	대우조선해양/NNP+의/JKG
비리를	비리/NNG+를/JKO
약점	약점/NNG
잡아	잡/VV+아/EC
지인	지인/NNG
업체에	업체/NNG+에/JKB
일감을	일감/NNG+을/JKO
몰아주고	몰아주/VV+고/EC
측근을	측근/NNG+을/JKO
고문으로	고문/NNG+으로/JKB
취업시킨	취업/NNG+시키/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받는	받/VV+는/ETM
강만수	강만수/NNP
전	전/MMD
KDB산업은행장은	KDB산업은행장/NNG+은/JX
관련	관련/NNG
의혹을	의혹/NNG+을/JKO
전면	전면/NNG
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.205.4.1
강 전 행장은 7일 출입기자단에 보낸 e메일을 통해 “최근 대우조선 사태와 관련해 사실과 다른 보도가 이어져 평생을 공직에 봉사한 사람으로서 참담함을 금할 수 없다”며 이같이 밝혔다.

강	강/NNP
전	전/MMD
행장은	행장/NNG+은/JX
7일	7/SN+일/NNB
출입기자단에	출입/NNG+기자단/NNG+에/JKB
보낸	보내/VV+ㄴ/ETM
e메일을	e/SL+메일/NNG+을/JKO
통해	통하/VV+아/EC
“최근	“/SS+최근/NNG
대우조선	대우조선/NNP
사태와	사태/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
사실과	사실/NNG+과/JKB
다른	다르/VA+ㄴ/ETM
보도가	보도/NNG+가/JKS
이어져	이어지/VV+어/EC
평생을	평생/NNG+을/JKO
공직에	공직/NNG+에/JKB
봉사한	봉사/NNG+하/XSV+ㄴ/ETM
사람으로서	사람/NNG+으로서/JKB
참담함을	참담/NNG+하/XSA+ㅁ/ETN+을/JKO
금할	금하/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.205.5.1
강 전 행장은 2011년 경영 컨설팅을 통해 남상태 당시 대우조선해양 사장(66·구속 기소)의 비리를 확인하고 이를 무기로 자신의 측근 등 7명을 고문으로 취업시켰다는 의혹에 대해 “전혀 모르는 사람”이라고 반박했다.

강	강/NNP
전	전/MMD
행장은	행장/NNG+은/JX
2011년	2011/SN+년/NNB
경영	경영/NNG
컨설팅을	컨설팅/NNG+을/JKO
통해	통하/VV+아/EC
남상태	남상태/NNP
당시	당시/NNG
대우조선해양	대우조선해양/NNP
