# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.190
metadata : {}


# id : NWRW1800000046.190.1.1
전립선癌 사망 증가율 30년간 10배 늘어

전립선癌	전립선/NNG+癌/SH
사망	사망/NNG
증가율	증가/NNG+율/XSN
30년간	30/SN+년/NNB+간/XSN
10배	10/SN+배/NNG
늘어	늘/VV+어/EF


# id : NWRW1800000046.190.2.1
13개 암 분석해보니… 여성 췌장암은 4배 최고 증가

13개	13/SN+개/NNB
암	암/NNG
분석해보니…	분석/NNG+하/XSV+아/EC+보/VX+니/EC+…/SE
여성	여성/NNG
췌장암은	췌장암/NNG+은/JX
4배	4/SN+배/NNG
최고	최고/NNG
증가	증가/NNG


# id : NWRW1800000046.190.3.1
최근 30년간 암 사망 실태를 분석한 결과 남성은 전립선암, 여성은 췌장암으로 인한 사망이 가장 가파르게 증가했다.

최근	최근/MAG
30년간	30/SN+년/NNB+간/XSN
암	암/NNG
사망	사망/NNG
실태를	실태/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
남성은	남성/NNG+은/JX
전립선암,	전립선암/NNG+,/SP
여성은	여성/NNG+은/JX
췌장암으로	췌장암/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
사망이	사망/NNG+이/JKS
가장	가장/MAG
가파르게	가파르/VA+게/EC
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.190.3.2
반면 남녀 모두 위암으로 인한 사망률은 70% 이상 줄었다.

반면	반면/NNG
남녀	남녀/NNG
모두	모두/MAG
위암으로	위암/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
사망률은	사망/NNG+률/XSN+은/JX
70%	70/SN+%/SW
이상	이상/NNG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.190.3.3
임달오 공주대 보건행정학과 교수팀은 1983~2012년 국내 13개 주요 암 사망률 변화를 분석한 결과를 국제학술지 '암 역학' 최신호에 발표했다.

임달오	임달오/NNP
공주대	공주대/NNP
보건행정학과	보건/NNG+행정학과/NNG
교수팀은	교수/NNG+팀/NNG+은/JX
1983~2012년	1983/SN+~/SO+2012/SN+년/NNB
국내	국내/NNG
13개	13/SN+개/NNB
주요	주요/NNG
암	암/NNG
사망률	사망/NNG+률/XSN
변화를	변화/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과를	결과/NNG+를/JKO
국제학술지	국제/NNG+학술지/NNG
'암	'/SS+암/NNG
역학'	역학/NNG+'/SS
최신호에	최신/NNG+호/NNB+에/JKB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.190.4.1
23일 임 교수팀에 따르면 암 사망률 자체는 폐암과 간암, 위암 등에서 여전히 높지만, 지난 30년간 추이를 보면 남성은 전립선암, 여성은 췌장암에서 사망률 증가폭이 가장 컸다.

23일	23/SN+일/NNB
임	임/NNP
교수팀에	교수/NNG+팀/NNG+에/JKB
따르면	따르/VV+면/EC
암	암/NNG
사망률	사망/NNG+률/XSN
자체는	자체/NNG+는/JX
폐암과	폐암/NNG+과/JC
간암,	간암/NNG+,/SP
위암	위암/NNG
등에서	등/NNB+에서/JKB
여전히	여전히/MAG
높지만,	높/VA+지만/EC+,/SP
지난	지나/VV+ㄴ/ETM
30년간	30/SN+년/NNB+간/XSN
추이를	추이/NNG+를/JKO
보면	보/VV+면/EC
남성은	남성/NNG+은/JX
전립선암,	전립선암/NNG+,/SP
여성은	여성/NNG+은/JX
췌장암에서	췌장암/NNG+에서/JKB
증가폭이	증가/NNG+폭/NNG+이/JKS
가장	가장/MAG
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.190.5.1
우선 1983년 암 사망률(인구 10만명당 암 사망자 수)은 남성의 경우 위암(83.5명), 간암(48.6명), 폐암(18.4명) 순이었으나, 2012년에는 폐암(44.4명), 간암(34.0명), 위암(22.4명)으로 순위가 바뀌었다.

우선	우선/MAG
1983년	1983/SN+년/NNB
암	암/NNG
사망률(인구	사망/NNG+률/XSN+(/SS+인구/NNG
10만명당	10/SN+만/NR+명/NNB+당/XSN
사망자	사망자/NNG
수)은	수/NNG+)/SS+은/JX
남성의	남성/NNG+의/JKG
경우	경우/NNG
위암(83.5명),	위암/NNG+(/SS+83/SN+./SP+5/SN+명/NNB+)/SS+,/SP
간암(48.6명),	간암/NNG+(/SS+48/SN+./SP+6/SN+명/NNB+)/SS+,/SP
폐암(18.4명)	폐암/NNG+(/SS+18/SN+./SP+4/SN+명/NNB+)/SS
순이었으나,	순/NNB+이/VCP+었/EP+으나/EC+,/SP
2012년에는	2012/SN+년/NNB+에/JKB+는/JX
폐암(44.4명),	폐암/NNG+(/SS+44/SN+./SP+4/SN+명/NNB+)/SS+,/SP
간암(34.0명),	간암/NNG+(/SS+34/SN+./SP+0/SN+명/NNB+)/SS+,/SP
위암(22.4명)으로	위암/NNG+(/SS+22/SN+./SP+4/SN+명/NNB+)/SS+으로/JKB
순위가	순위/NNG+가/JKS
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.190.5.2
여성은 1983년 위암(45.3명), 간암(15.1명), 자궁암(12.4명) 순이었다가 2012년 폐암(16.5명), 대장암(12.9명), 간암(12.6명) 순이 됐다.

여성은	여성/NNG+은/JX
1983년	1983/SN+년/NNB
위암(45.3명),	위암/NNG+(/SS+45/SN+./SP+3/SN+명/NNB+)/SS+,/SP
간암(15.1명),	간암/NNG+(/SS+15/SN+./SP+1/SN+명/NNB+)/SS+,/SP
자궁암(12.4명)	자궁암/NNG+(/SS+12/SN+./SP+4/SN+명/NNB+)/SS
순이었다가	순/NNB+이/VCP+었/EP+다가/EC
2012년	2012/SN+년/NNB
폐암(16.5명),	폐암/NNG+(/SS+16/SN+./SP+5/SN+명/NNB+)/SS+,/SP
대장암(12.9명),	대장암/NNG+(/SS+12/SN+./SP+9/SN+명/NNB+)/SS+,/SP
간암(12.6명)	간암/NNG+(/SS+12/SN+./SP+6/SN+명/NNB+)/SS
순이	순/NNB+이/JKS
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.190.6.1
하지만 각 암 사망률의 증감 추이를 보면 남성은 전립선암이 1983년 0.5명에서 2012년 5.2명으로 10.5배 늘어 최고 증가율을 기록했다.

