# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.119
metadata : {}


# id : NWRW1800000044.119.1.1
“한국형 ‘비엔나 뮤지컬’ 원작 넘는 아이디어 놀라워”

“한국형	“/SS+한국/NNP+형/XSN
‘비엔나	‘/SS+비엔나/NNP
뮤지컬’	뮤지컬/NNG+’/SS
원작	원작/NNG
넘는	넘/VV+는/ETM
아이디어	아이디어/NNG
놀라워”	놀랍/VA+어/EF+”/SS


# id : NWRW1800000044.119.2.1
[한겨레] 비엔나극장협회 토마스 드로즈다 대표

[한겨레]	[/SS+한겨레/NNP+]/SS
비엔나극장협회	비엔나극장협회/NNP
토마스	토마스/NNP
드로즈다	드로즈다/NNP
대표	대표/NNG


# id : NWRW1800000044.119.3.1
‘모차르트’ 개막 맞춰 방한

‘모차르트’	‘/SS+모차르트/NNP+’/SS
개막	개막/NNG
맞춰	맞추/VV+어/EC
방한	방한/NNG


# id : NWRW1800000044.119.4.1
웅장한 음악·현지화로 인기

웅장한	웅장하/VA+ㄴ/ETM
음악·현지화로	음악/NNG+·/SP+현지/NNG+화/XSN+로/JKB
인기	인기/NNG


# id : NWRW1800000044.119.5.1
시 재정지원 덕 세계 ‘우뚝’

시	시/NNG
재정지원	재정/NNG+지원/NNG
덕	덕/NNG
세계	세계/NNG
‘우뚝’	‘/SS+우뚝/MAG+’/SS


# id : NWRW1800000044.119.6.1
“한국, 아이돌 출연 인상적”

“한국,	“/SS+한국/NNP+,/SP
아이돌	아이돌/NNG
출연	출연/NNG
인상적”	인상/NNG+적/XSN+”/SS


# id : NWRW1800000044.119.7.1
최근 세종문화회관 대극장에서 개막해 연일 매진행진을 이어가고 있는 <모차르트>는 대표적인 ‘비엔나(오스트리아) 뮤지컬’이다.

최근	최근/NNG
세종문화회관	세종문화회관/NNP
대극장에서	대/XPN+극장/NNG+에서/JKB
개막해	개막/NNG+하/XSV+아/EC
연일	연일/MAG
매진행진을	매진/NNG+행진/NNG+을/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있는	있/VX+는/ETM
<모차르트>는	</SS+모차르트/NNP+>/SS+는/JX
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
‘비엔나(오스트리아)	‘/SS+비엔나/NNP+(/SS+오스트리아/NNP+)/SS
뮤지컬’이다.	뮤지컬/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000044.119.7.2
<모차르트> 외에도 <레베카>, <엘리자벳>, <황태자 루돌프> 등 비엔나 뮤지컬들은 최근 3~4년 사이 관객들의 큰 사랑을 받으며 브로드웨이와 웨스트엔드 뮤지컬 위주였던 한국 뮤지컬 시장의 판도를 바꾸어 놓았다.

<모차르트>	</SS+모차르트/NNP+>/SS
외에도	외/NNB+에/JKB+도/JX
<레베카>,	</SS+레베카/NNP+>/SS+,/SP
<엘리자벳>,	</SS+엘리자벳/NNP+>/SS+,/SP
<황태자	</SS+황태자/NNG
루돌프>	루돌프/NNP+>/SS
등	등/NNB
비엔나	비엔나/NNP
뮤지컬들은	뮤지컬/NNG+들/XSN+은/JX
최근	최근/NNG
3~4년	3/SN+~/SO+4/SN+년/NNB
사이	사이/NNG
관객들의	관객/NNG+들/XSN+의/JKG
큰	크/VA+ㄴ/ETM
사랑을	사랑/NNG+을/JKO
받으며	받/VV+으며/EC
브로드웨이와	브로드웨이/NNP+와/JC
웨스트엔드	웨스트엔드/NNP
뮤지컬	뮤지컬/NNG
위주였던	위주/NNG+이/VCP+었/EP+던/ETM
한국	한국/NNP
시장의	시장/NNG+의/JKG
판도를	판도/NNG+를/JKO
바꾸어	바꾸/VV+어/EC
놓았다.	놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.119.8.1
이들 뮤지컬을 제작한 ‘빈(비엔나)극장협회’(VBW) 토마스 드로즈다(49·사진) 대표는 13일 인터뷰에서 “한국은 주 관객층이 20~30대의 젊은층이라는 점, 뮤지컬 전문 배우 외에도 아이돌이나 스타 가수들이 무대에 선다는 점이 무척 인상적”이라고 했다.

이들	이/NP+들/XSN
뮤지컬을	뮤지컬/NNG+을/JKO
제작한	제작/NNG+하/XSV+ㄴ/ETM
‘빈(비엔나)극장협회’(VBW)	‘/SS+빈/NNP+(/SS+비엔나/NNP+)/SS+극장협회/NNP+’/SS+(/SS+VBW/SL+)/SS
토마스	토마스/NNP
드로즈다(49·사진)	드로즈다/NNP+(/SS+49/SN+·/SP+사진/NNG+)/SS
대표는	대표/NNG+는/JX
13일	13/SN+일/NNB
인터뷰에서	인터뷰/NNG+에서/JKB
“한국은	“/SS+한국/NNP+은/JX
주	주/MMA
관객층이	관객/NNG+층/XSN+이/JKS
20~30대의	20/SN+~/SO+30/SN+대/NNB+의/JKG
젊은층이라는	젊/VA+은/ETM+층/NNG+이/VCP+라는/ETM
점,	점/NNG+,/SP
뮤지컬	뮤지컬/NNG
전문	전문/NNG
배우	배우/NNG
외에도	외/NNB+에/JKB+도/JX
아이돌이나	아이돌/NNG+이나/JC
스타	스타/NNG
가수들이	가수/NNG+들/XSN+이/JKS
무대에	무대/NNG+에/JKB
선다는	서/VV+ㄴ다는/ETM
점이	점/NNG+이/JKS
무척	무척/MAG
인상적”이라고	인상/NNG+적/XSN+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.119.8.2
그는 <모차르트> 재공연 개막에 맞춰 한국을 방문한 터다.

그는	그/NP+는/JX
<모차르트>	</SS+모차르트/NNP+>/SS
재공연	재/XPN+공연/NNG
개막에	개막/NNG+에/JKB
맞춰	맞추/VV+어/EC
한국을	한국/NNP+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
터다.	터/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.119.9.1
“<모차르트> 2010년 초연 때엔 김준수, 이번 시즌에는 박효신이 무대에 섭니다.

“<모차르트>	“/SS+</SS+모차르트/NNP+>/SS
2010년	2010/SN+년/NNB
초연	초연/NNG
때엔	때/NNG+에/JKB+ㄴ/JX
김준수,	김준수/NNP+,/SP
이번	이번/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
박효신이	박효신/NNP+이/JKS
무대에	무대/NNG+에/JKB
섭니다.	서/VV+ㅂ니다/EF+./SF


# id : NWRW1800000044.119.9.2
가수들이 가창력뿐 아니라 뛰어난 연기로 아시아 팬들까지 끌어들이는 역할을 하니 부러움마저 들더군요.

가수들이	가수/NNG+들/XSN+이/JKS
가창력뿐	가창력/NNG+뿐/JX
아니라	아니/VCN+라/EC
뛰어난	뛰어나/VA+ㄴ/ETM
연기로	연기/NNG+로/JKB
아시아	아시아/NNP
팬들까지	팬/NNG+들/XSN+까지/JX
끌어들이는	끌어들이/VV+는/ETM
역할을	역할/NNG+을/JKO
하니	하/VV+니/EC
부러움마저	부러움/NNG+마저/JX
들더군요.	들/VV+더군/EF+요/JX+./SF


# id : NWRW1800000044.119.9.3
오스트리아에는 이런 활동 폭을 가진 팝스타들이 없습니다.”

오스트리아에는	오스트리아/NNP+에/JKB+는/JX
이런	이런/MMD
활동	활동/NNG
폭을	폭/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
팝스타들이	팝/NNG+스타/NNG+들/XSN+이/JKS
없습니다.”	없/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000044.119.9.4
드로즈다 대표는 ‘아이돌 마케팅’을 한국 뮤지컬 시장 특유의 강점으로 꼽았다.

드로즈다	드로즈다/NNP
대표는	대표/NNG+는/JX
‘아이돌	‘/SS+아이돌/NNG
마케팅’을	마케팅/NNG+’/SS+을/JKO
한국	한국/NNP
뮤지컬	뮤지컬/NNG
시장	시장/NNG
특유의	특유/NNG+의/JKG
강점으로	강점/NNG+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.119.9.5
또 주로 40~50대 관객이 많은 오스트리아와 비교해 젊은 관객의 비중이 높은 한국이 부럽다고도 했다.

또	또/MAG
주로	주로/MAG
40~50대	40/SN+~/SO+50/SN+대/NNB
관객이	관객/NNG+이/JKS
많은	많/VA+은/ETM
오스트리아와	오스트리아/NNP+와/JKB
비교해	비교/NNG+하/XSV+아/EC
젊은	젊/VA+은/ETM
관객의	관객/NNG+의/JKG
비중이	비중/NNG+이/JKS
높은	높/VA+은/ETM
한국이	한국/NNP+이/JKS
부럽다고도	부럽/VA+다고/EC+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.119.10.1
뮤지컬의 역사가 50여년으로 비교적 짧고, 작품 수도 많은 것은 아니지만 오스트리아 뮤지컬은 세계적으로 큰 인기를 누리고 있다.

뮤지컬의	뮤지컬/NNG+의/JKG
역사가	역사/NNG+가/JKS
50여년으로	50/SN+여/XSN+년/NNB+으로/JKB
비교적	비교/NNG+적/XSN
짧고,	짧/VA+고/EC+,/SP
작품	작품/NNG
수도	수/NNG+도/JX
많은	많/VA+은/ETM
것은	것/NNB+은/JX
아니지만	아니/VCN+지만/EC
오스트리아	오스트리아/NNP
뮤지컬은	뮤지컬/NNG+은/JX
세계적으로	세계/NNG+적/XSN+으로/JKB
큰	크/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
누리고	누리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.119.10.2
아시아에서는 일본을 시작으로 한국에서도 성공을 거뒀으며, 최근에는 중국에까지 진출했다.

아시아에서는	아시아/NNP+에서/JKB+는/JX
일본을	일본/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
한국에서도	한국/NNP+에서/JKB+도/JX
성공을	성공/NNG+을/JKO
거뒀으며,	거두/VV+었/EP+으며/EC+,/SP
최근에는	최근/NNG+에/JKB+는/JX
중국에까지	중국/NNP+에/JKB+까지/JX
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.119.11.1
이렇게 오스트리아 뮤지컬이 국경을 넘어 사랑받는 이유를 드로즈다 대표는 ‘웅장한 음악’과 ‘드라마가 강한 스토리’ 때문이라고 분석했다.

이렇게	이렇/VA+게/EC
오스트리아	오스트리아/NNP
뮤지컬이	뮤지컬/NNG+이/JKS
국경을	국경/NNG+을/JKO
넘어	넘/VV+어/EC
사랑받는	사랑/NNG+받/XSV+는/ETM
이유를	이유/NNG+를/JKO
드로즈다	드로즈다/NNP
대표는	대표/NNG+는/JX
‘웅장한	‘/SS+웅장하/VA+ㄴ/ETM
음악’과	음악/NNG+’/SS+과/JC
‘드라마가	‘/SS+드라마/NNG+가/JKS
강한	강하/VA+ㄴ/ETM
스토리’	스토리/NNG+’/SS
때문이라고	때문/NNB+이/VCP+라고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.119.11.2
“비엔나는 음악의 본고장입니다.

“비엔나는	“/SS+비엔나/NNP+는/JX
음악의	음악/NNG+의/JKG
본고장입니다.	본고장/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000044.119.11.3
브로드웨이와 비교할 수 없는 규모인 24~35인조 오케스트라가 항상 라이브로 음악을 연주하죠.

브로드웨이와	브로드웨이/NNP+와/JC
비교할	비교/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
규모인	규모/NNG+이/VCP+ㄴ/ETM
24~35인조	24/SN+~/SO+35/SN+인/NNG+조/NNG
오케스트라가	오케스트라/NNG+가/JKS
항상	항상/MAG
라이브로	라이브/NNG+로/JKB
음악을	음악/NNG+을/JKO
연주하죠.	연주/NNG+하/XSV+죠/EF+./SF


# id : NWRW1800000044.119.11.4
또 오스트리아의 역사에 인류 보편적인 철학적 성찰, 인간의 본질에 관한 탐구를 가미해 묵직한 이야기를 풀어냅니다.”

또	또/MAG
오스트리아의	오스트리아/NNP+의/JKG
역사에	역사/NNG+에/JKB
인류	인류/NNG
보편적인	보편/NNG+적/XSN+이/VCP+ㄴ/ETM
철학적	철학/NNG+적/XSN
성찰,	성찰/NNG+,/SP
인간의	인간/NNG+의/JKG
본질에	본질/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
탐구를	탐구/NNG+를/JKO
가미해	가미/NNG+하/XSV+아/EC
묵직한	묵직하/VA+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
풀어냅니다.”	풀어내/VV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000044.119.12.1
하지만 이보다 더 중요한 인기 요인으로 그는 ‘확실한 현지화 전략’을 꼽았다.

하지만	하지만/MAJ
이보다	이/NP+보다/JKB
더	더/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
인기	인기/NNG
요인으로	요인/NNG+으로/JKB
그는	그/NP+는/JX
‘확실한	‘/SS+확실하/VA+ㄴ/ETM
현지화	현지/NNG+화/XSN
전략’을	전략/NNG+’/SS+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.119.12.2
비엔나극장협회는 음악과 스토리의 뼈대를 제외하고는 모두 해외 프로덕션의 상황에 맞게 변형할 수 있도록 허용한다.

비엔나극장협회는	비엔나극장협회/NNP+는/JX
음악과	음악/NNG+과/JC
스토리의	스토리/NNG+의/JKG
뼈대를	뼈대/NNG+를/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
모두	모두/MAG
해외	해외/NNG
프로덕션의	프로덕션/NNG+의/JKG
상황에	상황/NNG+에/JKB
맞게	맞/VV+게/EC
변형할	변형/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
허용한다.	허용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.119.12.3
“우리는 각 나라의 시장에 대해 잘 알지 못합니다.

“우리는	“/SS+우리/NP+는/JX
각	각/MMD
나라의	나라/NNG+의/JKG
시장에	시장/NNG+에/JKB
대해	대하/VV+아/EC
잘	잘/MAG
알지	알/VV+지/EC
못합니다.	못하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000044.119.12.4
그래서 현지 아티스트와 스태프들의 아이디어를 존중하죠.

그래서	그래서/MAJ
현지	현지/NNG
아티스트와	아티스트/NNG+와/JC
스태프들의	스태프/NNG+들/XSN+의/JKG
아이디어를	아이디어/NNG+를/JKO
존중하죠.	존중/NNG+하/XSV+죠/EF+./SF


# id : NWRW1800000044.119.12.5
같은 작품이라도 공연되는 나라마다 다른 버전을 볼 수 있다는 것이 오히려 큰 행운입니다.”

같은	같/VA+은/ETM
작품이라도	작품/NNG+이/VCP+라도/EC
공연되는	공연/NNG+되/XSV+는/ETM
나라마다	나라/NNG+마다/JX
다른	다른/MMD
버전을	버전/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것이	것/NNB+이/JKS
오히려	오히려/MAG
큰	크/VA+ㄴ/ETM
행운입니다.”	행운/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000044.119.13.1
비엔나 뮤지컬이 세계적 반열에 오른 데는 비엔나 시의 재정지원이 큰 버팀목이 됐다.

비엔나	비엔나/NNP
뮤지컬이	뮤지컬/NNG+이/JKS
세계적	세계/NNG+적/XSN
반열에	반열/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
데는	데/NNB+는/JX
시의	시/NNG+의/JKG
재정지원이	재정/NNG+지원/NNG+이/JKS
큰	크/VA+ㄴ/ETM
버팀목이	버팀목/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.119.13.2
1987년 유서 깊은 3곳의 극장이 합병을 하면서 탄생한 비엔나극장협회는 매해 운영 예산의 30~35%가량을 시로부터 지원받는다.

1987년	1987/SN+년/NNB
유서	유서/NNG
깊은	깊/VA+은/ETM
3곳의	3/SN+곳/NNG+의/JKG
극장이	극장/NNG+이/JKS
합병을	합병/NNG+을/JKO
하면서	하/VV+면서/EC
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
비엔나극장협회는	비엔나극장협회/NNP+는/JX
매해	매해/MAG
운영	운영/NNG
예산의	예산/NNG+의/JKG
30~35%가량을	30/SN+~/SO+35/SN+%/SW+가량/XSN+을/JKO
시로부터	시/NNG+로부터/JKB
지원받는다.	지원/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000044.119.13.3
“큰돈이 드는 대작들은 개별 업체가 모든 위험부담을 감수하기가 쉽지 않습니다.

“큰돈이	“/SS+큰돈/NNG+이/JKS
드는	들/VV+는/ETM
대작들은	대작/NNG+들/XSN+은/JX
개별	개별/NNG
업체가	업체/NNG+가/JKS
모든	모든/MMN
위험부담을	위험/NNG+부담/NNG+을/JKO
감수하기가	감수/NNG+하/XSV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000044.119.13.4
하지만 시의 재정지원이 있기에 실험적인 작품들도 맘껏 도전해볼 수 있죠.”

하지만	하지만/MAJ
시의	시/NNG+의/JKG
재정지원이	재정/NNG+지원/NNG+이/JKS
