# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.235
metadata : {}


# id : NWRW1800000048.235.1.1
강릉 위촌리 올해도 ‘마을세배’

강릉	강릉/NNP
위촌리	위촌리/NNP
올해도	올해/NNG+도/JX
‘마을세배’	‘/SS+마을/NNG+세배/NNG+’/SS


# id : NWRW1800000048.235.2.1
430여년 전통…어른께 합동세배·잔치

430여년	430/SN+여/XSN+년/NNB
전통…어른께	전통/NNG+…/SE+어른/NNG+께/JKB
합동세배·잔치	합동/NNG+세배/NNG+·/SP+잔치/NNG


# id : NWRW1800000048.235.3.1
설 명절을 맞아 강원도 곳곳에서 430여년간 이어져온 ‘도배식’이 열린다.

설	설/NNG
명절을	명절/NNG+을/JKO
맞아	맞/VV+아/EC
강원도	강원도/NNP
곳곳에서	곳곳/NNG+에서/JKB
430여년간	430/SN+여/XSN+년/NNB+간/XSN
이어져온	이어지/VV+어/EC+오/VX+ㄴ/ETM
‘도배식’이	‘/SS+도배식/NNG+’/SS+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.235.3.2
도배는 ‘합동 세배’를 뜻하는 말로, 가족뿐 아니라 마을 주민 모두가 한자리에 모여 함께 세배를 하는 것을 일컫는다.

도배는	도배/NNG+는/JX
‘합동	‘/SS+합동/NNG
세배’를	세배/NNG+’/SS+를/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
말로,	말/NNG+로/JKB+,/SP
가족뿐	가족/NNG+뿐/JX
아니라	아니/VCN+라/EC
마을	마을/NNG
주민	주민/NNG
모두가	모두/NNG+가/JKS
한자리에	한자리/NNG+에/JKB
모여	모이/VV+어/EC
함께	함께/MAG
세배를	세배/NNG+를/JKO
하는	하/VV+는/ETM
것을	것/NNB+을/JKO
일컫는다.	일컫/VV+는다/EF+./SF


# id : NWRW1800000048.235.4.1
강릉시는 설 다음날인 20일 오전 10시부터 성산면 위촌리 마을회관에서 위촌리 도배식이 열린다고 17일 밝혔다.

강릉시는	강릉시/NNP+는/JX
설	설/NNG
다음날인	다음날/NNG+이/VCP+ㄴ/ETM
20일	20/SN+일/NNB
오전	오전/NNG
10시부터	10/SN+시/NNB+부터/JX
성산면	성산면/NNP
위촌리	위촌리/NNP
마을회관에서	마을/NNG+회관/NNG+에서/JKB
도배식이	도배식/NNG+이/JKS
열린다고	열리/VV+ㄴ다고/EC
17일	17/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.235.4.2
도배식은 조규상(92) 촌장 등 마을의 어른들을 모시고 출향 인사와 주민 등 200여명이 도포와 두루마기, 갓 등 전통 복장을 갖춰 입고 합동 세배를 하면, 어른들이 답례로 마을과 가정의 안녕 등을 기원하는 덕담을 하고 주민 간 세배를 하는 식으로 진행된다.

도배식은	도배식/NNG+은/JX
조규상(92)	조규상/NNP+(/SS+92/SN+)/SS
촌장	촌장/NNG
등	등/NNB
마을의	마을/NNG+의/JKG
어른들을	어른/NNG+들/XSN+을/JKO
모시고	모시/VV+고/EC
출향	출향/NNG
인사와	인사/NNG+와/JC
주민	주민/NNG
200여명이	200/SN+여/XSN+명/NNB+이/JKS
도포와	도포/NNG+와/JC
두루마기,	두루마기/NNG+,/SP
갓	갓/NNG
전통	전통/NNG
복장을	복장/NNG+을/JKO
갖춰	갖추/VV+어/EC
입고	입/VV+고/EC
합동	합동/NNG
세배를	세배/NNG+를/JKO
하면,	하/VV+면/EC+,/SP
어른들이	어른/NNG+들/XSN+이/JKS
답례로	답례/NNG+로/JKB
마을과	마을/NNG+과/JC
가정의	가정/NNG+의/JKG
안녕	안녕/NNG
등을	등/NNB+을/JKO
기원하는	기원/NNG+하/XSV+는/ETM
덕담을	덕담/NNG+을/JKO
하고	하/VV+고/EC
간	간/NNB
하는	하/VV+는/ETM
식으로	식/NNB+으로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.235.4.3
세배 뒤에는 사물놀이 등을 곁들인 마을잔치가 이어진다.

세배	세배/NNG
뒤에는	뒤/NNG+에/JKB+는/JX
사물놀이	사물놀이/NNG
등을	등/NNB+을/JKO
곁들인	곁들이/VV+ㄴ/ETM
마을잔치가	마을/NNG+잔치/NNG+가/JKS
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.235.5.1
위촌리 도배식은 1577년 마을 주민들이 대동계를 만든 뒤 430여년째 전통을 잇고 있다.

위촌리	위촌리/NNP
도배식은	도배식/NNG+은/JX
1577년	1577/SN+년/NNB
마을	마을/NNG
주민들이	주민/NNG+들/XSN+이/JKS
대동계를	대동계/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
뒤	뒤/NNG
430여년째	430/SN+여/XSN+년/NNB+째/XSN
전통을	전통/NNG+을/JKO
잇고	잇/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.235.5.2
한국전쟁 시기와 2011년 구제역 파동 때만 도배식을 열지 못했다.

한국전쟁	한국/NNP+전쟁/NNG
시기와	시기/NNG+와/JC
2011년	2011/SN+년/NNB
구제역	구제역/NNG
파동	파동/NNG
때만	때/NNG+만/JX
도배식을	도배식/NNG+을/JKO
열지	열/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.235.5.3
이 마을 도배식은 강릉지역 20여개 마을 도배식의 근간이 됐다.

이	이/MMD
마을	마을/NNG
도배식은	도배식/NNG+은/JX
강릉지역	강릉/NNP+지역/NNG
20여개	20/SN+여/XSN+개/NNB
도배식의	도배식/NNG+의/JKG
근간이	근간/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.235.6.1
위촌리뿐 아니라 성산면 구산리·관음2리, 금산1·2리, 어흘리, 보광1리에서 20·21일 도배식이 열리고, 구정면에서는 어단2리와 금광1리, 여찬리에서 19~21일 도배식이 열린다.

위촌리뿐	위촌리/NNP+뿐/JX
아니라	아니/VCN+라/EC
성산면	성산면/NNP
구산리·관음2리,	구산리/NNP+·/SP+관음2리/NNP+,/SP
금산1·2리,	금산1·2리/NNP+,/SP
어흘리,	어흘리/NNP+,/SP
보광1리에서	보광1리/NNP+에서/JKB
20·21일	20/SN+·/SP+21/SN+일/NNB
도배식이	도배식/NNG+이/JKS
열리고,	열리/VV+고/EC+,/SP
구정면에서는	구정면/NNP+에서/JKB+는/JX
어단2리와	어단2리/NNP+와/JC
금광1리,	금광1리/NNP+,/SP
여찬리에서	여찬리/NNP+에서/JKB
19~21일	19/SN+~/SO+21/SN+일/NNB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.235.6.2
강릉뿐 아니라 삼척시 하장면 대전리와 판문리에서도 도배식이 열린다.

강릉뿐	강릉/NNP+뿐/JX
아니라	아니/VCN+라/EC
삼척시	삼척시/NNP
하장면	하장면/NNP
대전리와	대전리/NNP+와/JC
판문리에서도	판문리/NNP+에서/JKB+도/JX
도배식이	도배식/NNG+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.235.6.3
정선군의 문곡1리 등 4개 마을도 설 연휴기간인 19·20일 도배식을 열어 주민 화합을 다질 참이다.

정선군의	정선군/NNP+의/JKG
문곡1리	문곡1리/NNP
등	등/NNB
4개	4/SN+개/NNB
마을도	마을/NNG+도/JX
설	설/NNG
연휴기간인	연휴/NNG+기간/NNG+이/VCP+ㄴ/ETM
19·20일	19/SN+·/SP+20/SN+일/NNB
도배식을	도배식/NNG+을/JKO
열어	열/VV+어/EC
주민	주민/NNG
화합을	화합/NNG+을/JKO
다질	다지/VV+ㄹ/ETM
참이다.	참/NNB+이/VCP+다/EF+./SF


