# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.140
metadata : {}


# id : NWRW1800000022.140.1.1
"화덕 그을음이 지구 환경을 위협한다";블랙 카본, 지구온난화 2번째 원인으로 밝혀져

"화덕	"/SS+화덕/NNG
그을음이	그을음/NNG+이/JKS
지구	지구/NNG
환경을	환경/NNG+을/JKO
위협한다";블랙	위협/NNG+하/XSV+ㄴ다/EF+"/SS+;/SP+블랙/NNG
카본,	카본/NNG+,/SP
지구온난화	지구/NNG+온난/NNG+화/XSN
2번째	2/SN+번/NNB+째/XSN
원인으로	원인/NNG+으로/JKB
밝혀져	밝혀지/VV+어/EF


# id : NWRW1800000022.140.2.1
인도 중부의 콜루아 마을은 자동차도 없고 전력도 거의 공급되지 않는 벽지(僻地) 마을이다.

인도	인도/NNP
중부의	중부/NNG+의/JKG
콜루아	콜루아/NNP
마을은	마을/NNG+은/JX
자동차도	자동차/NNG+도/JX
없고	없/VA+고/EC
전력도	전력/NNG+도/JX
거의	거의/MAG
공급되지	공급/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
벽지(僻地)	벽지/NNG+(/SS+僻地/SH+)/SS
마을이다.	마을/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.140.2.2
주민 약 1500명은 농사를 짓거나 버스로 2시간이 걸리는 인근 도시에서 노동을 하고 대개 하루 2달러(약 2700원) 정도를 번다.

주민	주민/NNG
약	약/MMA
1500명은	1500/SN+명/NNB+은/JX
농사를	농사/NNG+를/JKO
짓거나	짓/VV+거나/EC
버스로	버스/NNG+로/JKB
2시간이	2/SN+시간/NNB+이/JKS
걸리는	걸리/VV+는/ETM
인근	인근/NNG
도시에서	도시/NNG+에서/JKB
노동을	노동/NNG+을/JKO
하고	하/VV+고/EC
대개	대개/MAG
하루	하루/NNG
2달러(약	2/SN+달러/NNB+(/SS+약/MMA
2700원)	2700/SN+원/NNB+)/SS
정도를	정도/NNG+를/JKO
번다.	벌/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.3.1
이 마을에선 초저녁이 되면 사리(인도 여성들의 전통의상)를 입은 주부들이 빵을 만들기 위해 진흙으로 만든 화덕에 불을 피우기 시작한다.

이	이/MMD
마을에선	마을/NNG+에서/JKB+ㄴ/JX
초저녁이	초저녁/NNG+이/JKC
되면	되/VV+면/EC
사리(인도	사리/NNG+(/SS+인도/NNP
여성들의	여성/NNG+들/XSN+의/JKG
전통의상)를	전통/NNG+의상/NNG+)/SS+를/JKO
입은	입/VV+은/ETM
주부들이	주부/NNG+들/XSN+이/JKS
빵을	빵/NNG+을/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
진흙으로	진흙/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
화덕에	화덕/NNG+에/JKB
불을	불/NNG+을/JKO
피우기	피우/VV+기/ETN
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.3.2
나뭇가지와 곡물 찌꺼기, 동물 배설물 등을 연료로 쓴다.

나뭇가지와	나뭇가지/NNG+와/JC
곡물	곡물/NNG
찌꺼기,	찌꺼기/NNG+,/SP
동물	동물/NNG
배설물	배설물/NNG
등을	등/NNB+을/JKO
연료로	연료/NNG+로/JKB
쓴다.	쓰/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.3.3
아이들은 화덕에서 나오는 연기 때문에 콜록콜록 기침을 해대면서도 엄마 곁에 앉아 빵이 구워지기를 기다린다.

아이들은	아이/NNG+들/XSN+은/JX
화덕에서	화덕/NNG+에서/JKB
나오는	나오/VV+는/ETM
연기	연기/NNG
때문에	때문/NNB+에/JKB
콜록콜록	콜록콜록/MAG
기침을	기침/NNG+을/JKO
해대면서도	하/VV+아/EC+대/VX+면서/EC+도/JX
엄마	엄마/NNG
곁에	곁/NNG+에/JKB
앉아	앉/VV+아/EC
빵이	빵/NNG+이/JKS
구워지기를	굽/VV+어/EC+지/VX+기/ETN+를/JKO
기다린다.	기다리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.4.1
이런 시골에는 지구온난화의 주범인 이산화탄소를 배출하는 문명의 이기(利器)가 없다.

이런	이런/MMD
시골에는	시골/NNG+에/JKB+는/JX
지구온난화의	지구/NNG+온난/NNG+화/XSN+의/JKG
주범인	주범/NNG+이/VCP+ㄴ/ETM
이산화탄소를	이산화/NNG+탄소/NNG+를/JKO
배출하는	배출/NNG+하/XSV+는/ETM
문명의	문명/NNG+의/JKG
이기(利器)가	이기/NNG+(/SS+利器/SH+)/SS+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.140.4.2
따라서 사람들은 이 마을이 지구온난화와는 무관하다고 생각한다.

따라서	따라서/MAJ
사람들은	사람/NNG+들/XSN+은/JX
이	이/MMD
마을이	마을/NNG+이/JKS
지구온난화와는	지구/NNG+온난/NNG+화/XSN+와/JKB+는/JX
무관하다고	무관하/VA+다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.4.3
하지만 최근 환경전문가들은 이런 시골마을도 도시 못지않게 지구온난화에 책임이 있다고 지적한다.

하지만	하지만/MAJ
최근	최근/NNG
환경전문가들은	환경/NNG+전문가/NNG+들/XSN+은/JX
이런	이런/MMD
시골마을도	시골/NNG+마을/NNG+도/JX
도시	도시/NNG
못지않게	못지않/VA+게/EC
지구온난화에	지구/NNG+온난/NNG+화/XSN+에/JKB
책임이	책임/NNG+이/JKS
있다고	있/VA+다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.5.1
◆블랙 카본-지구 온난화의 두 번째 범인

◆블랙	◆/SW+블랙/NNG
카본-지구	카본/NNG+-/SO+지구/NNG
온난화의	온난/NNG+화/XSN+의/JKG
두	두/MMN
번째	번/NNB+째/XSN
범인	범인/NNG


# id : NWRW1800000022.140.6.1
문제는 화덕에서 나오는 검은 연기.

문제는	문제/NNG+는/JX
화덕에서	화덕/NNG+에서/JKB
나오는	나오/VV+는/ETM
검은	검/VA+은/ETM
연기.	연기/NNG+./SF


# id : NWRW1800000022.140.6.2
이 연기에는 지구온난화의 또 다른 범인인 블랙 카본(black carbon)이 들어 있다.

이	이/MMD
연기에는	연기/NNG+에/JKB+는/JX
지구온난화의	지구/NNG+온난/NNG+화/XSN+의/JKG
또	또/MAG
다른	다른/MMD
범인인	범인/NNG+이/VCP+ㄴ/ETM
블랙	블랙/NNG
카본(black	카본/NNG+(/SS+black/SL
carbon)이	carbon/SL+)/SS+이/JKS
들어	들/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.140.6.3
블랙 카본은 탄소를 함유한 연료가 불완전 연소할 때 발생하는 그을음 혹은 검댕을 말한다.

블랙	블랙/NNG
카본은	카본/NNG+은/JX
탄소를	탄소/NNG+를/JKO
함유한	함유/NNG+하/XSV+ㄴ/ETM
연료가	연료/NNG+가/JKS
불완전	불/XPN+완전/NNG
연소할	연소/NNG+하/XSA+ㄹ/ETM
때	때/NNG
발생하는	발생/NNG+하/XSV+는/ETM
그을음	그을음/NNG
혹은	혹은/MAG
검댕을	검댕/NNG+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.7.1
한 가정에서 나오는 그을음은 작은 양에 불과하지만, 인도·중국·파키스탄 등 제3세계에서 화덕을 사용하는 2000만 가정이 배출하는 블랙 카본의 양은 엄청나다.

한	한/MMN
가정에서	가정/NNG+에서/JKB
나오는	나오/VV+는/ETM
그을음은	그을음/NNG+은/JX
작은	작/VA+은/ETM
양에	양/NNG+에/JKB
불과하지만,	불과/MAG+하/XSA+지만/EC+,/SP
인도·중국·파키스탄	인도/NNP+·/SP+중국/NNP+·/SP+파키스탄/NNP
등	등/NNB
제3세계에서	제/XPN+3/SN+세계/NNG+에서/JKB
화덕을	화덕/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
2000만	2000/SN+만/NR
가정이	가정/NNG+이/JKS
배출하는	배출/NNG+하/XSV+는/ETM
블랙	블랙/NNG
카본의	카본/NNG+의/JKG
양은	양/NNG+은/JX
엄청나다.	엄청나/VA+다/EF+./SF


# id : NWRW1800000022.140.7.2
물론 다른 지역 도시에서도 디젤 자동차 등이 블랙 카본을 내뿜는다.

물론	물론/MAG
다른	다른/MMD
지역	지역/NNG
도시에서도	도시/NNG+에서/JKB+도/JX
디젤	디젤/NNG
자동차	자동차/NNG
등이	등/NNB+이/JKS
블랙	블랙/NNG
카본을	카본/NNG+을/JKO
내뿜는다.	내뿜/VV+는다/EF+./SF


# id : NWRW1800000022.140.7.3
전 세계의 블랙 카본이 지구온난화에 기여하는 비율은 무려 18%에 이른다.

전	전/MMN
세계의	세계/NNG+의/JKG
블랙	블랙/NNG
카본이	카본/NNG+이/JKS
지구온난화에	지구/NNG+온난/NNG+화/XSN+에/JKB
기여하는	기여/NNG+하/XSV+는/ETM
비율은	비율/NNG+은/JX
무려	무려/MAG
18%에	18/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.140.7.4
이는 기여도 40% 정도인 이산화탄소에 이어 두 번째로 높은 수준이라고 뉴욕타임스(NYT)가 16일 보도했다.

이는	이/NP+는/JX
기여도	기여도/NNG
40%	40/SN+%/SW
정도인	정도/NNG+이/VCP+ㄴ/ETM
이산화탄소에	이산화/NNG+탄소/NNG+에/JKB
이어	잇/VV+어/EC
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
높은	높/VA+은/ETM
수준이라고	수준/NNG+이/VCP+라고/EC
뉴욕타임스(NYT)가	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+가/JKS
16일	16/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


