# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.266
metadata : {}


# id : NWRW1800000022.266.1.1
'김정운 업적' 만들어주려다 北 시장경제 '싹'이 죽는다;인력 총동원 '150일 전투'주민들 농촌 끌려가지만 막상 할일없어 빈둥거려

'김정운	'/SS+김정운/NNP
업적'	업적/NNG+'/SS
만들어주려다	만들/VV+어/EC+주/VX+려다/EC
北	北/SH
시장경제	시장/NNG+경제/NNG
'싹'이	'/SS+싹/NNG+'/SS+이/JKS
죽는다;인력	죽/VV+는다/EF+;/SW+인력/NNG
총동원	총동원/NNG
'150일	'/SS+150/SN+일/NNB
전투'주민들	전투/NNG+'/SS+주민/NNG+들/XSN
농촌	농촌/NNG
끌려가지만	끌려가/VV+지만/EC
막상	막상/MAG
할일없어	하/VV+ㄹ/ETM+일/NNG+없/VA+어/EC
빈둥거려	빈둥거리/VV+어/EF


# id : NWRW1800000022.266.2.1
북한이 김정일 국방위원장의 후계자로 알려진 3남 김정운의 '업적 만들어주기'를 위해 지난 4월부터 주민 노동력을 총동원하는 '150일 전투'를 강행하고 있지만 오히려 북한 경제를 벼랑으로 내모는 자충수가 되고 있다는 분석이 3일 나오고 있다.

북한이	북한/NNP+이/JKS
김정일	김정일/NNP
국방위원장의	국방/NNG+위원장/NNG+의/JKG
후계자로	후계자/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
3남	3/SN+남/NNG
김정운의	김정운/NNP+의/JKG
'업적	'/SS+업적/NNG
만들어주기'를	만들/VV+어/EC+주/VX+기/ETN+'/SS+를/JKO
위해	위하/VV+아/EC
지난	지나/VV+ㄴ/ETM
4월부터	4/SN+월/NNB+부터/JX
주민	주민/NNG
노동력을	노동력/NNG+을/JKO
총동원하는	총동원/NNG+하/XSV+는/ETM
'150일	'/SS+150/SN+일/NNB
전투'를	전투/NNG+'/SS+를/JKO
강행하고	강행/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
오히려	오히려/MAG
북한	북한/NNP
경제를	경제/NNG+를/JKO
벼랑으로	벼랑/NNG+으로/JKB
내모는	내몰/VV+는/ETM
자충수가	자충수/NNG+가/JKC
되고	되/VV+고/EC
있다는	있/VX+다는/ETM
분석이	분석/NNG+이/JKS
3일	3/SN+일/NNB
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.266.3.1
노동신문은 지난달 29일 전투 개시 100일을 맞아 "(북한) 도처에서 강성대국의 대문을 두드리는 경이적인 사변과 기적적 성과가 창출되고 있다"고 했다.

노동신문은	노동신문/NNP+은/JX
지난달	지난달/NNG
29일	29/SN+일/NNB
전투	전투/NNG
개시	개시/NNG
100일을	100/SN+일/NNB+을/JKO
맞아	맞/VV+아/EC
"(북한)	"/SS+(/SS+북한/NNP+)/SS
도처에서	도처/NNG+에서/JKB
강성대국의	강성/NNG+대국/NNG+의/JKG
대문을	대문/NNG+을/JKO
두드리는	두드리/VV+는/ETM
경이적인	경이/NNG+적/XSN+이/VCP+ㄴ/ETM
사변과	사변/NNG+과/JC
기적적	기적/NNG+적/XSN
성과가	성과/NNG+가/JKS
창출되고	창출/NNG+되/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.266.3.2
그러면서 "지난 100일을 구보로 달렸다면 앞으로 50일은 습보(전력질주)로 내달리자"고 독려했다.

그러면서	그러/VV+면서/EC
"지난	"/SS+지나/VV+ㄴ/ETM
100일을	100/SN+일/NNB+을/JKO
구보로	구보/NNG+로/JKB
달렸다면	달리/VV+었/EP+다면/EC
앞으로	앞/NNG+으로/JKB
50일은	50/SN+일/NNB+은/JX
습보(전력질주)로	습보/NNG+(/SS+전력/NNG+질주/NNG+)/SS+로/JKB
내달리자"고	내달리/VV+자/EF+"/SS+고/JKQ
독려했다.	독려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.266.4.1
그러나 150일 전투의 실상은 북한 선전과는 정반대인 것으로 알려졌다.

그러나	그러나/MAJ
150일	150/SN+일/NNB
전투의	전투/NNG+의/JKG
실상은	실상/NNG+은/JX
북한	북한/NNP
선전과는	선전/NNG+과/JKB+는/JX
정반대인	정반대/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알리/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.266.4.2
중국의 대북 소식통은 이날 "보안원(경찰)들이 '누워 있는 사람 빼고 모두 농촌으로 나가라'는 당의 방침에 따라 길거리에서 사람만 보면 즉시 체포해 농촌으로 보내지만 끌려간 사람들은 빈둥거리거나 땅바닥에 누워 있다"고 전했다.

중국의	중국/NNP+의/JKG
대북	대북/NNG
소식통은	소식통/NNG+은/JX
이날	이날/NNG
"보안원(경찰)들이	"/SS+보안원/NNG+(/SS+경찰/NNG+)/SS+들/XSN+이/JKS
'누워	'/SS+눕/VV+어/EC
있는	있/VX+는/ETM
사람	사람/NNG
빼고	빼/VV+고/EC
모두	모두/MAG
농촌으로	농촌/NNG+으로/JKB
나가라'는	나가/VV+라/EF+'/SS+는/ETM
당의	당/NNG+의/JKG
방침에	방침/NNG+에/JKB
따라	따르/VV+아/EC
길거리에서	길거리/NNG+에서/JKB
사람만	사람/NNG+만/JX
보면	보/VV+면/EC
즉시	즉시/MAG
체포해	체포/NNG+하/XSV+아/EC
보내지만	보내/VV+지/EC+만/JX
끌려간	끌려가/VV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
빈둥거리거나	빈둥거리/VV+거나/EC
땅바닥에	땅바닥/NNG+에/JKB
누워	눕/VV+어/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.266.4.3
2000년대 이후 북한에선 장사를 하거나 개인 '뙈기 밭'을 일궈야 먹고살 수 있는 구조가 됐다.

2000년대	2000/SN+년대/NNB
이후	이후/NNG
북한에선	북한/NNP+에서/JKB+ㄴ/JX
장사를	장사/NNG+를/JKO
하거나	하/VV+거나/EC
