# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.415
metadata : {}


# id : NWRW1800000032.415.1.1
손학규, 한국노총에 야권통합 참여 요청

손학규,	손학규/NNP+,/SP
한국노총에	한국노총/NNP+에/JKB
야권통합	야권/NNG+통합/NNG
참여	참여/NNG
요청	요청/NNG


# id : NWRW1800000032.415.2.1
손학규 민주당 대표가 7일 이용득 한국노총 위원장을 만나 야권이 추진 중인 민주진보통합정당에 참여해 줄 것을 요청했다.

손학규	손학규/NNP
민주당	민주당/NNP
대표가	대표/NNG+가/JKS
7일	7/SN+일/NNB
이용득	이용득/NNP
한국노총	한국노총/NNP
위원장을	위원장/NNG+을/JKO
만나	만나/VV+아/EC
야권이	야권/NNG+이/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
민주진보통합정당에	민주진보통합정당/NNP+에/JKB
참여해	참여/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.415.2.2
민주당 주도의 민주진보진영 통합을 추진하고 당대회를 범야권 통합전당대회로 치르겠다고 예고한 손 대표가 범야권 통합의 첫 설득 대상으로 노동계를 택한 것이다.

민주당	민주당/NNP
주도의	주도/NNG+의/JKG
민주진보진영	민주/NNG+진보/NNG+진영/NNG
통합을	통합/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
당대회를	당/NNG+대회/NNG+를/JKO
범야권	범/XPN+야권/NNG
통합전당대회로	통합/NNG+전당/NNG+대회/NNG+로/JKB
치르겠다고	치르/VV+겠/EP+다고/EC
예고한	예고/NNG+하/XSV+ㄴ/ETM
손	손/NNP
대표가	대표/NNG+가/JKS
통합의	통합/NNG+의/JKG
첫	첫/MMN
설득	설득/NNG
대상으로	대상/NNG+으로/JKB
노동계를	노동/NNG+계/XSN+를/JKO
택한	택하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.415.3.1
손 대표는 이날 낮 서울 여의도 렉싱턴 호텔에서 이 위원장과 한국노총 간부들을 만나 “민주진보진영의 통합을 위한 대표자 연석회의를 이른 시일 안에 진행할 생각”이라며 “이 위원장께서 노동계를 대표해서 연석회의에 참석해주셨으면 한다”고 제안했다.

손	손/NNP
대표는	대표/NNG+는/JX
이날	이날/NNG
낮	낮/NNG
서울	서울/NNP
여의도	여의도/NNP
렉싱턴	렉싱턴/NNP
호텔에서	호텔/NNG+에서/JKB
이	이/NNP
위원장과	위원장/NNG+과/JC
한국노총	한국노총/NNP
간부들을	간부/NNG+들/XSN+을/JKO
만나	만나/VV+아/EC
“민주진보진영의	“/SS+민주/NNG+진보/NNG+진영/NNG+의/JKG
통합을	통합/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대표자	대표자/NNG
연석회의를	연석회의/NNG+를/JKO
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
안에	안/NNG+에/JKB
진행할	진행/NNG+하/XSV+ㄹ/ETM
생각”이라며	생각/NNG+”/SS+이/VCP+라며/EC
“이	“/SS+이/NNP
위원장께서	위원장/NNG+께서/JKS
노동계를	노동/NNG+계/XSN+를/JKO
대표해서	대표/NNG+하/XSV+아서/EC
연석회의에	연석회의/NNG+에/JKB
참석해주셨으면	참석/NNG+하/XSV+아/EC+주/VX+시/EP+었/EP+으면/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.415.3.2
손 대표는 또 “우리가 진정으로 수권정당이 되기 위해서는 노동세력이 반드시 결합해야 한다”며 “(통합정당은) 노동조합의 현안인 ‘노동조합 전임자 임금지급 금지 문제’와 ‘복수노조 교섭창구 강제 단일화’ 등 현안 문제를 당론으로 정해 반드시 철회시키겠다”고 약속했다.

손	손/NNP
대표는	대표/NNG+는/JX
또	또/MAG
“우리가	“/SS+우리/NP+가/JKS
진정으로	진정/NNG+으로/JKB
수권정당이	수권/NNG+정당/NNG+이/JKC
되기	되/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
노동세력이	노동/NNG+세력/NNG+이/JKS
반드시	반드시/MAG
결합해야	결합/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“(통합정당은)	“/SS+(/SS+통합/NNG+정당/NNG+은/JX+)/SS
노동조합의	노동조합/NNG+의/JKG
현안인	현안/NNG+이/VCP+ㄴ/ETM
‘노동조합	‘/SS+노동조합/NNG
전임자	전임자/NNG
임금지급	임금/NNG+지급/NNG
금지	금지/NNG
문제’와	문제/NNG+’/SS+와/JC
‘복수노조	‘/SS+복수/NNG+노조/NNG
교섭창구	교섭/NNG+창구/NNG
강제	강제/NNG
단일화’	단일/NNG+화/XSN+’/SS
등	등/NNB
현안	현안/NNG
문제를	문제/NNG+를/JKO
당론으로	당론/NNG+으로/JKB
정해	정하/VV+아/EC
철회시키겠다”고	철회/NNG+시키/XSV+겠/EP+다/EF+”/SS+고/JKQ
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.415.4.1
이에 이 위원장은 “그동안 한국노총이 이런저런 정치적인 시도를 했지만, 결국 실질적인 정치참여가 없는 정책연합은 단순한 노정협의에도 못 미쳤다”며 “아직 참여가 결정되지 않았지만, 어떻게든지 (야권통합정당에) 참여해 권한과 책임을 나눠갖고 싶다”고 화답했다.

이에	이/NP+에/JKB
이	이/NNP
위원장은	위원장/NNG+은/JX
“그동안	“/SS+그동안/NNG
한국노총이	한국노총/NNP+이/JKS
이런저런	이런저런/MMD
정치적인	정치/NNG+적/XSN+이/VCP+ㄴ/ETM
시도를	시도/NNG+를/JKO
했지만,	하/VV+았/EP+지만/EC+,/SP
결국	결국/MAG
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
정치참여가	정치/NNG+참여/NNG+가/JKS
없는	없/VA+는/ETM
정책연합은	정책/NNG+연합/NNG+은/JX
단순한	단순/NNG+하/XSA+ㄴ/ETM
노정협의에도	노정/NNG+협의/NNG+에/JKB+도/JX
못	못/MAG
미쳤다”며	미치/VV+었/EP+다/EF+”/SS+며/EC
“아직	“/SS+아직/MAG
참여가	참여/NNG+가/JKS
결정되지	결정/NNG+되/XSV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
어떻게든지	어떻/VA+게/EC+든지/JX
(야권통합정당에)	(/SS+야권/NNG+통합/NNG+정당/NNG+에/JKB+)/SS
참여해	참여/NNG+하/XSV+아/EC
권한과	권한/NNG+과/JC
책임을	책임/NNG+을/JKO
나눠갖고	나누/VV+어/EC+갖/VX+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.415.4.2
한노총은 조만간 통합정당 결합에 대한 의견 수렴에 나설 예정이며, 이미 상당한 교감이 이뤄진 상태라 통합정당 참여에 큰 걸림돌은 없을 것으로 전망된다.

한노총은	한노총/NNP+은/JX
조만간	조만간/MAG
통합정당	통합/NNG+정당/NNG
결합에	결합/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견	의견/NNG
수렴에	수렴/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
이미	이미/MAG
상당한	상당/NNG+하/XSA+ㄴ/ETM
교감이	교감/NNG+이/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
상태라	상태/NNG+이/VCP+라/EC
참여에	참여/NNG+에/JKB
큰	크/VA+ㄴ/ETM
걸림돌은	걸림돌/NNG+은/JX
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.415.4.3
지난 2월 한나라당과 정책연대 파기를 선언한 한국노총은 지난 10·26 서울시장 보궐선거 때도 박원순 후보 선대위에 수석부위원장이 참여하는 등 야권통합에 적극적인 태도를 보여왔다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
한나라당과	한나라당/NNP+과/JC
정책연대	정책/NNG+연대/NNG
파기를	파기/NNG+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
한국노총은	한국노총/NNP+은/JX
10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거	보궐/NNG+선거/NNG
때도	때/NNG+도/JX
박원순	박원순/NNP
후보	후보/NNG
선대위에	선대위/NNG+에/JKB
수석부위원장이	수석/NNG+부위원장/NNG+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
등	등/NNB
야권통합에	야권/NNG+통합/NNG+에/JKB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
태도를	태도/NNG+를/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


