# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.240
metadata : {}


# id : NWRW1800000026.240.1.1
[부산·경남] 통합 창원시 새 도시계획 수립

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
통합	통합/NNG
창원시	창원시/NNP
새	새/MMA
도시계획	도시/NNG+계획/NNG
수립	수립/NNG


# id : NWRW1800000026.240.2.1
통합 창원시가 옛 창원·마산·진해지역을 아우르는 도시기본계획 수립에 나선다.

통합	통합/NNG
창원시가	창원시/NNP+가/JKS
옛	옛/MMA
창원·마산·진해지역을	창원/NNP+·/SP+마산/NNP+·/SP+진해/NNP+지역/NNG+을/JKO
아우르는	아우르/VV+는/ETM
도시기본계획	도시/NNG+기본/NNG+계획/NNG
수립에	수립/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.240.3.1
창원시는 통합시 장기발전계획 수립 및 지역별 균형발전과 특성화 전략 수립 등을 위한 용역을 오는 10월 발주할 계획이라고 19일 밝혔다.

창원시는	창원시/NNP+는/JX
통합시	통합/NNG+시/NNG
장기발전계획	장기/NNG+발전/NNG+계획/NNG
수립	수립/NNG
및	및/MAG
지역별	지역/NNG+별/XSN
균형발전과	균형/NNG+발전/NNG+과/JC
특성화	특성/NNG+화/XSN
전략	전략/NNG
등을	등/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
용역을	용역/NNG+을/JKO
오는	오/VV+는/ETM
10월	10/SN+월/NNB
발주할	발주/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
19일	19/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.240.4.1
도시기본계획 수립과 관련, 구역은 옛 창원시 296㎢, 마산시 432㎢, 진해시 134㎢ 등 863㎢를 대상으로 하며, 목표연도는 2025년이다.

도시기본계획	도시/NNG+기본/NNG+계획/NNG
수립과	수립/NNG+과/JKB
관련,	관련/NNG+,/SP
구역은	구역/NNG+은/JX
옛	옛/MMA
창원시	창원시/NNP
296㎢,	296/SN+㎢/SW+,/SP
마산시	마산시/NNP
432㎢,	432/SN+㎢/SW+,/SP
진해시	진해시/NNP
134㎢	134/SN+㎢/SW
등	등/NNB
863㎢를	863/SN+㎢/SW+를/JKO
대상으로	대상/NNG+으로/JKB
하며,	하/VV+며/EC+,/SP
목표연도는	목표/NNG+연도/NNG+는/JX
2025년이다.	2025/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.240.4.2
