# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.241
metadata : {}


# id : NWRW1800000026.241.1.1
[인천·부천] '항공·유비쿼터스·가사' 특성화고 3곳 지정

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
'항공·유비쿼터스·가사'	'/SS+항공/NNG+·/SP+유비쿼터스/NNG+·/SP+가사/NNG+'/SS
특성화고	특성화고/NNG
3곳	3/SN+곳/NNG
지정	지정/NNG


# id : NWRW1800000026.241.2.1
인천시내 3개 고등학교가 특성화고교로 새로 지정됐다.

인천시내	인천시/NNP+내/NNB
3개	3/SN+개/NNB
고등학교가	고등학교/NNG+가/JKS
특성화고교로	특성/NNG+화/XSN+고교/NNG+로/JKB
새로	새로/MAG
지정됐다.	지정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.241.2.2
특성화고란 산업화사회의 변화에 맞춰 전문적이고 특성이 있는 교육 과정을 운영함으로써 해당 분야의 전문 인력을 키우기 위한 목적으로 지정·운영하는 고등학교를 말한다.

특성화고란	특성화고/NNG+란/JX
산업화사회의	산업/NNG+화/XSN+사회/NNG+의/JKG
변화에	변화/NNG+에/JKB
맞춰	맞추/VV+어/EC
전문적이고	전문/NNG+적/XSN+이/VCP+고/EC
특성이	특성/NNG+이/JKS
있는	있/VA+는/ETM
교육	교육/NNG
과정을	과정/NNG+을/JKO
운영함으로써	운영/NNG+하/XSV+ㅁ/ETN+으로써/JKB
해당	해당/NNG
분야의	분야/NNG+의/JKG
전문	전문/NNG
인력을	인력/NNG+을/JKO
키우기	키우/VV+기/ETN
위한	위하/VV+ㄴ/ETM
목적으로	목적/NNG+으로/JKB
지정·운영하는	지정/NNG+·/SP+운영/NNG+하/XSV+는/ETM
고등학교를	고등학교/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.241.3.1
인천시교육청은 인천생활과학고를 가사 분야, 정석항공공업고를 항공 분야, 대헌공업고를 유비쿼터스도시(U-City) 산업 분야의 특성화고로 새로 지정해 내년부터 운영키로 했다고 20일 밝혔다.

인천시교육청은	인천시교육청/NNP+은/JX
인천생활과학고를	인천생활과학고/NNP+를/JKO
가사	가사/NNG
분야,	분야/NNG+,/SP
정석항공공업고를	정석항공공업고/NNP+를/JKO
항공	항공/NNG
대헌공업고를	대헌공업고/NNP+를/JKO
유비쿼터스도시(U-City)	유비쿼터스/NNG+도시/NNG+(/SS+U/SL+-/SO+City/SL+)/SS
산업	산업/NNG
분야의	분야/NNG+의/JKG
특성화고로	특성화고/NNG+로/JKB
새로	새로/MAG
지정해	지정/NNG+하/XSV+아/EC
내년부터	내년/NNG+부터/JX
운영키로	운영/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
20일	20/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.241.3.2
이에 따라 인천에는 이전에 지정된 18곳을 포함해 모두 21곳의 학교가 특성화고교로 지정·운영된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
인천에는	인천/NNP+에/JKB+는/JX
이전에	이전/NNG+에/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
18곳을	18/SN+곳/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
모두	모두/MAG
21곳의	21/SN+곳/NNG+의/JKG
학교가	학교/NNG+가/JKS
특성화고교로	특성/NNG+화/XSN+고교/NNG+로/JKB
지정·운영된다.	지정/NNG+·/SP+운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.241.3.3
이는 전체 전문계고 29곳의 72.4%이다.

이는	이/NP+는/JX
전체	전체/NNG
전문계고	전문계고/NNG
29곳의	29/SN+곳/NNG+의/JKG
72.4%이다.	72/SN+./SP+4/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000026.241.4.1
시교육청은 이번에 새로 지정한 3개 학교에 앞으로 3년 동안 모두 5억8000여만원의 기자재 구입비를 지원할 방침이다.

시교육청은	시/NNG+교육청/NNG+은/JX
이번에	이번/NNG+에/JKB
새로	새로/MAG
지정한	지정/NNG+하/XSV+ㄴ/ETM
3개	3/SN+개/NNB
학교에	학교/NNG+에/JKB
앞으로	앞/NNG+으로/JKB
3년	3/SN+년/NNB
동안	동안/NNG
모두	모두/MAG
5억8000여만원의	5/SN+억/NR+8000/SN+여/XSN+만/NR+원/NNB+의/JKG
기자재	기자재/NNG
구입비를	구입비/NNG+를/JKO
지원할	지원/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.241.4.2
이에 맞춰 이들 학교에서는 특성화 학과를 중심으로 현재 운영 중인 여러 학과를 통폐합하거나 특성화 학과를 많이 늘리고 다른 학과는 줄이는 등의 변화가 생긴다.

이에	이/NP+에/JKB
맞춰	맞추/VV+어/EC
이들	이/NP+들/XSN
학교에서는	학교/NNG+에서/JKB+는/JX
특성화	특성/NNG+화/XSN
학과를	학과/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
현재	현재/MAG
운영	운영/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
여러	여러/MMN
통폐합하거나	통폐합/NNG+하/XSV+거나/EC
많이	많이/MAG
늘리고	늘리/VV+고/EC
다른	다른/MMD
학과는	학과/NNG+는/JX
줄이는	줄이/VV+는/ETM
등의	등/NNB+의/JKG
변화가	변화/NNG+가/JKS
생긴다.	생기/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.241.4.3
또 학과 내용 등의 교육 과정도 특성화 과목을 강화하는 쪽으로 다시 짜인다.

또	또/MAG
학과	학과/NNG
내용	내용/NNG
등의	등/NNB+의/JKG
교육	교육/NNG
과정도	과정/NNG+도/JX
특성화	특성/NNG+화/XSN
과목을	과목/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
쪽으로	쪽/NNB+으로/JKB
다시	다시/MAG
짜인다.	짜이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.241.5.1
한편 이날 시교육청은 현재 군전문병 특성화고인 도화기계공고의 관련 학과 학생수를 50명에서 120명으로 늘렸다.

한편	한편/MAG
이날	이날/NNG
시교육청은	시/NNG+교육청/NNG+은/JX
현재	현재/MAG
군전문병	군/NNG+전문병/NNG
특성화고인	특성화고/NNG+이/VCP+ㄴ/ETM
도화기계공고의	도화기계공고/NNP+의/JKG
관련	관련/NNG
학과	학과/NNG
학생수를	학생/NNG+수/NNG+를/JKO
50명에서	50/SN+명/NNB+에서/JKB
120명으로	120/SN+명/NNB+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.241.5.2
또 유비쿼터스와 로봇 분야 특성화고인 인천여자공고를 정보통신(IT)·유비쿼터스(U)·로봇 분야의 특성화고로 확대 지정하고 관련 학과수도 3개에서 4개로 늘려 내년부터 운영키로 했다.

또	또/MAG
유비쿼터스와	유비쿼터스/NNG+와/JC
로봇	로봇/NNG
분야	분야/NNG
특성화고인	특성화고/NNG+이/VCP+ㄴ/ETM
인천여자공고를	인천여자공고/NNP+를/JKO
정보통신(IT)·유비쿼터스(U)·로봇	정보/NNG+통신/NNG+(/SS+IT/SL+)/SS+·/SP+유비쿼터스/NNG+(/SS+U/SL+)/SS+·/SP+로봇/NNG
분야의	분야/NNG+의/JKG
특성화고로	특성화고/NNG+로/JKB
확대	확대/NNG
지정하고	지정/NNG+하/XSV+고/EC
관련	관련/NNG
학과수도	학과/NNG+수/NNG+도/JX
3개에서	3/SN+개/NNB+에서/JKB
4개로	4/SN+개/NNB+로/JKB
늘려	늘리/VV+어/EC
내년부터	내년/NNG+부터/JX
운영키로	운영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.241.5.3
자세한 내용은 시교육청 정보직업교육과(☎420-8143)로 물어보면 된다.

자세한	자세하/VA+ㄴ/ETM
내용은	내용/NNG+은/JX
시교육청	시/NNG+교육청/NNG
정보직업교육과(☎420-8143)로	정보/NNG+직업/NNG+교육과/NNG+(/SS+☎/SW+420/SN+-/SO+8143/SN+)/SS+로/JKB
물어보면	물어보/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


