# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.210
metadata : {}


# id : NWRW1800000032.210.1.1
민청학련 계기 유신 맞서 ‘민주 투사들의 동반자로’

민청학련	민청학련/NNP
계기	계기/NNG
유신	유신/NNG
맞서	맞서/VV+어/EC
‘민주	‘/SS+민주/NNG
투사들의	투사/NNG+들/XSN+의/JKG
동반자로’	동반자/NNG+로/JKB+’/SS


# id : NWRW1800000032.210.2.1
이돈명 인권변호사 별세

이돈명	이돈명/NNP
인권변호사	인권/NNG+변호사/NNG
별세	별세/NNG


# id : NWRW1800000032.210.3.1
‘인권변호사의 대부’로 추앙받아온 ‘범아’ 이돈명 선생의 별칭이자 애칭은 뜻밖에도 ‘촌놈’이다.

‘인권변호사의	‘/SS+인권/NNG+변호사/NNG+의/JKG
대부’로	대부/NNG+’/SS+로/JKB
추앙받아온	추앙/NNG+받/XSV+아/EC+오/VX+ㄴ/ETM
‘범아’	‘/SS+범아/NNP+’/SS
이돈명	이돈명/NNP
선생의	선생/NNG+의/JKG
별칭이자	별칭/NNG+이/VCP+자/EC
애칭은	애칭/NNG+은/JX
뜻밖에도	뜻밖에/MAG+도/JX
‘촌놈’이다.	‘/SS+촌놈/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000032.210.3.2
빈농의 아들로 태어나 ‘무지렁이 농군’으로 살아갈 뻔했던 그의 이력 때문이 아니다.

빈농의	빈농/NNG+의/JKG
아들로	아들/NNG+로/JKB
태어나	태어나/VV+아/EC
‘무지렁이	‘/SS+무지렁이/NNG
농군’으로	농군/NNG+’/SS+으로/JKB
살아갈	살아가/VV+ㄹ/ETM
뻔했던	뻔/NNB+하/XSA+았/EP+던/ETM
그의	그/NP+의/JKG
이력	이력/NNG
때문이	때문/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000032.210.3.3
독재와 억압의 시대에 칼날 위를 걸어야 했던 모든 양심수들에게 온몸으로 방패가 되어 준 그 우직한 품성을 달리 표현할 말이 없어서다.

독재와	독재/NNG+와/JC
억압의	억압/NNG+의/JKG
시대에	시대/NNG+에/JKB
칼날	칼날/NNG
위를	위/NNG+를/JKO
걸어야	걷/VV+어야/EC
했던	하/VX+았/EP+던/ETM
모든	모든/MMN
양심수들에게	양심수/NNG+들/XSN+에게/JKB
온몸으로	온몸/NNG+으로/JKB
방패가	방패/NNG+가/JKC
되어	되/VV+어/EC
준	주/VX+ㄴ/ETM
그	그/MMD
우직한	우직하/VA+ㄴ/ETM
품성을	품성/NNG+을/JKO
달리	달리/MAG
표현할	표현/NNG+하/XSV+ㄹ/ETM
말이	말/NNG+이/JKS
없어서다.	없/VA+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000032.210.4.1
초등학교만 나와 오로지 독학으로 서른이 넘어 고시에 합격한 그는 탄탄한 입신양명의 길을 버리고 1970년대 스스로 반유신의 가시밭길로 뛰어들었다.

초등학교만	초등학교/NNG+만/JX
나와	나오/VV+아/EC
오로지	오로지/MAG
독학으로	독학/NNG+으로/JKB
서른이	서른/NR+이/JKS
넘어	넘/VV+어/EC
고시에	고시/NNG+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
탄탄한	탄탄하/VA+ㄴ/ETM
입신양명의	입신양명/NNG+의/JKG
길을	길/NNG+을/JKO
버리고	버리/VV+고/EC
1970년대	1970/SN+년대/NNB
스스로	스스로/MAG
반유신의	반/XPN+유신/NNG+의/JKG
가시밭길로	가시밭길/NNG+로/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.210.4.2
