# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.65
metadata : {}


# id : NWRW1800000038.65.1.1
맥주, 맛있게 먹고 싶은가 빨리 따르고 거품 버려라

맥주,	맥주/NNG+,/SP
맛있게	맛있/VA+게/EC
먹고	먹/VV+고/EC
싶은가	싶/VX+은가/EF
빨리	빨리/MAG
따르고	따르/VV+고/EC
거품	거품/NNG
버려라	버리/VV+어라/EF


# id : NWRW1800000038.65.2.1
'세계적 생맥주 마스터' 프랭크 에버스

'세계적	'/SS+세계/NNG+적/XSN
생맥주	생/XPN+맥주/NNG
마스터'	마스터/NNG+'/SS
프랭크	프랭크/NNP
에버스	에버스/NNP


# id : NWRW1800000038.65.3.1
프랭크 에버스(Evers·44)씨는 세계적 맥주회사 하이네켄의 '글로벌 드래프트(생맥주) 마스터'이다.

프랭크	프랭크/NNP
에버스(Evers·44)씨는	에버스/NNP+(/SS+Evers/SL+·/SP+44/SN+)/SS+씨/NNB+는/JX
세계적	세계/NNG+적/XSN
맥주회사	맥주/NNG+회사/NNG
하이네켄의	하이네켄/NNP+의/JKG
'글로벌	'/SS+글로벌/NNG
드래프트(생맥주)	드래프트/NNG+(/SS+생/XPN+맥주/NNG+)/SS
마스터'이다.	마스터/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.65.3.2
세계를 돌며 각국 하이네켄 직원과 맥줏집 주인들에게 '완벽한 한 잔의 맥주' 따르는 방법과 원리를 가르치는 것이 그의 일이다.

세계를	세계/NNG+를/JKO
돌며	돌/VV+며/EC
각국	각국/NNG
하이네켄	하이네켄/NNP
직원과	직원/NNG+과/JC
맥줏집	맥줏집/NNG
주인들에게	주인/NNG+들/XSN+에게/JKB
'완벽한	'/SS+완벽/NNG+하/XSA+ㄴ/ETM
한	한/MMN
잔의	잔/NNG+의/JKG
맥주'	맥주/NNG+'/SS
따르는	따르/VV+는/ETM
방법과	방법/NNG+과/JC
원리를	원리/NNG+를/JKO
가르치는	가르치/VV+는/ETM
것이	것/NNB+이/JKS
그의	그/NP+의/JKG
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.65.3.3
그는 "고향 네덜란드에서 술집을 운영하면서 맥주 따르는 방식에 따라 맛이 바뀐다는 것을 알게 됐고, 맥주 따르는 법을 연구해왔다"고 했다.

그는	그/NP+는/JX
"고향	"/SS+고향/NNG
네덜란드에서	네덜란드/NNP+에서/JKB
술집을	술집/NNG+을/JKO
운영하면서	운영/NNG+하/XSV+면서/EC
맥주	맥주/NNG
따르는	따르/VV+는/ETM
방식에	방식/NNG+에/JKB
따라	따르/VV+아/EC
맛이	맛/NNG+이/JKS
바뀐다는	바뀌/VV+ㄴ다는/ETM
것을	것/NNB+을/JKO
알게	알/VV+게/EC
됐고,	되/VV+었/EP+고/EC+,/SP
법을	법/NNB+을/JKO
연구해왔다"고	연구/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.65.3.4
맛있는 맥주 따르는 법을 한국 하이네켄 직원과 맥줏집 주인들에게 교육하러 한국을 찾은 에버스씨를 18일 서울 대치동 하이네켄 한국 본사에서 만났다.

맛있는	맛있/VA+는/ETM
맥주	맥주/NNG
따르는	따르/VV+는/ETM
법을	법/NNB+을/JKO
한국	한국/NNP
하이네켄	하이네켄/NNP
직원과	직원/NNG+과/JC
맥줏집	맥줏집/NNG
주인들에게	주인/NNG+들/XSN+에게/JKB
교육하러	교육/NNG+하/XSV+러/EC
한국을	한국/NNP+을/JKO
찾은	찾/VV+은/ETM
에버스씨를	에버스/NNP+씨/NNB+를/JKO
18일	18/SN+일/NNB
서울	서울/NNP
대치동	대치동/NNP
본사에서	본사/NNG+에서/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.65.4.1
―맥주를 서빙할 때 가장 중요한 것은 무엇인가.

―맥주를	―/SS+맥주/NNG+를/JKO
서빙할	서빙/NNG+하/XSV+ㄹ/ETM
때	때/NNG
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
무엇인가.	무엇/NP+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000038.65.5.1
"'헤드(head)'라고 부르는 맥주 위에 얹어지는 거품이다.

"'헤드(head)'라고	"/SS+'/SS+헤드/NNG+(/SS+head/SL+)/SS+'/SS+라고/JKQ
부르는	부르/VV+는/ETM
맥주	맥주/NNG
위에	위/NNG+에/JKB
얹어지는	얹/VV+어/EC+지/VX+는/ETM
거품이다.	거품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.65.5.2
맥주와 공기 접촉을 차단해 맥주의 산화를 더디게 한다.

맥주와	맥주/NNG+와/JC
공기	공기/NNG
접촉을	접촉/NNG+을/JKO
차단해	차단/NNG+하/XSV+아/EC
맥주의	맥주/NNG+의/JKG
산화를	산화/NNG+를/JKO
더디게	더디/VA+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.65.5.3
맥주가 산화하면 신선한 맛이 떨어지고 텁텁해진다."

맥주가	맥주/NNG+가/JKS
산화하면	산화/NNG+하/XSV+면/EC
신선한	신선하/VA+ㄴ/ETM
맛이	맛/NNG+이/JKS
떨어지고	떨어지/VV+고/EC
텁텁해진다."	텁텁하/VA+아/EC+지/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000038.65.6.1
―이상적인 헤드 기준이 있나.

―이상적인	―/SS+이상/NNG+적/XSN+이/VCP+ㄴ/ETM
헤드	헤드/NNG
기준이	기준/NNG+이/JKS
있나.	있/VA+나/EF+./SF


# id : NWRW1800000038.65.7.1
"250mL 잔 기준 처음 따랐을 때 높이가 2.5㎝라야 한다.

"250mL	"/SS+250/SN+mL/SW
잔	잔/NNG
기준	기준/NNG
처음	처음/NNG
따랐을	따르/VV+았/EP+을/ETM
때	때/NNG
높이가	높이/NNG+가/JKS
2.5㎝라야	2/SN+./SP+5/SN+㎝/SW+이/VCP+라야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.65.7.2
보통 2.5~3㎝ 정도면 된다.

보통	보통/MAG
2.5~3㎝	2/SN+./SP+5/SN+~/SO+3/SN+㎝/SW
정도면	정도/NNG+이/VCP+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.7.3
거품이 275초(4분 35초) 동안 사라지지 않는 게 좋다."

거품이	거품/NNG+이/JKS
275초(4분	275/SN+초/NNB+(/SS+4/SN+분/NNB
35초)	35/SN+초/NNB+)/SS
동안	동안/NNG
사라지지	사라지/VV+지/EC
않는	않/VX+는/ETM
게	거/NNB+이/JKS
좋다."	좋/VA+다/EF+./SF+"/SS


# id : NWRW1800000038.65.8.1
―어떻게 따라야 이상적인 헤드를 만드나.

―어떻게	―/SS+어떻/VA+게/EC
따라야	따르/VV+아야/EC
이상적인	이상/NNG+적/XSN+이/VCP+ㄴ/ETM
헤드를	헤드/NNG+를/JKO
만드나.	만들/VV+나/EF+./SF


# id : NWRW1800000038.65.9.1
"깨끗하고 차가운 잔에 따라야 한다.

"깨끗하고	"/SS+깨끗하/VA+고/EC
차가운	차갑/VA+ㄴ/ETM
잔에	잔/NNG+에/JKB
따라야	따르/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.65.9.2
잔에 기름때나 이물질이 묻어있으면 거품이 빨리 없어진다.

잔에	잔/NNG+에/JKB
기름때나	기름때/NNG+나/JC
이물질이	이물질/NNG+이/JKS
묻어있으면	묻/VV+어/EC+있/VX+으면/EC
거품이	거품/NNG+이/JKS
빨리	빨리/MAG
없어진다.	없어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.9.3
잔이 미지근해도 마찬가지다.

잔이	잔/NNG+이/JKS
미지근해도	미지근하/VA+아도/EC
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.65.9.4
맥주를 따르기 전 반드시 잔이 깨끗한지 확인하고, 찬물로 깨끗이 닦고 물기를 턴다.

맥주를	맥주/NNG+를/JKO
따르기	따르/VV+기/ETN
전	전/NNG
반드시	반드시/MAG
잔이	잔/NNG+이/JKS
깨끗한지	깨끗하/VA+ㄴ지/EC
확인하고,	확인/NNG+하/XSV+고/EC+,/SP
찬물로	찬물/NNG+로/JKB
깨끗이	깨끗이/MAG
닦고	닦/VV+고/EC
물기를	물/NNG+기/XSN+를/JKO
턴다.	털/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.9.5
잔을 약 45도 각도로 기울인다.

잔을	잔/NNG+을/JKO
약	약/MMA
45도	45/SN+도/NNB
각도로	각도/NNG+로/JKB
기울인다.	기울이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.9.6
맥주잔과 일정 간격을 유지하면서 빠르게 따라 잔을 채운다.

맥주잔과	맥주잔/NNG+과/JC
일정	일정/NNG
간격을	간격/NNG+을/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
빠르게	빠르/VA+게/EC
따라	따르/VV+아/EC
잔을	잔/NNG+을/JKO
채운다.	채우/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.9.7
천천히 따르면 이산화탄소가 많이 빠진다.

천천히	천천히/MAG
따르면	따르/VV+면/EC
이산화탄소가	이산화/NNG+탄소/NNG+가/JKS
많이	많이/MAG
빠진다.	빠지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.9.8
잔이 거의 가득 찼을 때 직각으로 세운다.

잔이	잔/NNG+이/JKS
거의	거의/MAG
가득	가득/MAG
찼을	차/VV+았/EP+을/ETM
때	때/NNG
직각으로	직각/NNG+으로/JKB
세운다.	세우/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.9.9
거품이 올라오다 넘치기 직전 따르기를 멈춘다.

거품이	거품/NNG+이/JKS
올라오다	올라오/VV+다/EC
넘치기	넘치/VV+기/ETN
직전	직전/NNG
따르기를	따르/VV+기/ETN+를/JKO
멈춘다.	멈추/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.9.10
잔 윗부분을 스키머(skimmer·맥주 거품을 훑어 제거하는 도구)나 나이프를 이용해 수평으로 훑어 흘러내리도록 한다.

잔	잔/NNG
윗부분을	윗부분/NNG+을/JKO
스키머(skimmer·맥주	스키머/NNG+(/SS+skimmer/SL+·/SP+맥주/NNG
거품을	거품/NNG+을/JKO
훑어	훑/VV+어/EC
제거하는	제거/NNG+하/XSV+는/ETM
도구)나	도구/NNG+)/SS+나/JC
나이프를	나이프/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
수평으로	수평/NNG+으로/JKB
흘러내리도록	흘러내리/VV+도록/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.9.11
그러면 아래에서 촘촘하고 단단한 거품이 다시 올라오면서 보기 좋게 봉긋한 헤드가 완성된다."

그러면	그러면/MAJ
아래에서	아래/NNG+에서/JKB
촘촘하고	촘촘하/VA+고/EC
단단한	단단하/VA+ㄴ/ETM
거품이	거품/NNG+이/JKS
다시	다시/MAG
올라오면서	올라오/VV+면서/EC
보기	보/VV+기/ETN
좋게	좋/VA+게/EC
봉긋한	봉긋/MAG+하/XSA+ㄴ/ETM
헤드가	헤드/NNG+가/JKS
완성된다."	완성/NNG+되/XSV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000038.65.10.1
―거품도 맥주다.

―거품도	―/SS+거품/NNG+도/JX
맥주다.	맥주/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.65.10.2
맥주를 버리란 소린가.

맥주를	맥주/NNG+를/JKO
버리란	버리/VV+란/ETM
소린가.	소리/NNG+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000038.65.11.1
"술집 주인들도 아까워한다.

"술집	"/SS+술집/NNG
주인들도	주인/NNG+들/XSN+도/JX
아까워한다.	아까워하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.65.11.2
하지만 이 거품 맨 윗부분에 텁텁한 쓴맛과 쇠맛을 연상시키는 시큼한 맛이 들어있다."

하지만	하지만/MAJ
이	이/MMD
거품	거품/NNG
