# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.187
metadata : {}


# id : NWRW1800000037.187.1.1
전입신고 어렵고… 중개료 3배… 오피스텔 세입자는 서럽다

전입신고	전입/NNG+신고/NNG
어렵고…	어렵/VA+고/EC+…/SE
중개료	중개료/NNG
3배…	3/SN+배/NNG+…/SE
오피스텔	오피스텔/NNG
세입자는	세입자/NNG+는/JX
서럽다	서럽/VA+다/EF


# id : NWRW1800000037.187.2.1
혼기를 넘긴 미혼의 남모 씨(37).

혼기를	혼기/NNG+를/JKO
넘긴	넘기/VV+ㄴ/ETM
미혼의	미혼/NNG+의/JKG
남모	남/NNP+모/NP
씨(37).	씨/NNB+(/SS+37/SN+)/SS+./SF


# id : NWRW1800000037.187.2.2
올해부터 부모 집에서 나와 오피스텔에서 화려하게 ‘싱글 라이프’를 시작하려다 최근 난관에 부닥쳤다.

올해부터	올해/NNG+부터/JX
부모	부모/NNG
집에서	집/NNG+에서/JKB
나와	나오/VV+아/EC
오피스텔에서	오피스텔/NNG+에서/JKB
화려하게	화려하/VA+게/EC
‘싱글	‘/SS+싱글/NNG
라이프’를	라이프/NNG+’/SS+를/JKO
시작하려다	시작/NNG+하/XSV+려다/EC
최근	최근/NNG
난관에	난관/NNG+에/JKB
부닥쳤다.	부닥치/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.187.2.3
한 달 동안 발품을 팔아 직장인 서울 을지로에서 가까운 종로, 광화문, 마포, 용산 일대 50여 곳의 오피스텔 전세 매물을 알아봤지만 전입신고를 허락해 주는 곳이 단 한 곳도 없었다.

한	한/MMN
달	달/NNB
동안	동안/NNG
발품을	발품/NNG+을/JKO
팔아	팔/VV+아/EC
직장인	직장/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
을지로에서	을지로/NNP+에서/JKB
가까운	가깝/VA+ㄴ/ETM
종로,	종로/NNP+,/SP
광화문,	광화문/NNP+,/SP
마포,	마포/NNP+,/SP
용산	용산/NNP
일대	일대/NNG
50여	50/SN+여/XSN
곳의	곳/NNG+의/JKG
오피스텔	오피스텔/NNG
전세	전세/NNG
매물을	매물/NNG+을/JKO
알아봤지만	알아보/VV+았/EP+지만/EC
전입신고를	전입/NNG+신고/NNG+를/JKO
허락해	허락/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
곳이	곳/NNG+이/JKS
단	단/MMA
곳도	곳/NNG+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.187.2.4
전입신고를 하면 집주인이 세금을 더 내야 한다는 이유에서였다.

전입신고를	전입/NNG+신고/NNG+를/JKO
하면	하/VV+면/EC
집주인이	집주인/NNG+이/JKS
세금을	세금/NNG+을/JKO
더	더/MAG
내야	내/VV+어야/EC
