# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.369
metadata : {}


# id : NWRW1800000041.369.1.1
산업부 “노무현정부 해외자원개발 1조2815억 손실”

산업부	산업부/NNG
“노무현정부	“/SS+노무현/NNP+정부/NNG
해외자원개발	해외/NNG+자원/NNG+개발/NNG
1조2815억	1/SN+조/NR+2815/SN+억/NR
손실”	손실/NNG+”/SS


# id : NWRW1800000041.369.2.1
“55개 사업 중 28개 실패” 결론 MB정부는 62개 중 10개 실패… 52개는 진행중이라 판단 못해

“55개	“/SS+55/SN+개/NNB
사업	사업/NNG
중	중/NNB
28개	28/SN+개/NNB
실패”	실패/NNG+”/SS
결론	결론/NNG
MB정부는	MB/SL+정부/NNG+는/JX
62개	62/SN+개/NNB
10개	10/SN+개/NNB
실패…	실패/NNG+…/SE
52개는	52/SN+개/NNB+는/JX
진행중이라	진행/NNG+중/NNB+이/VCP+라/EC
판단	판단/NNG
못해	못/MAG+하/VV+아/EF


# id : NWRW1800000041.369.3.1
정부가 노무현 정권 시절 해외자원개발에 투자했던 55개 사업 중 28개 사업(50.9%)에 대해 실패한 것으로 결론 내린 것으로 확인됐다.

정부가	정부/NNG+가/JKS
노무현	노무현/NNP
정권	정권/NNG
시절	시절/NNG
해외자원개발에	해외/NNG+자원/NNG+개발/NNG+에/JKB
투자했던	투자/NNG+하/XSV+았/EP+던/ETM
55개	55/SN+개/NNB
사업	사업/NNG
중	중/NNB
28개	28/SN+개/NNB
사업(50.9%)에	사업/NNG+(/SS+50/SN+./SP+9/SN+%/SW+)/SS+에/JKB
대해	대하/VV+아/EC
실패한	실패/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
결론	결론/NNG
내린	내리/VV+ㄴ/ETM
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.369.3.2
실패한 사업에 투자한 금액은 총 1조2815억 원이었다.

실패한	실패/NNG+하/XSV+ㄴ/ETM
사업에	사업/NNG+에/JKB
투자한	투자/NNG+하/XSV+ㄴ/ETM
금액은	금액/NNG+은/JX
총	총/MMA
1조2815억	1/SN+조/NR+2815/SN+억/NR
원이었다.	원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.369.3.3
반면 이명박(MB) 정부 시절에는 62개 사업에 투자했으며 정부가 ‘실패’로 규정한 사업은 10개 사업(16.1%)에 2783억 원 규모였다.

반면	반면/NNG
이명박(MB)	이명박/NNP+(/SS+MB/SL+)/SS
정부	정부/NNG
시절에는	시절/NNG+에/JKB+는/JX
62개	62/SN+개/NNB
사업에	사업/NNG+에/JKB
투자했으며	투자/NNG+하/XSV+았/EP+으며/EC
정부가	정부/NNG+가/JKS
‘실패’로	‘/SS+실패/NNG+’/SS+로/JKB
규정한	규정/NNG+하/XSV+ㄴ/ETM
사업은	사업/NNG+은/JX
10개	10/SN+개/NNB
사업(16.1%)에	사업/NNG+(/SS+16/SN+./SP+1/SN+%/SW+)/SS+에/JKB
2783억	2783/SN+억/NR
원	원/NNB
규모였다.	규모/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.369.4.1
이 같은 사실은 14일 산업통상자원부가 새누리당 이노근 의원에게 제출한 자료에서 나타났다.

이	이/NP
같은	같/VA+은/ETM
사실은	사실/NNG+은/JX
14일	14/SN+일/NNB
산업통상자원부가	산업/NNG+통상/NNG+자원부/NNG+가/JKS
새누리당	새누리당/NNP
이노근	이노근/NNP
의원에게	의원/NNG+에게/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
자료에서	자료/NNG+에서/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.369.4.2
자료는 석유공사 가스공사 광물공사 등 3개 공사가 해외자원개발에 뛰어든 사업과 투자금액을 합친 것이다.

자료는	자료/NNG+는/JX
석유공사	석유공사/NNP
가스공사	가스공사/NNP
광물공사	광물공사/NNP
등	등/NNB
3개	3/SN+개/NNB
공사가	공사/NNG+가/JKS
해외자원개발에	해외/NNG+자원/NNG+개발/NNG+에/JKB
뛰어든	뛰어들/VV+ㄴ/ETM
사업과	사업/NNG+과/JC
투자금액을	투자/NNG+금액/NNG+을/JKO
합친	합치/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.369.4.3
