# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.182
metadata : {}


# id : NWRW1800000052.182.1.1
올해 박원순 시장이 시민에 권하는 책은?

올해	올해/NNG
박원순	박원순/NNP
시장이	시장/NNG+이/JKS
시민에	시민/NNG+에/JKB
권하는	권/NNG+하/XSV+는/ETM
책은?	책/NNG+은/JX+?/SF


# id : NWRW1800000052.182.2.1
‘만화로 보는 기후변화…’ 꼽아

‘만화로	‘/SS+만화/NNG+로/JKB
보는	보/VV+는/ETM
기후변화…’	기후/NNG+변화/NNG+…/SE+’/SS
꼽아	꼽/VV+아/EF


# id : NWRW1800000052.182.3.1
시·구청장 추천서 서울도서관 전시

시·구청장	시/NNG+·/SP+구청장/NNG
추천서	추천서/NNG
서울도서관	서울도서관/NNP
전시	전시/NNG


# id : NWRW1800000052.182.4.1
2016년 새해, 박원순 서울시장은 시민들에게 어떤 책을 권할까?

2016년	2016/SN+년/NNB
새해,	새해/NNG+,/SP
박원순	박원순/NNP
서울시장은	서울시장/NNG+은/JX
시민들에게	시민/NNG+들/XSN+에게/JKB
어떤	어떤/MMD
책을	책/NNG+을/JKO
권할까?	권/NNG+하/XSV+ㄹ까/EF+?/SF


# id : NWRW1800000052.182.5.1
서울도서관은 5일부터 2월14일까지 서울시장과 구청장들이 추천한 도서를 전시한다고 4일 밝혔다.

서울도서관은	서울도서관/NNP+은/JX
5일부터	5/SN+일/NNB+부터/JX
2월14일까지	2/SN+월/NNB+14/SN+일/NNB+까지/JX
서울시장과	서울시장/NNG+과/JKB
구청장들이	구청장/NNG+들/XSN+이/JKS
추천한	추천/NNG+하/XSV+ㄴ/ETM
도서를	도서/NNG+를/JKO
전시한다고	전시/NNG+하/XSV+ㄴ다고/EC
4일	4/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.182.6.1
박 시장은 “시민 협력으로 기후변화의 대전환이라는 기적을 만들어 가자”며 <만화로 보는 기후변화의 거의 모든 것>을 추천했다.

박	박/NNP
시장은	시장/NNG+은/JX
“시민	“/SS+시민/NNG
협력으로	협력/NNG+으로/JKB
기후변화의	기후/NNG+변화/NNG+의/JKG
대전환이라는	대/XPN+전환/NNG+이/VCP+라는/ETM
기적을	기적/NNG+을/JKO
만들어	만들/VV+어/EC
가자”며	가/VX+자/EF+”/SS+며/EC
<만화로	</SS+만화/NNG+로/JKB
보는	보/VV+는/ETM
거의	거의/MAG
모든	모든/MMN
것>을	것/NNB+>/SS+을/JKO
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.182.6.2
박 시장은 “기후변화의 종착역은 결국 문명의 파국이다.

박	박/NNP
시장은	시장/NNG+은/JX
“기후변화의	“/SS+기후/NNG+변화/NNG+의/JKG
종착역은	종착역/NNG+은/JX
결국	결국/MAG
문명의	문명/NNG+의/JKG
파국이다.	파국/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.182.6.3
역사는 기후가 문명의 탄생과 몰락에 커다란 영향을 미쳤음을 보여준다.

역사는	역사/NNG+는/JX
기후가	기후/NNG+가/JKS
문명의	문명/NNG+의/JKG
탄생과	탄생/NNG+과/JC
몰락에	몰락/NNG+에/JKB
커다란	커다랗/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미쳤음을	미치/VV+었/EP+음/ETN+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.182.6.4
도시와 도시가 연대한다면, 시민과 시민이 협력한다면 기후변화 대전환이라는 기적은 반드시 이뤄질 것”이라고 추천 이유를 밝혔다.

도시와	도시/NNG+와/JC
도시가	도시/NNG+가/JKS
연대한다면,	연대/NNG+하/XSV+ㄴ다면/EC+,/SP
시민과	시민/NNG+과/JC
시민이	시민/NNG+이/JKS
협력한다면	협력/NNG+하/XSV+ㄴ다면/EC
기후변화	기후/NNG+변화/NNG
대전환이라는	대/XPN+전환/NNG+이/VCP+라는/ETM
기적은	기적/NNG+은/JX
반드시	반드시/MAG
이뤄질	이뤄지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
추천	추천/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.182.7.1
