# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.69
metadata : {}


# id : NWRW1800000033.69.1.1
“사탄… 히틀러…” 美 샌토럼 돌풍은 막말 덕?

“사탄…	“/SS+사탄/NNG+…/SE
히틀러…”	히틀러/NNP+…/SE+”/SS
美	美/SH
샌토럼	샌토럼/NNP
돌풍은	돌풍/NNG+은/JX
막말	막말/NNG
덕?	덕/NNG+?/SF


# id : NWRW1800000033.69.2.1
- 사탄이 미국을 공격하고 있다

-	-/SO
사탄이	사탄/NNG+이/JKS
미국을	미국/NNP+을/JKO
공격하고	공격/NNG+하/XSV+고/EC
있다	있/VX+다/EF


# id : NWRW1800000033.69.3.1
- 오바마는 사이비 종교철학주의자

-	-/SO
오바마는	오바마/NNP+는/JX
사이비	사이비/NNG
종교철학주의자	종교/NNG+철학/NNG+주의자/NNG


# id : NWRW1800000033.69.4.1
- 국민이 이번 선거에 나서지 않으면 히틀러에게 침묵하는 것과 같다

-	-/SO
국민이	국민/NNG+이/JKS
이번	이번/NNG
선거에	선거/NNG+에/JKB
나서지	나서/VV+지/EC
않으면	않/VX+으면/EC
히틀러에게	히틀러/NNP+에게/JKB
침묵하는	침묵/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
같다	같/VA+다/EF


# id : NWRW1800000033.69.5.1
- 오바마는 인간보다 지구가 더 중요하다고 한다

-	-/SO
오바마는	오바마/NNP+는/JX
인간보다	인간/NNG+보다/JKB
지구가	지구/NNG+가/JKS
더	더/MAG
중요하다고	중요/NNG+하/XSA+다고/EC
한다	하/VV+ㄴ다/EF


# id : NWRW1800000033.69.6.1
- 아이들을 공립학교에 보내는 것은 공장에 보내는 것과 마찬가지다

-	-/SO
아이들을	아이/NNG+들/XSN+을/JKO
공립학교에	공립/NNG+학교/NNG+에/JKB
보내는	보내/VV+는/ETM
것은	것/NNB+은/JX
공장에	공장/NNG+에/JKB
것과	것/NNB+과/JKB
마찬가지다	마찬가지/NNG+이/VCP+다/EF


# id : NWRW1800000033.69.7.1
미국 공화당 대선 경선 후보인 릭 샌토럼 전 펜실베이니아 상원의원의 돌풍은 언제까지 이어질 것인가.

미국	미국/NNP
공화당	공화당/NNP
대선	대선/NNG
경선	경선/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
릭	릭/NNP
샌토럼	샌토럼/NNP
전	전/MMD
펜실베이니아	펜실베이니아/NNP
상원의원의	상원/NNG+의원/NNG+의/JKG
돌풍은	돌풍/NNG+은/JX
언제까지	언제/NP+까지/JX
이어질	이어지/VV+ㄹ/ETM
것인가.	것/NNB+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000033.69.8.1
7일 콜로라도, 미주리, 미네소타에서 열린 ‘트리플 경선’에서 승리한 후 지지율이 급상승한 샌토럼은 28일 밋 롬니 전 매사추세츠 주지사의 정치적 고향인 미시간에서도 승리할 가능성이 높은 것으로 점쳐지고 있다.

7일	7/SN+일/NNB
