# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.348
metadata : {}


# id : NWRW1800000049.348.1.1
靑, 우병우 사실상 재신임… “신임장관 3명 검증업무 수행”

靑,	靑/SH+,/SP
우병우	우병우/NNP
사실상	사실/NNG+상/XSN
재신임…	재/XPN+신임/NNG+…/SE
“신임장관	“/SS+신임/NNG+장관/NNG
3명	3/SN+명/NNB
검증업무	검증/NNG+업무/NNG
수행”	수행/NNG+”/SS


# id : NWRW1800000049.348.2.1
[8·16 개각]‘의혹만으론 경질 불가’ 원칙 고수… 野, 국회출석 요구 등 공세 펼칠듯 8월 넷째 주 특별감찰 결과가 변수

[8·16	[/SS+8/SN+·/SP+16/SN
개각]‘의혹만으론	개각/NNG+]/SS+‘/SS+의혹/NNG+만/JX+으로/JKB+ㄴ/JX
경질	경질/NNG
불가’	불가/NNG+’/SS
원칙	원칙/NNG
고수…	고수/NNG+…/SE
野,	野/SH+,/SP
국회출석	국회/NNG+출석/NNG
요구	요구/NNG
등	등/NNB
공세	공세/NNG
펼칠듯	펼치/VV+ㄹ/ETM+듯/NNB
8월	8/SN+월/NNB
넷째	넷째/NR
주	주/NNG
특별감찰	특별/NNG+감찰/NNG
결과가	결과/NNG+가/JKS
변수	변수/NNG


# id : NWRW1800000049.348.3.1
정치권은 지난달 개각설이 본격적으로 나올 때부터 장관 교체 못지않게 우병우 대통령민정수석비서관의 거취에 관심을 기울였다.

정치권은	정치/NNG+권/XSN+은/JX
지난달	지난달/NNG
개각설이	개각설/NNG+이/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
나올	나오/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
장관	장관/NNG
교체	교체/NNG
못지않게	못지않/VA+게/EC
우병우	우병우/NNP
대통령민정수석비서관의	대통령/NNG+민정/NNG+수석/NNG+비서관/NNG+의/JKG
거취에	거취/NNG+에/JKB
관심을	관심/NNG+을/JKO
기울였다.	기울이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.348.3.2
각종 의혹이 제기된 우 수석을 박근혜 대통령이 교체하기로 결심한다면 개각과 동시에 이뤄질 것이라는 전망이 우세했다.

각종	각종/NNG
의혹이	의혹/NNG+이/JKS
제기된	제기/NNG+되/XSV+ㄴ/ETM
우	우/NNP
수석을	수석/NNG+을/JKO
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
교체하기로	교체/NNG+하/XSV+기/ETN+로/JKB
결심한다면	결심/NNG+하/XSV+ㄴ다면/EC
개각과	개각/NNG+과/JKB
동시에	동시/NNG+에/JKB
이뤄질	이뤄지/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
우세했다.	우세/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000049.348.4.1
하지만 16일 개각 발표에서 우 수석에 대한 언급은 전혀 없었다.

하지만	하지만/MAJ
16일	16/SN+일/NNB
개각	개각/NNG
발표에서	발표/NNG+에서/JKB
우	우/NNP
수석에	수석/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
언급은	언급/NNG+은/JX
전혀	전혀/MAG
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.348.4.2
청와대와 여권에서는 박 대통령이 우 수석을 재신임한 것으로 보고 있다.

청와대와	청와대/NNP+와/JC
여권에서는	여권/NNG+에서/JKB+는/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
우	우/NNP
수석을	수석/NNG+을/JKO
재신임한	재/XPN+신임/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.348.4.3
청와대 관계자는 “우 수석이 이번 개각 인사검증 등 정상적으로 업무를 수행하고 있다”며 우 수석 거취에 관한 기류에 변화가 없음을 내비쳤다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
“우	“/SS+우/NNP
수석이	수석/NNG+이/JKS
이번	이번/NNG
개각	개각/NNG
인사검증	인사/NNG+검증/NNG
등	등/NNB
정상적으로	정상/NNG+적/XSN+으로/JKB
업무를	업무/NNG+를/JKO
수행하고	수행/NNG+하/XSV+고/EC
