# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.311
metadata : {}


# id : NWRW1800000036.311.1.1
‘45% 방어율’ 박미라 MVP

‘45%	‘/SS+45/SN+%/SW
방어율’	방어/NNG+율/XSN+’/SS
박미라	박미라/NNP
MVP	MVP/SL


# id : NWRW1800000036.311.2.1
[한겨레] 핸드볼 코리아리그 팀 우승 기여

[한겨레]	[/SS+한겨레/NNP+]/SS
핸드볼	핸드볼/NNG
코리아리그	코리아/NNP+리그/NNG
팀	팀/NNG
우승	우승/NNG
기여	기여/NNG


# id : NWRW1800000036.311.3.1
“태극마크 달고 올림픽 뛰고 싶어”

“태극마크	“/SS+태극/NNG+마크/NNG
달고	달/VV+고/EC
올림픽	올림픽/NNG
뛰고	뛰/VV+고/EC
싶어”	싶/VX+어/EC+”/SS


# id : NWRW1800000036.311.4.1
박미라(25·사진·삼척시청)는 놀란 표정이었다.

박미라(25·사진·삼척시청)는	박미라/NNP+(/SS+25/SN+·/SP+사진/NNG+·/SP+삼척시청/NNP+)/SS+는/JX
놀란	놀라/VV+ㄴ/ETM
표정이었다.	표정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.311.4.2
여자부 최우수선수(MVP)로 선정되자 “얼떨떨하다”고 했다.

여자부	여자부/NNG
최우수선수(MVP)로	최/XPN+우수/NNG+선수/NNG+(/SS+MVP/SL+)/SS+로/JKB
선정되자	선정/NNG+되/XSV+자/EC
“얼떨떨하다”고	“/SS+얼떨떨하/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.311.4.3
이계청 삼척시청 감독은 “너무 겸손해서 탈”이라며 빙그레 웃었다.

이계청	이계청/NNP
삼척시청	삼척시청/NNP
감독은	감독/NNG+은/JX
“너무	“/SS+너무/MAG
겸손해서	겸손/NNG+하/XSA+아서/EC
탈”이라며	탈/NNG+”/SS+이/VCP+라며/EC
빙그레	빙그레/MAG
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.311.5.1
박미라는 2012 에스케이(SK) 핸드볼코리아리그에서 14경기에 모두 나서 44.9%의 높은 방어율로 팀을 정규리그 우승으로 이끌었다.

박미라는	박미라/NNP+는/JX
2012	2012/SN
에스케이(SK)	에스케이/NNP+(/SS+SK/SL+)/SS
핸드볼코리아리그에서	핸드볼/NNG+코리아/NNP+리그/NNG+에서/JKB
14경기에	14/SN+경기/NNG+에/JKB
모두	모두/MAG
나서	나서/VV+어/EC
