# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.419
metadata : {}


# id : NWRW1800000021.419.1.1
■“盧 전대통령 진술에 큰 기대 말라”… 전두환-노태우 수사팀 조언

■“盧	■/SW+“/SS+盧/SH
전대통령	전/MMD+대통령/NNG
진술에	진술/NNG+에/JKB
큰	크/VA+ㄴ/ETM
기대	기대/NNG
말라”…	말/VV+라/EF+”/SS+…/SE
전두환-노태우	전두환/NNP+-/SO+노태우/NNP
수사팀	수사/NNG+팀/NNG
조언	조언/NNG


# id : NWRW1800000021.419.2.1
“침착하게 ‘반응’을 살피는 것이 중요하다.

“침착하게	“/SS+침착/NNG+하/XSA+게/EC
‘반응’을	‘/SS+반응/NNG+’/SS+을/JKO
살피는	살피/VV+는/ETM
것이	것/NNB+이/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000021.419.2.2
수사팀이 흥분해서는 안 된다.”

수사팀이	수사/NNG+팀/NNG+이/JKS
흥분해서는	흥분/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다.”	되/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000021.419.3.1
노무현 전 대통령 소환을 앞두고 조사 준비에 분주한 대검찰청 중앙수사부 수사팀을 남다르게 지켜보는 사람들이 있다.

노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
소환을	소환/NNG+을/JKO
앞두고	앞두/VV+고/EC
조사	조사/NNG
준비에	준비/NNG+에/JKB
분주한	분주/NNG+하/XSA+ㄴ/ETM
대검찰청	대/XPN+검찰청/NNG
중앙수사부	중앙/NNG+수사부/NNG
수사팀을	수사/NNG+팀/NNG+을/JKO
남다르게	남다르/VA+게/EC
지켜보는	지켜보/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.419.3.2
14년 전인 1995년 전두환 노태우 전 대통령 조사에 참여했던 전·현직 검찰 간부들이다.

14년	14/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
1995년	1995/SN+년/NNB
전두환	전두환/NNP
노태우	노태우/NNP
전	전/MMD
대통령	대통령/NNG
조사에	조사/NNG+에/JKB
참여했던	참여/NNG+하/XSV+았/EP+던/ETM
전·현직	전·현직/NNG
검찰	검찰/NNG
간부들이다.	간부/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.419.3.3
이들은 전직 대통령 검찰 소환이라는 악순환이 되풀이되는 것을 안타까워하면서도 자신들의 경험을 바탕으로 한 ‘조언’을 조심스럽게 내놓았다.

이들은	이/NP+들/XSN+은/JX
전직	전직/NNG
대통령	대통령/NNG
검찰	검찰/NNG
소환이라는	소환/NNG+이/VCP+라는/ETM
악순환이	악순환/NNG+이/JKS
되풀이되는	되풀이/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
안타까워하면서도	안타까워하/VV+면서/EC+도/JX
자신들의	자신/NNG+들/XSN+의/JKG
경험을	경험/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
한	하/VV+ㄴ/ETM
‘조언’을	‘/SS+조언/NNG+’/SS+을/JKO
조심스럽게	조심/NNG+스럽/XSA+게/EC
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.4.1
○ “조사 분위기 조성이 중요”

○	○/SW
“조사	“/SS+조사/NNG
분위기	분위기/NNG
조성이	조성/NNG+이/JKS
중요”	중요/NNG+”/SS


# id : NWRW1800000021.419.5.1
노태우 전 대통령을 조사했던 검찰의 한 간부는 “조사 초반에 분위기가 험악해지면 조사가 쉽지 않다”며 “조사 분위기를 잘 이끌어 가는 게 가장 중요하다”고 말했다.

노태우	노태우/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
조사했던	조사/NNG+하/XSV+았/EP+던/ETM
검찰의	검찰/NNG+의/JKG
한	한/MMN
간부는	간부/NNG+는/JX
“조사	“/SS+조사/NNG
초반에	초반/NNG+에/JKB
분위기가	분위기/NNG+가/JKS
험악해지면	험악하/VA+아/EC+지/VX+면/EC
조사가	조사/NNG+가/JKS
쉽지	쉽/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
분위기를	분위기/NNG+를/JKO
잘	잘/MAG
이끌어	이끌/VV+어/EC
가는	가/VX+는/ETM
게	거/NNB+이/JKS
가장	가장/MAG
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.5.2
4000억 원에 이르는 천문학적인 액수의 비자금 조성 혐의를 스스로 인정하고 검찰 소환에 응했던 노태우 전 대통령도 조사 초기 수사팀이 구체적인 비자금 조성 내용을 캐물으며 다그치자 한동안 입을 닫았다고 한다.

4000억	4000/SN+억/NR
원에	원/NNB+에/JKB
이르는	이르/VV+는/ETM
천문학적인	천문학/NNG+적/XSN+이/VCP+ㄴ/ETM
액수의	액수/NNG+의/JKG
비자금	비자금/NNG
조성	조성/NNG
혐의를	혐의/NNG+를/JKO
스스로	스스로/MAG
인정하고	인정/NNG+하/XSV+고/EC
검찰	검찰/NNG
소환에	소환/NNG+에/JKB
응했던	응하/VV+았/EP+던/ETM
노태우	노태우/NNP
전	전/MMD
대통령도	대통령/NNG+도/JX
조사	조사/NNG
초기	초기/NNG
수사팀이	수사/NNG+팀/NNG+이/JKS
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
내용을	내용/NNG+을/JKO
캐물으며	캐묻/VV+으며/EC
다그치자	다그치/VV+자/EC
한동안	한/XPN+동안/NNG
입을	입/NNG+을/JKO
닫았다고	닫/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.419.5.3
당시 대검 중수부 2과장으로 주임검사였던 문영호 변호사는 “노 전 대통령은 본인이 비자금을 조성했다고 시인한 마당에 세세한 부분까지 진술하라고 하자 섭섭해하는 분위기였다”고 말했다.

당시	당시/NNG
대검	대검/NNG
중수부	중수부/NNG
2과장으로	2/SN+과장/NNG+으로/JKB
주임검사였던	주임/NNG+검사/NNG+이/VCP+었/EP+던/ETM
문영호	문영호/NNP
변호사는	변호사/NNG+는/JX
“노	“/SS+노/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
본인이	본인/NNG+이/JKS
비자금을	비자금/NNG+을/JKO
조성했다고	조성/NNG+하/XSV+았/EP+다고/EC
시인한	시인/NNG+하/XSV+ㄴ/ETM
마당에	마당/NNB+에/JKB
세세한	세세하/VA+ㄴ/ETM
부분까지	부분/NNG+까지/JX
진술하라고	진술/NNG+하/XSV+라고/EC
하자	하/VV+자/EC
섭섭해하는	섭섭하/VA+아/EC+하/VX+는/ETM
분위기였다”고	분위기/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.6.1
노무현 전 대통령이 혐의 자체를 부인하고 있어 조사 과정에서 수사팀과 감정싸움이 벌어질 수도 있지만, 수사팀이 흥분하면 ‘성과’를 내기 어렵다는 조언도 있었다.

노무현	노무현/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
혐의	혐의/NNG
자체를	자체/NNG+를/JKO
부인하고	부인/NNG+하/XSV+고/EC
있어	있/VX+어/EC
조사	조사/NNG
과정에서	과정/NNG+에서/JKB
수사팀과	수사/NNG+팀/NNG+과/JKB
감정싸움이	감정싸움/NNG+이/JKS
벌어질	벌어지/VV+ㄹ/ETM
수도	수/NNB+도/JX
있지만,	있/VA+지만/EC+,/SP
수사팀이	수사/NNG+팀/NNG+이/JKS
흥분하면	흥분/NNG+하/XSV+면/EC
‘성과’를	‘/SS+성과/NNG+’/SS+를/JKO
내기	내/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
조언도	조언/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.419.6.2
12·12 및 5·18사건과 관련해 전두환 전 대통령을 여러 차례 직접 조사했던 검찰 간부는 “노무현 전 대통령을 추궁해 뭔가를 얻어내려 하지 말고 어떻게 답변하는지에 초점을 둬서 수사를 진행해야 한다”고 했다.

12·12	12/SN+·/SP+12/SN
및	및/MAG
5·18사건과	5/SN+·/SP+18/SN+사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
전두환	전두환/NNP
전	전/MMD
대통령을	대통령/NNG+을/JKO
여러	여러/MMN
차례	차례/NNG
직접	직접/MAG
조사했던	조사/NNG+하/XSV+았/EP+던/ETM
검찰	검찰/NNG
간부는	간부/NNG+는/JX
“노무현	“/SS+노무현/NNP
추궁해	추궁/NNG+하/XSV+아/EC
뭔가를	뭐/NP+이/VCP+ㄴ가/EF+를/JKO
얻어내려	얻/VV+어/EC+내/VX+려/EC
하지	하/VX+지/EC
말고	말/VX+고/EC
어떻게	어떻/VA+게/EC
답변하는지에	답변/NNG+하/XSV+는지/EF+에/JKB
초점을	초점/NNG+을/JKO
둬서	두/VV+어서/EC
수사를	수사/NNG+를/JKO
진행해야	진행/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.419.6.3
그는 “전 전 대통령도 검찰 조사 과정에서 일반적인 정황에 대해서만 대답했을 뿐 자신의 구체적인 혐의와 관련된 진술은 거부했지만 결국 구속됐다”고 덧붙였다.

그는	그/NP+는/JX
“전	“/SS+전/NNP
전	전/MMD
대통령도	대통령/NNG+도/JX
검찰	검찰/NNG
조사	조사/NNG
과정에서	과정/NNG+에서/JKB
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
정황에	정황/NNG+에/JKB
대해서만	대하/VV+아서/EC+만/JX
대답했을	대답/NNG+하/XSV+았/EP+을/ETM
뿐	뿐/NNB
자신의	자신/NNG+의/JKG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
혐의와	혐의/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
진술은	진술/NNG+은/JX
거부했지만	거부/NNG+하/XSV+았/EP+지만/EC
결국	결국/MAG
구속됐다”고	구속/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.419.6.4
그동안의 수사를 통해 확보한 증거에 노 전 대통령의 반응을 더해 판단할 문제이지, 노 전 대통령의 진술 자체에 큰 기대를 걸어서는 안 된다는 얘기다.

그동안의	그동안/NNG+의/JKG
수사를	수사/NNG+를/JKO
통해	통하/VV+아/EC
확보한	확보/NNG+하/XSV+ㄴ/ETM
증거에	증거/NNG+에/JKB
노	노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
반응을	반응/NNG+을/JKO
더해	더/MAG+하/XSV+아/EC
판단할	판단/NNG+하/XSV+ㄹ/ETM
