# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.352
metadata : {}


# id : NWRW1800000037.352.1.1
朴대통령 “인사검증 상시체제로 바꾸겠다”

朴대통령	朴/SH+대통령/NNG
“인사검증	“/SS+인사/NNG+검증/NNG
상시체제로	상시/NNG+체제/NNG+로/JKB
바꾸겠다”	바꾸/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000037.352.2.1
靑서 언론사 정치부장단과 만찬 “윤창중이 그런 인물이었나… 실망 수사결과 봐서 필요하면 추가 조치” 尹 직권면직… 공무원 신분 박탈

靑서	靑/SH+서/JKB
언론사	언론사/NNG
정치부장단과	정치부장단/NNG+과/JKB
만찬	만찬/NNG
“윤창중이	“/SS+윤창중/NNP+이/JKS
그런	그런/MMD
인물이었나…	인물/NNG+이/VCP+었/EP+나/EF+…/SE
실망	실망/NNG
수사결과	수사/NNG+결과/NNG
봐서	보/VV+아서/EC
필요하면	필요/NNG+하/XSA+면/EC
추가	추가/NNG
조치”	조치/NNG+”/SS
尹	尹/SH
직권면직…	직권/NNG+면직/NNG+…/SE
공무원	공무원/NNG
신분	신분/NNG
박탈	박탈/NNG


# id : NWRW1800000037.352.3.1
박근혜 대통령은 15일 윤창중 전 청와대 대변인의 성추행 의혹 사건과 관련해 “전문성을 보고 새로운 인물에게 한번 맡기면 어떻겠느냐고 해서 절차를 밟았는데 엉뚱한 결과가 나와 ‘그런 인물이었나’ 하는 생각에 저 자신도 참 실망했다”며 “앞으로 인사위원회를 통해 좀 더 다면적이고 철저하게 검증하고 제도적으로 (인사 시스템을) 보완하겠다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
15일	15/SN+일/NNB
윤창중	윤창중/NNP
전	전/MMD
청와대	청와대/NNP
대변인의	대변인/NNG+의/JKG
성추행	성추행/NNG
의혹	의혹/NNG
사건과	사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“전문성을	“/SS+전문/NNG+성/XSN+을/JKO
보고	보/VV+고/EC
새로운	새롭/VA+ㄴ/ETM
인물에게	인물/NNG+에게/JKB
한번	한번/MAG
맡기면	맡기/VV+면/EC
어떻겠느냐고	어떻/VA+겠/EP+느냐고/EF
해서	하/VV+아서/EC
절차를	절차/NNG+를/JKO
밟았는데	밟/VV+았/EP+는데/EC
엉뚱한	엉뚱하/VA+ㄴ/ETM
결과가	결과/NNG+가/JKS
나와	나오/VV+아/EC
‘그런	‘/SS+그런/MMD
인물이었나’	인물/NNG+이/VCP+었/EP+나/EF+’/SS
하는	하/VV+는/ETM
생각에	생각/NNG+에/JKB
