# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.102
metadata : {}


# id : NWRW1800000046.102.1.1
황정음 "못난 얼굴 보고도 채널 안 돌려 감사" 최시원 "원래 망가지는 성격… 배역 덕 봤죠"

황정음	황정음/NNP
"못난	"/SS+못나/VV+ㄴ/ETM
얼굴	얼굴/NNG
보고도	보/VV+고/EC+도/JX
채널	채널/NNG
안	안/MAG
돌려	돌리/VV+어/EC
감사"	감사/NNG+"/SS
최시원	최시원/NNP
"원래	"/SS+원래/MAG
망가지는	망가지/VV+는/ETM
성격…	성격/NNG+…/SE
배역	배역/NNG
덕	덕/NNG
봤죠"	보/VV+았/EP+죠/EF+"/SS


# id : NWRW1800000046.102.2.1
드라마 '그녀는 예뻤다' 종영회견… 최시원은 19일 논산훈련소 입대

드라마	드라마/NNG
'그녀는	'/SS+그녀/NP+는/JX
예뻤다'	예쁘/VA+었/EP+다/EF+'/SS
종영회견…	종영/NNG+회견/NNG+…/SE
최시원은	최시원/NNP+은/JX
19일	19/SN+일/NNB
논산훈련소	논산훈련소/NNP
입대	입대/NNG


# id : NWRW1800000046.102.3.1
"너무 못생긴 제 얼굴에 채널 돌리실까 걱정했어요."

"너무	"/SS+너무/MAG
못생긴	못생기/VV+ㄴ/ETM
제	저/NP+의/JKG
얼굴에	얼굴/NNG+에/JKB
채널	채널/NNG
돌리실까	돌리/VV+시/EP+ㄹ까/EF
걱정했어요."	걱정/NNG+하/XSV+았/EP+어요/EF+./SF+"/SS


# id : NWRW1800000046.102.4.1
MBC '그녀는 예뻤다'의 주연 황정음(30)이 12일 서울 신라호텔에서 열린 종영 기자간담회에서 밝힌 소감이다.

MBC	MBC/SL
'그녀는	'/SS+그녀/NP+는/JX
예뻤다'의	예쁘/VA+었/EP+다/EF+'/SS+의/JKG
주연	주연/NNG
황정음(30)이	황정음/NNP+(/SS+30/SN+)/SS+이/JKS
12일	12/SN+일/NNB
서울	서울/NNP
신라호텔에서	신라호텔/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
종영	종영/NNG
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
밝힌	밝히/VV+ㄴ/ETM
소감이다.	소감/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.102.4.2
'그녀는 예뻤다'의 첫 방송 시청률은 4.8%였지만 황정음의 신들린 '못난이' 연기로 인기몰이하며 11일 시청률 15.9%로 막을 내렸다.

'그녀는	'/SS+그녀/NP+는/JX
예뻤다'의	예쁘/VA+었/EP+다/EF+'/SS+의/JKG
첫	첫/MMN
방송	방송/NNG
시청률은	시청/NNG+률/XSN+은/JX
4.8%였지만	4/SN+./SP+8/SN+%/SW+이/VCP+었/EP+지만/EC
황정음의	황정음/NNP+의/JKG
신들린	신들리/VV+ㄴ/ETM
'못난이'	'/SS+못난이/NNG+'/SS
연기로	연기/NNG+로/JKB
인기몰이하며	인기몰이/NNG+하/XSV+며/EC
11일	11/SN+일/NNB
시청률	시청/NNG+률/XSN
15.9%로	15/SN+./SP+9/SN+%/SW+로/JKB
막을	막/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.102.5.1
"뽀글뽀글한 머리에 검은 피부 때문에 촬영장에서는 아기공룡 둘리에 나오는 마이콜로 불렸다"며 웃는 황정음은 초반 시청률에 낙심하지 않았단다.

"뽀글뽀글한	"/SS+뽀글뽀글/MAG+하/XSA+ㄴ/ETM
머리에	머리/NNG+에/JKB
검은	검/VA+은/ETM
피부	피부/NNG
때문에	때문/NNB+에/JKB
촬영장에서는	촬영장/NNG+에서/JKB+는/JX
아기공룡	아기/NNG+공룡/NNG
둘리에	둘리/NNP+에/JKB
나오는	나오/VV+는/ETM
마이콜로	마이콜/NNP+로/JKB
불렸다"며	불리/VV+었/EP+다/EF+"/SS+며/EC
웃는	웃/VV+는/ETM
황정음은	황정음/NNP+은/JX
초반	초반/NNG
시청률에	시청/NNG+률/XSN+에/JKB
낙심하지	낙심/NNG+하/XSV+지/EC
않았단다.	않/VX+았/EP+단다/EF+./SF


# id : NWRW1800000046.102.5.2
"걱정한다고 걱정거리가 사라지는 것도 아니잖아요.

"걱정한다고	"/SS+걱정/NNG+하/XSV+ㄴ다고/EC
걱정거리가	걱정거리/NNG+가/JKS
사라지는	사라지/VV+는/ETM
것도	것/NNB+도/JX
아니잖아요.	아니/VCN+잖아요/EF+./SF


# id : NWRW1800000046.102.5.3
연기에만 집중하면 된다고 생각했어요.

연기에만	연기/NNG+에/JKB+만/JX
집중하면	집중/NNG+하/XSV+면/EC
된다고	되/VV+ㄴ다고/EC
생각했어요.	생각/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000046.102.5.4
출연진과 제작진 궁합이 너무 잘 맞아 하루 1시간을 자면서 촬영해도 행복하고 즐거웠죠."

출연진과	출연진/NNG+과/JC
제작진	제작진/NNG
궁합이	궁합/NNG+이/JKS
너무	너무/MAG
잘	잘/MAG
맞아	맞/VV+아/EC
하루	하루/NNG
1시간을	1/SN+시간/NNB+을/JKO
자면서	자/VV+면서/EC
촬영해도	촬영/NNG+하/XSV+아도/EC
행복하고	행복/NNG+하/XSA+고/EC
즐거웠죠."	즐겁/VA+었/EP+죠/EF+./SF+"/SS


# id : NWRW1800000046.102.6.1
황정음은 이번 작품을 통해 '믿보황(믿고 보는 황정음)' '대체 불가 여배우'라는 극찬을 들었다.

황정음은	황정음/NNP+은/JX
이번	이번/NNG
작품을	작품/NNG+을/JKO
통해	통하/VV+아/EC
'믿보황(믿고	'/SS+믿보황/NNP+(/SS+믿/VV+고/EC
보는	보/VX+는/ETM
황정음)'	황정음/NNP+)/SS+'/SS
'대체	'/SS+대체/NNG
불가	불가/NNG
여배우'라는	여배우/NNG+'/SS+이/VCP+라는/ETM
극찬을	극찬/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.102.6.2
2009년 시트콤 '지붕 뚫고 하이킥!'으로 인기를 얻은 뒤 정극 연기에만 도전해온 황정음은 "코미디는 가급적 피해왔는데 내가 잘하고 즐길 수 있다고 생각돼 배역을 맡았던 게 '신의 한 수'였다"며 뿌듯해했다.

2009년	2009/SN+년/NNB
시트콤	시트콤/NNG
'지붕	'/SS+지붕/NNG
뚫고	뚫/VV+고/EC
하이킥!'으로	하이킥/NNG+!/SF+'/SS+으로/JKB
인기를	인기/NNG+를/JKO
얻은	얻/VV+은/ETM
뒤	뒤/NNG
정극	정극/NNG
연기에만	연기/NNG+에/JKB+만/JX
도전해온	도전/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
황정음은	황정음/NNP+은/JX
"코미디는	"/SS+코미디/NNG+는/JX
가급적	가급적/MAG
피해왔는데	피하/VV+아/EC+오/VX+았/EP+는데/EC
내가	내/NP+가/JKS
잘하고	잘/MAG+하/XSV+고/EC
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
생각돼	생각/NNG+되/XSV+어/EC
배역을	배역/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
게	거/NNB+이/JKS
'신의	'/SS+신/NNG+의/JKG
한	한/MMN
수'였다"며	수/NNG+'/SS+이/VCP+었/EP+다/EF+"/SS+며/EC
뿌듯해했다.	뿌듯하/VA+아/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.102.7.1
'그녀는 예뻤다'에서 주연 박서준을 압도하는 존재감으로 '황정음-최시원' 커플 지지자를 만들어낸 최시원(28)도 이날 서울 강남의 레스토랑에서 기자간담회를 열었다.

'그녀는	'/SS+그녀/NP+는/JX
예뻤다'에서	예쁘/VA+었/EP+다/EF+'/SS+에서/JKB
주연	주연/NNG
박서준을	박서준/NNP+을/JKO
압도하는	압도/NNG+하/XSV+는/ETM
존재감으로	존재감/NNG+으로/JKB
'황정음-최시원'	'/SS+황정음/NNP+-/SO+최시원/NNP+'/SS
커플	커플/NNG
지지자를	지지자/NNG+를/JKO
만들어낸	만들/VV+어/EC+내/VX+ㄴ/ETM
최시원(28)도	최시원/NNP+(/SS+28/SN+)/SS+도/JX
이날	이날/NNG
서울	서울/NNP
강남의	강남/NNP+의/JKG
레스토랑에서	레스토랑/NNG+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.102.7.2
그는 "드라마를 본 이수만 (SM) 대표가 '이게 원래 네 성격이냐'고 묻더라"며 "평소 웃기는 걸 좋아하고 잘 망가지는 성격이어서 배역 덕을 봤다"고 했다.

그는	그/NP+는/JX
"드라마를	"/SS+드라마/NNG+를/JKO
본	보/VV+ㄴ/ETM
이수만	이수만/NNP
(SM)	(/SS+SM/SL+)/SS
대표가	대표/NNG+가/JKS
'이게	'/SS+이거/NP+이/JKS
원래	원래/MAG
네	너/NP+의/JKG
성격이냐'고	성격/NNG+이/VCP+냐/EF+'/SS+고/JKQ
묻더라"며	묻/VV+더라/EF+"/SS+며/EC
"평소	"/SS+평소/NNG
웃기는	웃기/VV+는/ETM
걸	거/NNB+ㄹ/JKO
좋아하고	좋아하/VV+고/EC
잘	잘/MAG
망가지는	망가지/VV+는/ETM
성격이어서	성격/NNG+이/VCP+어서/EC
배역	배역/NNG
덕을	덕/NNG+을/JKO
봤다"고	보/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.102.7.3
그는 황정음을 짝사랑하는 김신혁을 연기하면서 2004년 단역 데뷔 이래 가장 좋은 평을 받았다.

그는	그/NP+는/JX
황정음을	황정음/NNP+을/JKO
짝사랑하는	짝사랑/NNG+하/XSV+는/ETM
김신혁을	김신혁/NNP+을/JKO
연기하면서	연기/NNG+하/XSV+면서/EC
2004년	2004/SN+년/NNB
단역	단역/NNG
데뷔	데뷔/NNG
이래	이래/NNB
가장	가장/MAG
좋은	좋/VA+은/ETM
평을	평/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.102.7.4
아이돌 슈퍼주니어의 멤버가 아니라 '연기자' 최시원으로 강한 인상을 남긴 것.

아이돌	아이돌/NNG
슈퍼주니어의	슈퍼주니어/NNP+의/JKG
멤버가	멤버/NNG+가/JKS
아니라	아니/VCN+라/EC
'연기자'	'/SS+연기자/NNG+'/SS
