# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.381
metadata : {}


# id : NWRW1800000045.381.1.1
‘8·25합의 이행’ 이산상봉 실무접촉 진통

‘8·25합의	‘/SS+8/SN+·/SP+25/SN+합의/NNG
이행’	이행/NNG+’/SS
이산상봉	이산/NNG+상봉/NNG
실무접촉	실무/NNG+접촉/NNG
진통	진통/NNG


# id : NWRW1800000045.381.2.1
南 “전면 생사확인을”… 北 난색

南	南/SH
“전면	“/SS+전면/NNG
생사확인을”…	생사/NNG+확인/NNG+을/JKO+”/SS+…/SE
北	北/SH
난색	난색/NNG


# id : NWRW1800000045.381.3.1
8·25 남북 고위급 접촉 합의 이후 열린 첫 남북 접촉이 난항으로 이어졌다.

8·25	8/SN+·/SP+25/SN
남북	남북/NNP
고위급	고위급/NNG
접촉	접촉/NNG
합의	합의/NNG
이후	이후/NNG
열린	열리/VV+ㄴ/ETM
첫	첫/MMN
접촉이	접촉/NNG+이/JKS
난항으로	난항/NNG+으로/JKB
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.381.3.2
북한이 8·25 합의 이후 남북 관계 개선을 강조하는 가운데 7일 열린 첫 번째 남북 간 만남에서 북한은 강경한 태도를 되풀이했다.

북한이	북한/NNP+이/JKS
8·25	8/SN+·/SP+25/SN
합의	합의/NNG
이후	이후/NNG
남북	남북/NNP
관계	관계/NNG
개선을	개선/NNG+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
가운데	가운데/NNG
7일	7/SN+일/NNB
열린	열리/VV+ㄴ/ETM
첫	첫/MMN
번째	번/NNB+째/XSN
간	간/NNB
만남에서	만남/NNG+에서/JKB
북한은	북한/NNP+은/JX
강경한	강경/NNG+하/XSA+ㄴ/ETM
태도를	태도/NNG+를/JKO
되풀이했다.	되풀이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.381.4.1
북측은 이날 판문점 평화의 집에서 열린 남북 적십자 실무접촉에서 이산가족 전면 생사 확인 문제 등에 대해 행정적인 어려움을 들며 난색을 표한 것으로 알려졌다.

북측은	북측/NNG+은/JX
이날	이날/NNG
판문점	판문점/NNP
평화의	평화/NNG+의/JKG
집에서	집/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
남북	남북/NNP
적십자	적십자/NNP
실무접촉에서	실무/NNG+접촉/NNG+에서/JKB
이산가족	이산가족/NNG
전면	전면/NNG
생사	생사/NNG
확인	확인/NNG
문제	문제/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
행정적인	행정/NNG+적/XSN+이/VCP+ㄴ/ETM
어려움을	어려움/NNG+을/JKO
들며	들/VV+며/EC
난색을	난색/NNG+을/JKO
표한	표/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


